w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
090010101011001,21,1,10,10,3,6,12,0,0,0,0,0,1,10,0,0,0,0,0,2,0,0,0,0,0,8,0,17,2,1,0,0,1,12,9,5,4,6,5,10,11,2,0,0,1,18,21,0,0,0,0,20190825
090010101011007,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,20190825
090010101011009,4,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,4,0,0,1,0,3,2,2,1,0,0,3,0,4,0,0,0,0,20190825
090010101011010,3,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,1,0,2,0,0,3,0,0,20190825
090010101011012,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,20190825
090010101012001,11,2,6,3,5,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,5,0,7,1,0,3,0,0,8,3,3,1,2,3,4,7,1,0,2,0,8,11,0,0,0,0,20190825
090010101012009,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,1,1,2,0,0,0,0,20190825
090010101012010,70,15,37,18,26,25,19,0,0,0,0,0,0,60,0,0,0,0,2,0,1,0,0,0,7,0,0,51,14,2,2,0,1,65,5,5,23,12,15,39,31,0,0,6,4,60,20,0,0,0,50,20190825
090010101012012,8,6,1,1,5,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,5,1,0,0,1,6,2,4,0,0,3,1,7,0,0,0,1,20190825
090010101012013,12,0,8,4,2,4,6,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,8,0,0,4,0,0,11,1,1,2,2,7,7,5,0,0,5,0,7,12,0,0,0,0,20190825
090010101012014,9,0,5,4,1,3,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,3,1,3,4,1,6,3,0,0,0,0,9,9,0,0,0,0,20190825
090010101012016,7,0,3,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,1,0,0,0,1,6,1,1,1,2,3,1,6,2,0,0,0,5,6,0,0,0,1,20190825
090010101013000,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,1,1,2,0,0,0,0,2,0,2,0,0,0,0,20190825
090010101013002,35,0,16,19,2,25,8,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,18,0,0,14,0,30,1,0,4,0,0,23,12,7,6,8,14,4,31,1,1,2,4,27,33,0,2,0,0,20190825
090010101013006,6,1,4,1,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,5,1,0,0,0,0,2,4,0,0,4,1,0,6,0,1,0,4,1,6,0,0,0,0,20190825
090010101013011,6,3,2,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,4,2,2,0,0,1,6,0,0,0,3,0,3,6,0,0,0,0,20190825
090010101013013,22,3,9,10,1,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,0,2,0,0,14,8,3,5,2,9,6,16,0,0,0,0,22,22,0,0,0,0,20190825
090010101013014,38,1,26,11,3,11,24,0,0,0,0,0,2,0,0,0,3,0,0,0,15,0,0,0,0,18,0,31,5,1,1,0,0,22,16,7,6,7,17,18,20,1,0,3,5,29,34,3,0,0,1,20190825
090010101013015,4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,1,3,1,1,2,0,2,2,0,0,0,0,4,4,0,0,0,0,20190825
090010101013018,10,2,5,3,0,1,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,9,0,0,1,0,0,8,2,0,1,1,6,6,4,0,0,0,7,3,2,8,0,0,0,20190825
090010101013021,6,2,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,2,0,2,0,6,0,0,0,0,6,6,0,0,0,0,20190825
090010101013022,16,6,8,2,4,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,1,2,0,0,10,6,2,2,4,2,12,4,0,2,0,0,14,16,0,0,0,0,20190825
090010101013025,5,0,3,2,0,3,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,1,0,1,0,4,2,3,0,0,0,4,1,4,0,0,0,1,20190825
