id,HP1,HP24,HP5,HP
3602044,1,0,0,1
3602737,6,0,0,6
3602968,3,0,0,3
3603408,6,0,0,6
3604803,0,0,0,0
3605034,1,0,0,1
3605639,0,0,0,0
3605672,0,0,0,0
3605771,1,0,0,1
3608323,2,0,0,2
3610132,2,0,0,2
3613233,0,0,0,0
3613618,0,0,0,0
3618597,0,0,0,0
3620379,0,0,0,0
3622183,11,0,0,11
3622260,13,0,0,13
3622876,10,3,5,18
3623217,0,0,0,0
3625384,1,0,0,1
3626264,0,0,0,0
3626352,11,0,0,11
3627485,7,0,0,7
3628178,4,0,0,4
3629113,2,0,0,2
3630169,9,0,0,9
3630191,2,0,0,2
3630213,0,0,36,36
3630576,0,0,0,0
3632963,0,0,0,0
3633139,6,0,0,6
3634297,1,0,0,1
3634308,1,0,0,1
3634319,1,0,0,1
3637022,1,0,0,1
3637840,1,3,0,4
3637847,10,0,0,10
3639309,4,0,0,4
3639694,9,0,0,9
3640530,9,0,0,9
3640937,2,0,0,2
3641432,0,0,0,0
3641487,3,0,0,3
3641553,6,0,0,6
3642554,3,0,0,3
3643005,0,0,0,0
3643335,19,0,0,19
3643874,0,0,0,0
3644787,0,0,0,0
3645106,2,0,0,2
3645997,9,0,0,9
3646107,0,0,0,0
3647405,0,0,0,0
3647636,2,2,266,270
3649231,0,0,0,0
3649330,9,0,0,9
3650397,1,0,0,1
3651286,2,0,0,2
3652188,2,0,0,2
3653022,0,0,0,0
3653396,1,0,0,1
3654430,3,0,0,3
3654562,0,0,0,0
3654617,0,0,0,0
3654705,9,0,0,9
3656011,3,0,0,3
3656660,0,0,0,0
3658475,7,0,0,7
3658486,1,0,0,1
3658497,0,0,0,0
3659157,0,0,0,0
3659355,1,0,0,1
3659531,1,0,0,1
3660422,12,0,0,12
3663264,5,0,0,5
3663770,18,0,0,18
3663792,3,0,0,3
3663803,4,0,0,4
3664232,0,0,0,0
3664430,1,0,0,1
3664452,5,0,0,5
3664485,12,0,0,12
3664881,2,0,0,2
3665035,5,0,0,5
3666047,1,0,0,1
3667191,0,0,0,0
3668462,37,0,0,37
3669023,1,0,0,1
3671267,0,0,0,0
3673605,0,0,0,0
3676331,1,0,0,1
3676705,4,0,0,4
3677519,0,0,0,0
