ZIPCODE	CSA
6524	408
6525	408
6604	408
6605	408
6606	408
6607	408
6608	408
6610	408
6611	408
6612	408
6614	408
6615	408
6702	408
6704	408
6705	408
7512	408
7513	408
7514	408
7522	408
12401	408
12404	408
12406	408
12409	408
12410	408
12411	408
12412	408
12414	408
7524	408
7601	408
7603	408
7604	408
7605	408
7606	408
7607	408
7608	408
12416	408
12417	408
12419	408
12420	408
12427	408
12428	408
12429	408
12430	408
12432	408
7620	408
7621	408
7624	408
7626	408
7627	408
7628	408
7630	408
12433	408
12435	408
12440	408
12441	408
12443	408
12446	408
12448	408
12449	408
12450	408
7631	408
7632	408
7640	408
7641	408
7642	408
7643	408
12453	408
12455	408
12456	408
12457	408
12458	408
12461	408
12463	408
12464	408
12465	408
12466	408
12471	408
12472	408
7644	408
7645	408
7646	408
7647	408
12475	408
12477	408
12480	408
12481	408
12483	408
12484	408
6811	408
6812	408
6820	408
6824	408
6825	408
6830	408
6831	408
6840	408
6850	408
6851	408
6853	408
6854	408
6855	408
18913	408
18920	408
18930	408
6856	408
6870	408
6877	408
6878	408
6880	408
6883	408
6890	408
6896	408
6897	408
6901	408
6902	408
6903	408
6905	408
6906	408
6907	408
18938	408
18947	408
18950	408
18972	408
18977	408
6790	408
6791	408
6793	408
6794	408
6795	408
6796	408
6798	408
6801	408
6804	408
6807	408
6810	408
19067	408
7204	408
7205	408
7206	408
7208	408
7302	408
7304	408
7001	408
7002	408
7003	408
7004	408
7005	408
7006	408
7008	408
7009	408
7010	408
7011	408
7012	408
8087	408
8092	408
7013	408
7014	408
10065	408
10069	408
10075	408
10103	408
10110	408
10111	408
10112	408
10115	408
10119	408
10128	408
10152	408
10153	408
10154	408
10162	408
10165	408
10167	408
10168	408
10169	408
10170	408
10171	408
10172	408
10173	408
10174	408
10177	408
10199	408
10271	408
10278	408
10279	408
10280	408
10282	408
10301	408
10302	408
10303	408
10304	408
10305	408
10306	408
10307	408
10308	408
10309	408
10310	408
10311	408
10312	408
10314	408
1034	408
7305	408
7306	408
7307	408
10451	408
10452	408
10453	408
10454	408
10455	408
10456	408
10457	408
10458	408
10459	408
6437	408
10460	408
10461	408
10462	408
10463	408
10464	408
10465	408
10466	408
10467	408
10468	408
10469	408
10470	408
10471	408
10472	408
10473	408
6390	408
10001	408
10002	408
10003	408
10004	408
10005	408
10006	408
10007	408
10009	408
1222	408
10010	408
10011	408
10012	408
10013	408
10014	408
10016	408
10017	408
10018	408
10019	408
10020	408
10021	408
1255	408
1257	408
1258	408
1259	408
10474	408
10475	408
10501	408
10502	408
6443	408
6444	408
6450	408
6451	408
10022	408
10023	408
10024	408
10025	408
10026	408
10027	408
10028	408
10029	408
10030	408
10031	408
6455	408
6457	408
6460	408
6461	408
6468	408
6470	408
6471	408
6472	408
6473	408
6477	408
6478	408
6479	408
6482	408
6483	408
6484	408
6488	408
6489	408
12788	408
12789	408
12790	408
12791	408
12792	408
10032	408
10033	408
10034	408
10035	408
10036	408
10037	408
10038	408
10039	408
10040	408
10044	408
6754	408
6755	408
6756	408
6757	408
6759	408
6762	408
6763	408
6770	408
6776	408
6777	408
6778	408
6492	408
6510	408
6511	408
6512	408
6513	408
6514	408
6515	408
6516	408
6517	408
6518	408
6519	408
11225	408
11226	408
11228	408
11229	408
11230	408
11231	408
11232	408
11233	408
7750	408
7751	408
7753	408
7755	408
7756	408
7757	408
7758	408
7760	408
7762	408
7764	408
7801	408
6779	408
6782	408
6783	408
6784	408
6785	408
6786	408
6787	408
6010	408
6013	408
6018	408
6019	408
6021	408
11234	408
11235	408
11236	408
11237	408
11238	408
11239	408
11351	408
11354	408
7803	408
7820	408
7821	408
7822	408
7823	408
7825	408
7826	408
7827	408
7828	408
7830	408
7832	408
7833	408
7834	408
7836	408
7838	408
7840	408
7842	408
6024	408
6027	408
6031	408
6037	408
6039	408
6057	408
6058	408
6059	408
6061	408
6063	408
6065	408
6068	408
6069	408
11355	408
11356	408
11357	408
11358	408
11359	408
11360	408
11361	408
11362	408
6090	408
6091	408
6098	408
11363	408
11364	408
11365	408
11366	408
11367	408
11368	408
11369	408
11370	408
11371	408
11372	408
11373	408
11374	408
11375	408
11377	408
11378	408
7079	408
7033	408
7034	408
7035	408
7036	408
7039	408
6418	408
6419	408
7080	408
7081	408
7082	408
7083	408
7086	408
7087	408
7088	408
11379	408
11385	408
11411	408
11412	408
11413	408
11414	408
7040	408
7041	408
7042	408
7043	408
7044	408
7045	408
7090	408
7092	408
7093	408
7094	408
7095	408
7102	408
7103	408
7046	408
7047	408
7050	408
7052	408
7054	408
7055	408
10992	408
10993	408
10994	408
10996	408
10998	408
11001	408
7104	408
7105	408
7106	408
7107	408
7108	408
7057	408
7058	408
7059	408
7060	408
7062	408
7063	408
7064	408
11003	408
11004	408
11005	408
11010	408
11020	408
11021	408
7109	408
7110	408
7111	408
7065	408
7066	408
7067	408
7068	408
7069	408
7070	408
7071	408
11023	408
11024	408
11030	408
11040	408
11042	408
11050	408
11096	408
6706	408
6708	408
6710	408
6712	408
6716	408
6750	408
11101	408
11102	408
11103	408
11104	408
11105	408
11106	408
11109	408
11201	408
11203	408
11204	408
6751	408
6752	408
7112	408
7114	408
7201	408
7202	408
7203	408
7072	408
7073	408
7074	408
7075	408
7076	408
7077	408
7078	408
11205	408
11206	408
11207	408
11208	408
11209	408
11210	408
11211	408
11212	408
11213	408
11214	408
11215	408
11216	408
11217	408
11218	408
11219	408
6422	408
6758	408
12486	408
11220	408
11221	408
11222	408
11223	408
11224	408
12487	408
12489	408
12490	408
12491	408
12492	408
12493	408
12494	408
12495	408
12498	408
12501	408
12504	408
12507	408
12508	408
12512	408
12514	408
12515	408
12518	408
12520	408
12522	408
12524	408
12525	408
12526	408
12527	408
12528	408
12531	408
12533	408
12538	408
12540	408
12542	408
12543	408
12545	408
12546	408
12547	408
12548	408
12549	408
12550	408
12553	408
12561	408
12563	408
18301	408
18302	408
18324	408
18327	408
18328	408
18336	408
18337	408
18340	408
18343	408
6401	408
6403	408
6405	408
6410	408
6413	408
11575	408
11576	408
11577	408
11579	408
11580	408
11581	408
11590	408
11596	408
12564	408
12566	408
12567	408
12569	408
12570	408
12571	408
12572	408
12574	408
12575	408
12577	408
12578	408
12580	408
12581	408
12582	408
12583	408
12585	408
12586	408
12589	408
12590	408
12592	408
12594	408
12601	408
12603	408
12604	408
12701	408
12719	408
18351	408
18405	408
18415	408
18417	408
11598	408
11691	408
11692	408
11693	408
11694	408
11697	408
11701	408
11702	408
11703	408
11704	408
12720	408
12721	408
12722	408
12723	408
12724	408
12725	408
12726	408
12729	408
12732	408
12733	408
12734	408
12736	408
12737	408
12738	408
12740	408
12741	408
12742	408
12743	408
12745	408
12746	408
12747	408
12748	408
12749	408
12750	408
12751	408
12752	408
12754	408
12758	408
12759	408
12760	408
18435	408
18443	408
18458	408
11705	408
11706	408
11709	408
11710	408
11713	408
11714	408
11715	408
11716	408
11717	408
11718	408
11719	408
11720	408
11721	408
11722	408
11724	408
11725	408
12762	408
12763	408
12764	408
12765	408
12766	408
12767	408
12768	408
12769	408
12770	408
12771	408
12775	408
12776	408
12777	408
12778	408
12779	408
12780	408
12781	408
12783	408
12784	408
12785	408
12786	408
12787	408
11726	408
11727	408
11729	408
11730	408
11731	408
11732	408
11733	408
11735	408
11738	408
11739	408
11740	408
11741	408
11743	408
11746	408
11747	408
11749	408
11751	408
11752	408
11753	408
11754	408
11755	408
11968	408
11970	408
11971	408
11972	408
11973	408
11975	408
11976	408
11977	408
11978	408
11980	408
11415	408
11416	408
11417	408
11418	408
11419	408
11420	408
11421	408
11422	408
7648	408
7649	408
7650	408
7652	408
10503	408
10504	408
10505	408
10506	408
10507	408
10509	408
10510	408
10511	408
10512	408
10514	408
10516	408
10517	408
10518	408
10519	408
10520	408
11423	408
11424	408
11425	408
11426	408
11427	408
11428	408
11429	408
11430	408
11432	408
11742	408
11756	408
11757	408
11758	408
11762	408
7656	408
7657	408
7660	408
7661	408
7662	408
7663	408
7666	408
10522	408
10523	408
10524	408
10526	408
10527	408
10528	408
10530	408
10532	408
10533	408
10535	408
10536	408
10537	408
10538	408
10541	408
10543	408
10545	408
11433	408
11434	408
11435	408
11436	408
11451	408
11501	408
11507	408
11509	408
11510	408
11763	408
11764	408
11765	408
11766	408
11767	408
11768	408
11769	408
11770	408
11771	408
11772	408
11776	408
11777	408
7670	408
7675	408
7676	408
7677	408
7701	408
7702	408
7703	408
7704	408
10546	408
10547	408
10548	408
10549	408
10550	408
10552	408
10553	408
10560	408
10562	408
10566	408
10567	408
10570	408
10573	408
10576	408
10577	408
10578	408
10579	408
10580	408
10583	408
10588	408
10589	408
10590	408
10591	408
10594	408
10595	408
10596	408
10597	408
10598	408
11514	408
11516	408
11518	408
11520	408
11530	408
11542	408
11545	408
11547	408
11548	408
11778	408
11779	408
11780	408
11782	408
11783	408
11784	408
11786	408
11787	408
11788	408
11789	408
11790	408
11791	408
11792	408
11793	408
11794	408
7711	408
7712	408
7716	408
7717	408
7718	408
7719	408
7720	408
10601	408
10603	408
10604	408
10605	408
10606	408
10607	408
10701	408
10703	408
10704	408
10705	408
10706	408
10707	408
10708	408
10709	408
10710	408
10801	408
10803	408
10804	408
10805	408
10901	408
11549	408
11550	408
11552	408
11553	408
11554	408
11556	408
11557	408
11558	408
11795	408
11796	408
11797	408
11798	408
11801	408
11803	408
7721	408
7722	408
7723	408
7724	408
7726	408
7727	408
7728	408
10910	408
10911	408
10913	408
10914	408
10915	408
10916	408
10917	408
10918	408
10919	408
10920	408
10921	408
10922	408
10923	408
10924	408
10925	408
10926	408
10927	408
10928	408
10930	408
10931	408
11804	408
11901	408
11930	408
11931	408
11932	408
11933	408
11934	408
11935	408
11937	408
7730	408
7731	408
7732	408
7733	408
7734	408
7735	408
7737	408
7738	408
7739	408
7740	408
7746	408
7747	408
10932	408
10933	408
10940	408
10941	408
10950	408
10952	408
10953	408
10954	408
10956	408
10958	408
10960	408
10962	408
10963	408
10964	408
10965	408
10968	408
10969	408
10970	408
10973	408
10974	408
10975	408
10976	408
10977	408
10979	408
10980	408
11559	408
11560	408
11561	408
11563	408
11565	408
11566	408
11568	408
11569	408
11570	408
11572	408
11939	408
11940	408
11941	408
11942	408
11944	408
11946	408
11947	408
11948	408
11949	408
11950	408
7016	408
7017	408
7018	408
7020	408
13731	408
11951	408
11952	408
11953	408
11954	408
11955	408
11956	408
11957	408
11958	408
11959	408
11960	408
11961	408
11962	408
11963	408
11964	408
11965	408
7748	408
10983	408
10984	408
10985	408
10986	408
10987	408
10988	408
10989	408
10990	408
7021	408
7022	408
7023	408
7024	408
7026	408
7027	408
7028	408
7029	408
7030	408
7031	408
7032	408
7851	408
7852	408
7853	408
7856	408
11967	408
7857	408
7860	408
7863	408
7865	408
7866	408
7869	408
7870	408
7871	408
7874	408
7876	408
7878	408
7880	408
7881	408
7882	408
7885	408
7901	408
7920	408
7921	408
7922	408
7924	408
7843	408
7846	408
7847	408
7848	408
7849	408
7850	408
8501	408
8502	408
8505	408
8510	408
8511	408
8512	408
8514	408
8515	408
7926	408
7927	408
7928	408
7930	408
7931	408
7932	408
7933	408
7934	408
7935	408
7936	408
7939	408
7940	408
7945	408
7946	408
7950	408
7960	408
7961	408
7970	408
7974	408
7976	408
8520	408
8525	408
8527	408
8528	408
8530	408
8533	408
8534	408
8535	408
8536	408
8540	408
8542	408
8550	408
8551	408
8553	408
18013	408
7977	408
7979	408
7980	408
7981	408
8005	408
8006	408
8008	408
8015	408
8555	408
8558	408
8559	408
8560	408
8561	408
8562	408
8608	408
8609	408
8610	408
8611	408
8618	408
8619	408
8620	408
8628	408
8629	408
8638	408
8640	408
8648	408
8690	408
8691	408
8701	408
18040	408
18042	408
8720	408
8721	408
8722	408
8723	408
8724	408
8730	408
8731	408
8732	408
8733	408
8734	408
8735	408
8736	408
8738	408
8740	408
18077	408
8741	408
8742	408
8750	408
8751	408
8752	408
8753	408
8755	408
8757	408
8758	408
8759	408
8801	408
8802	408
8804	408
8805	408
8807	408
8808	408
8809	408
8810	408
8812	408
8816	408
8817	408
8820	408
8823	408
8824	408
8825	408
8826	408
8827	408
8828	408
8829	408
8830	408
8831	408
8821	408
8822	408
8832	408
8833	408
8835	408
8836	408
8837	408
8840	408
8844	408
8846	408
8848	408
8850	408
8852	408
8853	408
8854	408
8857	408
8858	408
8859	408
8861	408
8863	408
8865	408
8867	408
8869	408
8872	408
8873	408
8876	408
8879	408
8880	408
8882	408
8884	408
8886	408
8887	408
8889	408
8890	408
8901	408
8902	408
8904	408
7310	408
7311	408
7401	408
7403	408
7405	408
7407	408
7410	408
7416	408
7417	408
7418	408
7419	408
7420	408
7421	408
7422	408
8050	408
7423	408
7424	408
7430	408
7432	408
7435	408
7436	408
7438	408
7439	408
7440	408
7442	408
7444	408
7446	408
7450	408
7452	408
7456	408
7457	408
7458	408
7460	408
7461	408
7462	408
7463	408
7465	408
7470	408
7480	408
7481	408
7495	408
7501	408
7502	408
7503	408
7504	408
7505	408
7506	408
7508	408
