ZIPCODE,CSA
1005,148
1010,148
1031,148
1037,148
1068,148
1069,148
1074,148
1082,148
1083,148
1092,148
1094,148
1331,148
1355,148
1364,148
1366,148
1368,148
1420,148
1430,148
1431,148
1432,148
1434,148
1436,148
1438,148
1440,148
1450,148
1451,148
1452,148
1453,148
1460,148
1462,148
1463,148
1464,148
1467,148
1468,148
1469,148
1473,148
1474,148
1475,148
1501,148
1503,148
1504,148
1505,148
1506,148
1507,148
1510,148
1515,148
1516,148
1518,148
1519,148
1520,148
1521,148
1522,148
1523,148
1524,148
1525,148
1527,148
1529,148
1531,148
1532,148
1534,148
1535,148
1536,148
1537,148
1540,148
1541,148
1542,148
1543,148
1545,148
1550,148
1560,148
1561,148
1562,148
1564,148
1566,148
1568,148
1569,148
1570,148
1571,148
1581,148
1583,148
1585,148
1588,148
1590,148
1602,148
1603,148
1604,148
1605,148
1606,148
1607,148
1608,148
1609,148
1610,148
1611,148
1612,148
1701,148
1702,148
1718,148
1719,148
1720,148
1721,148
1730,148
1731,148
1740,148
1741,148
1742,148
1745,148
1746,148
1747,148
1748,148
1749,148
1752,148
1754,148
1756,148
1757,148
1760,148
1770,148
1772,148
1773,148
1775,148
1776,148
1778,148
1801,148
1803,148
1810,148
1821,148
1824,148
1826,148
1827,148
1830,148
1832,148
1833,148
1834,148
1835,148
1840,148
1841,148
1843,148
1844,148
1845,148
1850,148
1851,148
1852,148
1854,148
1860,148
1862,148
1863,148
1864,148
1867,148
1876,148
1879,148
1880,148
1886,148
1887,148
1890,148
1901,148
1902,148
1904,148
1905,148
1906,148
1907,148
1908,148
1913,148
1915,148
1921,148
1922,148
1923,148
1929,148
1930,148
1937,148
1938,148
1940,148
1944,148
1945,148
1949,148
1950,148
1951,148
1952,148
1960,148
1966,148
1969,148
1970,148
1982,148
1983,148
1984,148
1985,148
2019,148
2021,148
2025,148
2026,148
2030,148
2032,148
2035,148
2038,148
2043,148
2045,148
2047,148
2048,148
2050,148
2052,148
2053,148
2054,148
2056,148
2061,148
2062,148
2066,148
2067,148
2071,148
2072,148
2081,148
2090,148
2093,148
2108,148
2109,148
2110,148
2111,148
2113,148
2114,148
2115,148
2116,148
2118,148
2119,148
2120,148
2121,148
2122,148
2124,148
2125,148
2126,148
2127,148
2128,148
2129,148
2130,148
2131,148
2132,148
2134,148
2135,148
2136,148
2138,148
2139,148
2140,148
2141,148
2142,148
2143,148
2144,148
2145,148
2148,148
2149,148
2150,148
2151,148
2152,148
2155,148
2163,148
2169,148
2170,148
2171,148
2176,148
2180,148
2184,148
2186,148
2188,148
2189,148
2190,148
2191,148
2199,148
2203,148
2210,148
2215,148
2301,148
2302,148
2322,148
2324,148
2330,148
2332,148
2333,148
2338,148
2339,148
2341,148
2343,148
2346,148
2347,148
2351,148
2356,148
2357,148
2359,148
2360,148
2364,148
2366,148
2367,148
2368,148
2370,148
2375,148
2379,148
2382,148
2420,148
