,id,stco,name,yr,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,subreg
306,09001,09001,"Fairfield County, Connecticut",2000,20836,57724,71076,585277,656353,3225,9088,494404,county,CT
308,09005,09005,"Litchfield County, Connecticut",2000,1468,1279,2334,135013,137347,385,927,130954,county,CT
310,09009,09009,"New Haven County, Connecticut",2000,14531,59957,51474,570855,622329,2491,7570,486306,county,CT
1773,34003,34003,"Bergen County, New Jersey",2000,68872,33197,65860,615204,681064,1706,8342,503087,county,INJ
1778,34013,34013,"Essex County, New Jersey",2000,21876,225054,85706,500977,586683,3649,12952,237446,county,INJ
1780,34017,34017,"Hudson County, New Jersey",2000,44441,52194,176663,294814,471477,3259,11765,183155,county,INJ
1781,34019,34019,"Hunterdon County, New Jersey",2000,1667,2299,2471,88144,90615,174,507,83497,county,ONJ
1782,34021,34021,"Mercer County, New Jersey",2000,12741,47413,23388,243036,266424,833,3136,178913,county,ONJ
1783,34023,34023,"Middlesex County, New Jersey",2000,77285,46062,69621,502913,572534,1987,7961,369618,county,INJ
1784,34025,34025,"Monmouth County, New Jersey",2000,17374,33162,25983,428976,454959,1108,4357,372975,county,ONJ
1785,34027,34027,"Morris County, New Jersey",2000,21644,9347,26363,327011,353374,770,2855,292395,county,INJ
1786,34029,34029,"Ocean County, New Jersey",2000,4664,9646,16868,375002,391870,641,2431,357620,county,ONJ
1787,34031,34031,"Passaic County, New Jersey",2000,12911,41572,99389,262174,361563,1357,7143,199191,county,INJ
1789,34035,34035,"Somerset County, New Jersey",2000,17818,15264,18039,203460,221499,560,2038,167780,county,INJ
1790,34037,34037,"Sussex County, New Jersey",2000,1183,985,3113,100835,103948,184,710,97773,county,ONJ
1791,34039,34039,"Union County, New Jersey",2000,14632,73682,73783,318817,392600,1436,6130,222937,county,INJ
1792,34041,34041,"Warren County, New Jersey",2000,879,1272,2454,73293,75747,158,565,70419,county,ONJ
1828,36005,36005,"Bronx County, New York",2000,28915,289740,423572,511706,935278,8105,19596,165350,county,NYC
1839,36027,36027,"Dutchess County, New York",2000,5235,17761,12249,197633,209882,631,2257,171749,county,MHV
1849,36047,36047,"Kings County, New York",2000,139016,592785,332412,1470415,1802827,13716,49395,675503,county,NYC
1855,36059,36059,"Nassau County, New York",2000,45096,91041,93142,912323,1005465,2913,11170,762103,county,LI
1856,36061,36061,"New York County, New York",2000,124278,179946,305407,973872,1279279,6577,22515,640556,county,NYC
1861,36071,36071,"Orange County, New York",2000,3703,17228,25232,216979,242211,883,2504,192661,county,MHV
1865,36079,36079,"Putnam County, New York",2000,855,1081,4116,66255,70371,159,534,63626,county,LHV
1866,36081,36081,"Queens County, New York",2000,300567,305674,403106,1317049,1720155,24111,68059,618638,county,NYC
1868,36085,36085,"Richmond County, New York",2000,18636,25714,34711,295759,330470,1012,4880,245517,county,NYC
1869,36087,36087,"Rockland County, New York",2000,11483,20481,20264,186203,206467,716,3038,150485,county,LHV
1877,36103,36103,"Suffolk County, New York",2000,25996,62491,100798,948490,1049288,3596,10885,845522,county,LI
1878,36105,36105,"Sullivan County, New York",2000,612,4390,4526,50988,55514,201,503,45282,county,MHV
1881,36111,36111,"Ulster County, New York",2000,1657,6907,7555,128423,135978,600,1524,117735,county,MHV
1885,36119,36119,"Westchester County, New York",2000,30085,89327,99604,593058,692662,2833,11047,459766,county,LHV
160,09001,09001,"Fairfield County, Connecticut",2010,31207,68000,108149,581661,689810,4952,6949,470553,county,CT
168,09005,09005,"Litchfield County, Connecticut",2010,2064,1687,5324,143651,148975,396,1165,138339,county,CT
173,09009,09009,"New Haven County, Connecticut",2010,22616,73409,84123,585380,669503,3150,7548,478657,county,CT
493,36047,36047,"Kings County, New York",2010,202681,606643,359871,1550451,1910322,11245,27849,702033,county,NYC
499,36059,36059,"Nassau County, New York",2010,75802,105527,138202,889750,1027952,4043,10486,693892,county,LI
500,36061,36061,"New York County, New York",2010,158104,167141,315139,1036299,1351438,6064,21053,683937,county,NYC
501,36079,36079,"Putnam County, New York",2010,1342,1536,8182,67878,76060,190,597,64213,county,LHV
505,36071,36071,"Orange County, New York",2010,6431,24348,43208,228076,271284,1253,3525,192519,county,MHV
510,36081,36081,"Queens County, New York",2010,407926,305075,459179,1309642,1768821,28521,41029,527091,county,NYC
512,36085,36085,"Richmond County, New York",2010,27049,31490,54618,304911,359529,1288,3931,241153,county,NYC
513,36087,36087,"Rockland County, New York",2010,14765,25907,34135,189972,224107,748,2447,146105,county,LHV
521,36103,36103,"Suffolk County, New York",2010,38140,74010,169015,966665,1135680,4240,10355,839920,county,LI
522,36105,36105,"Sullivan County, New York",2010,839,4833,6986,52985,59971,338,662,46313,county,MHV
525,36111,36111,"Ulster County, New York",2010,2415,7800,10805,134872,145677,584,1873,122200,county,MHV
528,36119,36119,"Westchester County, New York",2010,38707,96763,145755,575358,721113,3411,8009,428468,county,LHV
623,34041,34041,"Warren County, New Jersey",2010,1888,2486,4975,78109,83084,180,628,72927,county,ONJ
626,34035,34035,"Somerset County, New Jersey",2010,32701,20037,29131,213478,242609,689,2532,157519,county,INJ
627,34037,34037,"Sussex County, New Jersey",2010,1971,1751,6343,107149,113492,241,826,102360,county,ONJ
628,34039,34039,"Union County, New Jersey",2010,18687,82444,105722,299519,405241,2000,4147,192241,county,INJ
667,36005,36005,"Bronx County, New York",2010,36525,309709,520397,496515,1016912,8657,11419,130205,county,NYC
675,36027,36027,"Dutchess County, New York",2010,7733,20792,21311,210208,231519,882,2828,177973,county,MHV
1807,34021,34021,"Mercer County, New Jersey",2010,23858,52811,38813,244718,283531,873,3366,163810,county,ONJ
1808,34023,34023,"Middlesex County, New Jersey",2010,127602,53383,103155,521246,624401,2652,8505,329104,county,INJ
1809,34025,34025,"Monmouth County, New Jersey",2010,23096,32587,41337,438744,480081,1825,4415,376821,county,ONJ
1865,34027,34027,"Morris County, New Jersey",2010,32741,10854,40669,333912,374581,805,3386,286126,county,INJ
1866,34029,34029,"Ocean County, New Jersey",2010,7564,11907,31236,410412,441648,770,2888,387283,county,ONJ
3152,34003,34003,"Bergen County, New Jersey",2010,100038,36048,104506,596205,700711,2424,7258,450437,county,INJ
3154,34019,34019,"Hunterdon County, New Jersey",2010,3039,2717,4771,93361,98132,191,624,86790,county,ONJ
3157,34013,34013,"Essex County, New Jersey",2010,27293,227440,113312,475739,589051,5858,8227,206921,county,INJ
3159,34017,34017,"Hudson County, New Jersey",2010,69894,53637,200642,302462,503104,3792,6950,168189,county,INJ
3160,34031,34031,"Passaic County, New Jersey",2010,18645,41212,128930,247683,376613,1421,3903,182502,county,INJ
0,CT,,Connecticut,2000,36835,118960,124884,1291145,1416029,6101,17585,1111664,subregion,CT
1,CT,,Connecticut,2010,55887,143096,197596,1310692,1508288,8498,15662,1087549,subregion,CT
2,INJ,,Inner New Jersey,2000,279479,496372,615424,3025370,3640794,14724,59186,2175609,subregion,INJ
