,COUNTY,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,STATE,SUMLEV,id,name
10,001,913,412,1715,14186,15901,314,746,11801,09,60,900104720,Bethel town
11,001,3243,37393,44748,68968,113716,2312,4037,21983,09,60,900108070,Bridgeport town
12,001,706,227,936,12888,13824,143,533,11279,09,60,900108980,Brookfield town
13,001,4308,4452,20168,48080,68248,2231,4209,32880,09,60,900118500,Danbury town
14,001,821,112,797,13871,14668,67,365,12506,09,60,900118850,Darien town
15,001,251,80,289,5501,5790,34,147,4989,09,60,900123890,Easton town
16,001,2154,860,3406,44297,47703,313,1195,39775,09,60,900126620,Fairfield town
17,001,3576,906,5654,42285,47939,479,1587,35737,09,60,900133620,Greenwich town
18,001,477,293,975,13574,14549,81,349,12374,09,60,900148620,Monroe town
19,001,809,160,685,13889,14574,59,343,12518,09,60,900150580,New Canaan town
20,001,207,111,765,9964,10729,83,249,9314,09,60,900150860,New Fairfield town
21,001,583,498,1184,20111,21295,114,556,18360,09,60,900152980,Newtown town
22,001,3900,8760,19680,53002,72682,499,1680,38163,09,60,900156060,Norwalk town
23,001,191,55,287,6631,6918,47,172,6166,09,60,900163480,Redding town
24,001,890,181,932,17727,18659,123,452,16081,09,60,900163970,Ridgefield town
25,001,1429,1335,2799,30940,33739,240,760,27176,09,60,900168170,Shelton town
26,001,32,24,102,2823,2925,6,87,2674,09,60,900168310,Sherman town
27,001,9252,12819,27527,81188,108715,797,2447,55873,09,60,900173070,Stamford town
28,001,1059,6895,7644,34332,41976,362,1245,24771,09,60,900174190,Stratford town
29,001,1728,1148,2237,25530,27767,204,681,21769,09,60,900177200,Trumbull town
30,001,409,105,375,7095,7470,44,237,6300,09,60,900183430,Weston town
31,001,1245,267,1009,18934,19943,93,529,16800,09,60,900183500,Westport town
32,001,1086,151,579,12861,13440,64,383,11177,09,60,900186370,Wilton town
62,005,22,7,56,2908,2964,11,91,2777,09,60,900502760,Barkhamsted town
63,005,20,24,63,2791,2854,15,72,2660,09,60,900504930,Bethlehem town
64,005,8,14,37,1418,1455,9,54,1333,09,60,900508210,Bridgewater town
65,005,1,15,33,865,898,7,12,830,09,60,900510940,Canaan town
66,005,2,3,22,1138,1160,8,43,1082,09,60,900516050,Colebrook town
67,005,17,0,40,1315,1355,6,38,1254,09,60,900517240,Cornwall town
68,005,28,16,88,2519,2607,4,67,2404,09,60,900532290,Goshen town
69,005,31,25,114,4257,4371,11,111,4079,09,60,900537280,Harwinton town
70,005,65,26,110,2428,2538,23,88,2226,09,60,900540290,Kent town
71,005,93,34,186,6673,6859,23,184,6339,09,60,900543370,Litchfield town
72,005,10,8,39,1835,1874,6,49,1762,09,60,900549460,Morris town
73,005,60,18,112,5301,5413,33,156,5034,09,60,900551350,New Hartford town
74,005,761,484,2238,20142,22380,223,1014,17660,09,60,900552630,New Milford town
75,005,18,8,27,1302,1329,4,32,1240,09,60,900553470,Norfolk town
76,005,13,26,192,2462,2654,11,98,2314,09,60,900554030,North Canaan town
77,005,101,113,454,9165,9619,33,392,8526,09,60,900560750,Plymouth town
78,005,29,9,48,1882,1930,9,64,1771,09,60,900565930,Roxbury town
79,005,51,53,138,3293,3431,34,104,3051,09,60,900566420,Salisbury town
80,005,34,34,79,2259,2338,24,63,2104,09,60,900567960,Sharon town
81,005,61,52,209,5874,6083,35,194,5532,09,60,900575730,Thomaston town
