,id,name,stco,subreg,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,yr
0,09001,"Fairfield County, Connecticut",09001,CT,39269,77244,144493,598677,743170,8709,22989,450466,county,2020
1,09005,"Litchfield County, Connecticut",09005,CT,2719,2342,9635,142244,151879,949,5013,131221,county,2020
2,09009,"New Haven County, Connecticut",09009,CT,29411,84468,116049,574945,690994,5695,19450,435921,county,2020
3,36005,"Bronx County, New York",36005,NYC,52705,324265,600336,522739,1123075,13620,21564,110585,county,2020
4,36027,"Dutchess County, New York",36027,MHV,8800,23827,29630,209993,239623,1836,7787,167743,county,2020
5,36047,"Kings County, New York",36047,NYC,294905,584397,391547,1748824,2140371,25473,84678,759371,county,2020
6,36059,"Nassau County, New York",36059,LI,123754,117222,184325,914559,1098884,9509,22902,641172,county,2020
7,36061,"New York County, New York",36061,NYC,196100,167205,329236,1132504,1461740,12876,45814,710509,county,2020
8,36071,"Orange County, New York",36071,MHV,9394,31773,61549,237754,299303,6031,8540,182016,county,2020
9,36079,"Putnam County, New York",36079,LHV,1732,1968,12357,65913,78270,466,1728,60019,county,2020
10,36081,"Queens County, New York",36081,NYC,538284,308971,516054,1433415,1949469,50589,64694,470877,county,2020
11,36085,"Richmond County, New York",36085,NYC,46237,35179,68231,321162,389393,2807,7490,229449,county,2020
12,36087,"Rockland County, New York",36087,LHV,16553,27024,45652,193864,239516,2100,4636,143551,county,2020
13,36103,"Suffolk County, New York",36103,LI,51719,83946,234093,980319,1214412,8889,25605,810160,county,2020
14,36105,"Sullivan County, New York",36105,MHV,1345,4939,9582,52204,61786,616,2201,43103,county,2020
15,36111,"Ulster County, New York",36111,MHV,3129,8327,14859,134598,149457,1269,5504,116369,county,2020
16,36119,"Westchester County, New York",36119,LHV,50815,104959,193975,588467,782442,6839,19226,406628,county,2020
17,34003,"Bergen County, New Jersey",34003,INJ,125126,40286,150353,604881,755234,5086,14516,419867,county,2020
18,34013,"Essex County, New Jersey",34013,INJ,36581,248175,151967,509541,661508,9884,23120,191781,county,2020
19,34017,"Hudson County, New Jersey",34017,INJ,103391,56632,225167,357584,582751,7478,13958,176125,county,2020
20,34019,"Hunterdon County, New Jersey",34019,ONJ,4429,2546,7427,96593,104020,451,2434,86733,county,2020
21,34021,"Mercer County, New Jersey",34021,ONJ,37076,56286,58353,246319,304672,1610,7236,144111,county,2020
22,34023,"Middlesex County, New Jersey",34023,INJ,174301,62024,138338,541671,680009,5821,13589,285936,county,2020
23,34025,"Monmouth County, New Jersey",34025,ONJ,28594,31075,55060,456610,511670,3861,13878,379202,county,2020
24,34027,"Morris County, New Jersey",34027,INJ,44819,12488,55405,348188,403593,1934,8821,280126,county,2020
25,34029,"Ocean County, New Jersey",34029,ONJ,9363,13619,44406,438194,482600,2664,10710,401838,county,2020
26,34031,"Passaic County, New Jersey",34031,INJ,23914,40615,162368,241448,403816,2545,6758,167616,county,2020
27,34035,"Somerset County, New Jersey",34035,INJ,50298,23830,40896,230308,271204,1577,6296,148307,county,2020
28,34037,"Sussex County, New Jersey",34037,ONJ,2403,2206,9902,106543,116445,630,3183,98121,county,2020
29,34039,"Union County, New Jersey",34039,INJ,25018,87934,141485,299371,440856,4384,11270,170765,county,2020
30,34041,"Warren County, New Jersey",34041,ONJ,2304,4018,8260,79559,87819,434,2559,70244,county,2020
0,CT,Connecticut,,CT,71399,164054,270177,1315866,1586043,15353,47452,1017608,subregion,2020
1,INJ,Inner New Jersey,,INJ,583448,571984,1065979,3132992,4198971,38709,98328,1840523,subregion,2020
2,LHV,Lower Hudson Valley,,LHV,69100,133951,251984,848244,1100228,9405,25590,610198,subregion,2020
3,LI,Long Island,,LI,175473,201168,418418,1894878,2313296,18398,48507,1451332,subregion,2020
4,MHV,Mid Hudson Valley,,MHV,22668,68866,115620,634549,750169,9752,24032,509231,subregion,2020
5,NYC,New York City,,NYC,1128231,1420017,1905404,5158644,7064048,105365,224240,2280791,subregion,2020
6,ONJ,Outer New Jersey,,ONJ,84169,109750,183408,1423818,1607226,9650,40000,1180249,subregion,2020
0,36005CS,BX Central and South,36005,NYC,28957,93554,205338,164856,370194,5492,7344,29509,municipality,2020
1,36005NE,BX North and East,36005,NYC,6515,100300,65734,150689,216423,3191,5376,35307,municipality,2020
2,36005W,BX West,36005,NYC,17233,130411,329264,207194,536458,4937,8844,45769,municipality,2020
3,36047C,BK Central,36047,NYC,19035,291571,45339,433246,478585,6379,26766,89495,municipality,2020
4,36047E,BK East,36047,NYC,12320,122985,70734,159111,229845,4197,11276,8333,municipality,2020
5,36047N,BK North,36047,NYC,24632,74437,107150,265580,372730,4594,14146,147771,municipality,2020
6,36047S,BK Southern,36047,NYC,172701,58818,94659,626887,721546,7429,21016,366923,municipality,2020
7,36047W,BK West,36047,NYC,66217,36586,73665,264000,337665,2874,11474,146849,municipality,2020
8,36061E,MN East Side,36061,NYC,48864,10777,28063,319060,347123,2711,10280,246428,municipality,2020
9,36061L,MN Lower,36061,NYC,67714,15071,44133,249526,293659,2451,9726,154564,municipality,2020
10,36061U,MN Upper,36061,NYC,30711,118244,207190,268903,476093,4531,14334,101083,municipality,2020
11,36061WM,MN West Side and Midtown,36061,NYC,48811,23113,49850,295015,344865,3183,11474,208434,municipality,2020
12,36081NE,QN Northeast,36081,NYC,227045,23483,73155,384198,457353,4465,8141,121064,municipality,2020
13,36081NW,QN Northwest,36081,NYC,196688,33911,296743,514002,810745,8390,18199,256814,municipality,2020
14,36081SE,QN Southeast,36081,NYC,61462,228330,73425,381785,455210,17184,23387,51422,municipality,2020
15,36081SW,QN Southwest,36081,NYC,53089,23247,72731,153430,226161,20550,14967,41577,municipality,2020
16,36085C,SI Central,36085,NYC,20472,3932,14825,97866,112691,737,1857,70868,municipality,2020
17,36085N,SI North,36085,NYC,16490,29868,40920,104527,145447,1475,3746,52948,municipality,2020
18,36085S,SI South,36085,NYC,9275,1379,12486,118769,131255,595,1887,105633,municipality,2020
0,900104720,"Bethel town, Fairfield County, Connecticut",9001,CT,913,412,1715,14186,15901,314,746,11801,municipality,2020
1,900108070,"Bridgeport town, Fairfield County, Connecticut",9001,CT,3243,37393,44748,68968,113716,2312,4037,21983,municipality,2020
2,900108980,"Brookfield town, Fairfield County, Connecticut",9001,CT,706,227,936,12888,13824,143,533,11279,municipality,2020
3,900118500,"Danbury town, Fairfield County, Connecticut",9001,CT,4308,4452,20168,48080,68248,2231,4209,32880,municipality,2020
