,stco,NAME,2000,2010
0,01001,"Autauga County, Alabama",43671,54571
1,01003,"Baldwin County, Alabama",140415,182265
2,01005,"Barbour County, Alabama",29038,27457
3,01007,"Bibb County, Alabama",20826,22915
4,01009,"Blount County, Alabama",51024,57322
5,01011,"Bullock County, Alabama",11714,10914
6,01013,"Butler County, Alabama",21399,20947
7,01015,"Calhoun County, Alabama",112249,118572
8,01017,"Chambers County, Alabama",36583,34215
9,01019,"Cherokee County, Alabama",23988,25989
10,01021,"Chilton County, Alabama",39593,43643
11,01023,"Choctaw County, Alabama",15922,13859
12,01025,"Clarke County, Alabama",27867,25833
13,01027,"Clay County, Alabama",14254,13932
14,01029,"Cleburne County, Alabama",14123,14972
15,01031,"Coffee County, Alabama",43615,49948
16,01033,"Colbert County, Alabama",54984,54428
17,01035,"Conecuh County, Alabama",14089,13228
18,01037,"Coosa County, Alabama",12202,11539
19,01039,"Covington County, Alabama",37631,37765
20,01041,"Crenshaw County, Alabama",13665,13906
21,01043,"Cullman County, Alabama",77483,80406
22,01045,"Dale County, Alabama",49129,50251
23,01047,"Dallas County, Alabama",46365,43820
24,01049,"DeKalb County, Alabama",64452,71109
25,01051,"Elmore County, Alabama",65874,79303
26,01053,"Escambia County, Alabama",38440,38319
27,01055,"Etowah County, Alabama",103459,104430
28,01057,"Fayette County, Alabama",18495,17241
29,01059,"Franklin County, Alabama",31223,31704
30,01061,"Geneva County, Alabama",25764,26790
31,01063,"Greene County, Alabama",9974,9045
32,01065,"Hale County, Alabama",17185,15760
33,01067,"Henry County, Alabama",16310,17302
34,01069,"Houston County, Alabama",88787,101547
35,01071,"Jackson County, Alabama",53926,53227
36,01073,"Jefferson County, Alabama",662047,658466
37,01075,"Lamar County, Alabama",15904,14564
38,01077,"Lauderdale County, Alabama",87966,92709
39,01079,"Lawrence County, Alabama",34803,34339
40,01081,"Lee County, Alabama",115092,140247
41,01083,"Limestone County, Alabama",65676,82782
42,01085,"Lowndes County, Alabama",13473,11299
43,01087,"Macon County, Alabama",24105,21452
44,01089,"Madison County, Alabama",276700,334811
45,01091,"Marengo County, Alabama",22539,21027
46,01093,"Marion County, Alabama",31214,30776
47,01095,"Marshall County, Alabama",82231,93019
48,01097,"Mobile County, Alabama",399843,412992
49,01099,"Monroe County, Alabama",24324,23068
50,01101,"Montgomery County, Alabama",223510,229363
51,01103,"Morgan County, Alabama",111064,119490
52,01105,"Perry County, Alabama",11861,10591
53,01107,"Pickens County, Alabama",20949,19746
54,01109,"Pike County, Alabama",29605,32899
55,01111,"Randolph County, Alabama",22380,22913
56,01113,"Russell County, Alabama",49756,52947
57,01115,"St. Clair County, Alabama",64742,83593
58,01117,"Shelby County, Alabama",143293,195085
59,01119,"Sumter County, Alabama",14798,13763
60,01121,"Talladega County, Alabama",80321,82291
61,01123,"Tallapoosa County, Alabama",41475,41616
62,01125,"Tuscaloosa County, Alabama",164875,194656
63,01127,"Walker County, Alabama",70713,67023
64,01129,"Washington County, Alabama",18097,17581
65,01131,"Wilcox County, Alabama",13183,11670
66,01133,"Winston County, Alabama",24843,24484
67,02013,"Aleutians East Borough, Alaska",2697,3141
68,02016,"Aleutians West Census Area, Alaska",5465,5561
69,02020,"Anchorage Municipality, Alaska",260283,291826
70,02050,"Bethel Census Area, Alaska",16006,17013
71,02060,"Bristol Bay Borough, Alaska",1258,997
72,02068,"Denali Borough, Alaska",1893,1826
73,02070,"Dillingham Census Area, Alaska",4922,4847
74,02090,"Fairbanks North Star Borough, Alaska",82840,97581
75,02100,"Haines Borough, Alaska",2392,2508
76,02105,"Hoonah-Angoon Census Area, Alaska",0,2150
77,02110,"Juneau City and Borough, Alaska",30711,31275
78,02122,"Kenai Peninsula Borough, Alaska",49691,55400
79,02130,"Ketchikan Gateway Borough, Alaska",14070,13477
80,02150,"Kodiak Island Borough, Alaska",13913,13592
81,02164,"Lake and Peninsula Borough, Alaska",1823,1631
82,02170,"Matanuska-Susitna Borough, Alaska",59322,88995
83,02180,"Nome Census Area, Alaska",9196,9492
84,02185,"North Slope Borough, Alaska",7385,9430
85,02188,"Northwest Arctic Borough, Alaska",7208,7523
86,02195,"Petersburg Census Area, Alaska",0,3815
87,02198,"Prince of Wales-Hyder Census Area, Alaska",0,5559
88,02201,"Prince of Wales-Outer Ketchikan Census Area, Alaska",6146,0
89,02220,"Sitka City and Borough, Alaska",8835,8881
90,02230,"Skagway Municipality, Alaska",0,968
91,02232,"Skagway-Hoonah-Angoon Census Area, Alaska",3436,0
92,02240,"Southeast Fairbanks Census Area, Alaska",6174,7029
93,02261,"Valdez-Cordova Census Area, Alaska",10195,9636
94,02270,"Wade Hampton Census Area, Alaska",7028,7459
95,02275,"Wrangell City and Borough, Alaska",0,2369
96,02280,"Wrangell-Petersburg Census Area, Alaska",6684,0
97,02282,"Yakutat City and Borough, Alaska",808,662
98,02290,"Yukon-Koyukuk Census Area, Alaska",6551,5588
99,04001,"Apache County, Arizona",69423,71518
100,04003,"Cochise County, Arizona",117755,131346
101,04005,"Coconino County, Arizona",116320,134421
102,04007,"Gila County, Arizona",51335,53597
103,04009,"Graham County, Arizona",33489,37220
104,04011,"Greenlee County, Arizona",8547,8437
105,04012,"La Paz County, Arizona",19715,20489
106,04013,"Maricopa County, Arizona",3072149,3817117
107,04015,"Mohave County, Arizona",155032,200186
108,04017,"Navajo County, Arizona",97470,107449
109,04019,"Pima County, Arizona",843746,980263
110,04021,"Pinal County, Arizona",179727,375770
111,04023,"Santa Cruz County, Arizona",38381,47420
112,04025,"Yavapai County, Arizona",167517,211033
113,04027,"Yuma County, Arizona",160026,195751
114,05001,"Arkansas County, Arkansas",20749,19019
115,05003,"Ashley County, Arkansas",24209,21853
116,05005,"Baxter County, Arkansas",38386,41513
117,05007,"Benton County, Arkansas",153406,221339
118,05009,"Boone County, Arkansas",33948,36903
119,05011,"Bradley County, Arkansas",12600,11508
120,05013,"Calhoun County, Arkansas",5744,5368
121,05015,"Carroll County, Arkansas",25357,27446
122,05017,"Chicot County, Arkansas",14117,11800
123,05019,"Clark County, Arkansas",23546,22995
124,05021,"Clay County, Arkansas",17609,16083
125,05023,"Cleburne County, Arkansas",24046,25970
126,05025,"Cleveland County, Arkansas",8571,8689
127,05027,"Columbia County, Arkansas",25603,24552
128,05029,"Conway County, Arkansas",20336,21273
129,05031,"Craighead County, Arkansas",82148,96443
130,05033,"Crawford County, Arkansas",53247,61948
131,05035,"Crittenden County, Arkansas",50866,50902
132,05037,"Cross County, Arkansas",19526,17870
133,05039,"Dallas County, Arkansas",9210,8116
134,05041,"Desha County, Arkansas",15341,13008
135,05043,"Drew County, Arkansas",18723,18509
136,05045,"Faulkner County, Arkansas",86014,113237
137,05047,"Franklin County, Arkansas",17771,18125
138,05049,"Fulton County, Arkansas",11642,12245
139,05051,"Garland County, Arkansas",88068,96024
140,05053,"Grant County, Arkansas",16464,17853
141,05055,"Greene County, Arkansas",37331,42090
142,05057,"Hempstead County, Arkansas",23587,22609
143,05059,"Hot Spring County, Arkansas",30353,32923
144,05061,"Howard County, Arkansas",14300,13789
145,05063,"Independence County, Arkansas",34233,36647
146,05065,"Izard County, Arkansas",13249,13696
147,05067,"Jackson County, Arkansas",18418,17997
148,05069,"Jefferson County, Arkansas",84278,77435
149,05071,"Johnson County, Arkansas",22781,25540
150,05073,"Lafayette County, Arkansas",8559,7645
151,05075,"Lawrence County, Arkansas",17774,17415
152,05077,"Lee County, Arkansas",12580,10424
153,05079,"Lincoln County, Arkansas",14492,14134
154,05081,"Little River County, Arkansas",13628,13171
155,05083,"Logan County, Arkansas",22486,22353
156,05085,"Lonoke County, Arkansas",52828,68356
157,05087,"Madison County, Arkansas",14243,15717
158,05089,"Marion County, Arkansas",16140,16653
159,05091,"Miller County, Arkansas",40443,43462
160,05093,"Mississippi County, Arkansas",51979,46480
161,05095,"Monroe County, Arkansas",10254,8149
162,05097,"Montgomery County, Arkansas",9245,9487
163,05099,"Nevada County, Arkansas",9955,8997
164,05101,"Newton County, Arkansas",8608,8330
165,05103,"Ouachita County, Arkansas",28790,26120
166,05105,"Perry County, Arkansas",10209,10445
167,05107,"Phillips County, Arkansas",26445,21757
168,05109,"Pike County, Arkansas",11303,11291
169,05111,"Poinsett County, Arkansas",25614,24583
170,05113,"Polk County, Arkansas",20229,20662
171,05115,"Pope County, Arkansas",54469,61754
172,05117,"Prairie County, Arkansas",9539,8715
173,05119,"Pulaski County, Arkansas",361474,382748
174,05121,"Randolph County, Arkansas",18195,17969
175,05123,"St. Francis County, Arkansas",29329,28258
176,05125,"Saline County, Arkansas",83529,107118
177,05127,"Scott County, Arkansas",10996,11233
178,05129,"Searcy County, Arkansas",8261,8195
179,05131,"Sebastian County, Arkansas",115071,125744
180,05133,"Sevier County, Arkansas",15757,17058
181,05135,"Sharp County, Arkansas",17119,17264
182,05137,"Stone County, Arkansas",11499,12394
183,05139,"Union County, Arkansas",45629,41639
184,05141,"Van Buren County, Arkansas",16192,17295
185,05143,"Washington County, Arkansas",157715,203065
186,05145,"White County, Arkansas",67165,77076
187,05147,"Woodruff County, Arkansas",8741,7260
188,05149,"Yell County, Arkansas",21139,22185
189,06001,"Alameda County, California",1443741,1510271
190,06003,"Alpine County, California",1208,1175
191,06005,"Amador County, California",35100,38091
192,06007,"Butte County, California",203171,220000
193,06009,"Calaveras County, California",40554,45578
194,06011,"Colusa County, California",18804,21419
195,06013,"Contra Costa County, California",948816,1049025
196,06015,"Del Norte County, California",27507,28610
197,06017,"El Dorado County, California",156299,181058
198,06019,"Fresno County, California",799407,930450
199,06021,"Glenn County, California",26453,28122
200,06023,"Humboldt County, California",126518,134623
201,06025,"Imperial County, California",142361,174528
202,06027,"Inyo County, California",17945,18546
203,06029,"Kern County, California",661645,839631
204,06031,"Kings County, California",129461,152982
205,06033,"Lake County, California",58309,64665
206,06035,"Lassen County, California",33828,34895
207,06037,"Los Angeles County, California",9519338,9818605
208,06039,"Madera County, California",123109,150865
209,06041,"Marin County, California",247289,252409
210,06043,"Mariposa County, California",17130,18251
211,06045,"Mendocino County, California",86265,87841
212,06047,"Merced County, California",210554,255793
213,06049,"Modoc County, California",9449,9686
214,06051,"Mono County, California",12853,14202
215,06053,"Monterey County, California",401762,415057
216,06055,"Napa County, California",124279,136484
217,06057,"Nevada County, California",92033,98764
218,06059,"Orange County, California",2846289,3010232
219,06061,"Placer County, California",248399,348432
220,06063,"Plumas County, California",20824,20007
221,06065,"Riverside County, California",1545387,2189641
222,06067,"Sacramento County, California",1223499,1418788
223,06069,"San Benito County, California",53234,55269
224,06071,"San Bernardino County, California",1709434,2035210
225,06073,"San Diego County, California",2813833,3095313
226,06075,"San Francisco County, California",776733,805235
227,06077,"San Joaquin County, California",563598,685306
228,06079,"San Luis Obispo County, California",246681,269637
229,06081,"San Mateo County, California",707161,718451
230,06083,"Santa Barbara County, California",399347,423895
231,06085,"Santa Clara County, California",1682585,1781642
232,06087,"Santa Cruz County, California",255602,262382
233,06089,"Shasta County, California",163256,177223
234,06091,"Sierra County, California",3555,3240
235,06093,"Siskiyou County, California",44301,44900
236,06095,"Solano County, California",394542,413344
237,06097,"Sonoma County, California",458614,483878
238,06099,"Stanislaus County, California",446997,514453
239,06101,"Sutter County, California",78930,94737
240,06103,"Tehama County, California",56039,63463
241,06105,"Trinity County, California",13022,13786
242,06107,"Tulare County, California",368021,442179
243,06109,"Tuolumne County, California",54501,55365
244,06111,"Ventura County, California",753197,823318
245,06113,"Yolo County, California",168660,200849
246,06115,"Yuba County, California",60219,72155
247,08001,"Adams County, Colorado",363857,441603
248,08003,"Alamosa County, Colorado",14966,15445
249,08005,"Arapahoe County, Colorado",487967,572003
250,08007,"Archuleta County, Colorado",9898,12084
251,08009,"Baca County, Colorado",4517,3788
252,08011,"Bent County, Colorado",5998,6499
253,08013,"Boulder County, Colorado",291288,294567
254,08014,"Broomfield County, Colorado",0,55889
255,08015,"Chaffee County, Colorado",16242,17809
256,08017,"Cheyenne County, Colorado",2231,1836
257,08019,"Clear Creek County, Colorado",9322,9088
258,08021,"Conejos County, Colorado",8400,8256
259,08023,"Costilla County, Colorado",3663,3524
260,08025,"Crowley County, Colorado",5518,5823
261,08027,"Custer County, Colorado",3503,4255
262,08029,"Delta County, Colorado",27834,30952
263,08031,"Denver County, Colorado",554636,600158
264,08033,"Dolores County, Colorado",1844,2064
265,08035,"Douglas County, Colorado",175766,285465
266,08037,"Eagle County, Colorado",41659,52197
267,08039,"Elbert County, Colorado",19872,23086
268,08041,"El Paso County, Colorado",516929,622263
269,08043,"Fremont County, Colorado",46145,46824
270,08045,"Garfield County, Colorado",43791,56389
271,08047,"Gilpin County, Colorado",4757,5441
272,08049,"Grand County, Colorado",12442,14843
273,08051,"Gunnison County, Colorado",13956,15324
274,08053,"Hinsdale County, Colorado",790,843
275,08055,"Huerfano County, Colorado",7862,6711
276,08057,"Jackson County, Colorado",1577,1394
277,08059,"Jefferson County, Colorado",527056,534543
278,08061,"Kiowa County, Colorado",1622,1398
279,08063,"Kit Carson County, Colorado",8011,8270
280,08065,"Lake County, Colorado",7812,7310
281,08067,"La Plata County, Colorado",43941,51334
282,08069,"Larimer County, Colorado",251494,299630
283,08071,"Las Animas County, Colorado",15207,15507
284,08073,"Lincoln County, Colorado",6087,5467
285,08075,"Logan County, Colorado",20504,22709
286,08077,"Mesa County, Colorado",116255,146723
287,08079,"Mineral County, Colorado",831,712
288,08081,"Moffat County, Colorado",13184,13795
289,08083,"Montezuma County, Colorado",23830,25535
290,08085,"Montrose County, Colorado",33432,41276
291,08087,"Morgan County, Colorado",27171,28159
292,08089,"Otero County, Colorado",20311,18831
293,08091,"Ouray County, Colorado",3742,4436
294,08093,"Park County, Colorado",14523,16206
295,08095,"Phillips County, Colorado",4480,4442
296,08097,"Pitkin County, Colorado",14872,17148
297,08099,"Prowers County, Colorado",14483,12551
298,08101,"Pueblo County, Colorado",141472,159063
299,08103,"Rio Blanco County, Colorado",5986,6666
300,08105,"Rio Grande County, Colorado",12413,11982
301,08107,"Routt County, Colorado",19690,23509
302,08109,"Saguache County, Colorado",5917,6108
303,08111,"San Juan County, Colorado",558,699
304,08113,"San Miguel County, Colorado",6594,7359
305,08115,"Sedgwick County, Colorado",2747,2379
306,08117,"Summit County, Colorado",23548,27994
307,08119,"Teller County, Colorado",20555,23350
308,08121,"Washington County, Colorado",4926,4814
309,08123,"Weld County, Colorado",180936,252825
310,08125,"Yuma County, Colorado",9841,10043
311,09001,"Fairfield County, Connecticut",882567,916829
312,09003,"Hartford County, Connecticut",857183,894014
313,09005,"Litchfield County, Connecticut",182193,189927
314,09007,"Middlesex County, Connecticut",155071,165676
315,09009,"New Haven County, Connecticut",824008,862477
316,09011,"New London County, Connecticut",259088,274055
317,09013,"Tolland County, Connecticut",136364,152691
318,09015,"Windham County, Connecticut",109091,118428
319,10001,"Kent County, Delaware",126697,162310
320,10003,"New Castle County, Delaware",500265,538479
321,10005,"Sussex County, Delaware",156638,197145
322,11001,"District of Columbia, District of Columbia",572059,601723
323,12001,"Alachua County, Florida",217955,247336
324,12003,"Baker County, Florida",22259,27115
325,12005,"Bay County, Florida",148217,168852
326,12007,"Bradford County, Florida",26088,28520
327,12009,"Brevard County, Florida",476230,543376
328,12011,"Broward County, Florida",1623018,1748066
329,12013,"Calhoun County, Florida",13017,14625
330,12015,"Charlotte County, Florida",141627,159978
331,12017,"Citrus County, Florida",118085,141236
332,12019,"Clay County, Florida",140814,190865
333,12021,"Collier County, Florida",251377,321520
334,12023,"Columbia County, Florida",56513,67531
335,12027,"DeSoto County, Florida",32209,34862
336,12029,"Dixie County, Florida",13827,16422
337,12031,"Duval County, Florida",778879,864263
