,state,county,subbor_id,subbor_nm,H001001
0,36,005,36005CS,BX Central and South,165740
1,36,005,36005NE,BX North and East,102562
2,36,005,36005W,BX West,243594
3,36,047,36047C,BK Central,218751
4,36,047,36047E,BK East,100608
5,36,047,36047N,BK North,165611
6,36,047,36047S,BK Southern,357209
7,36,047,36047W,BK West,158114
8,36,061,36061E,MN East Side,234068
9,36,061,36061L,MN Lower,166325
10,36,061,36061U,MN Upper,233344
11,36,061,36061WM,MN West Side and Midtown,213353
12,36,081,36081NE,QN Northeast,199124
13,36,081,36081NW,QN Northwest,362407
14,36,081,36081SE,QN Southeast,183794
15,36,081,36081SW,QN Southwest,89802
16,36,085,36085C,SI Central,50814
17,36,085,36085N,SI North,65422
18,36,085,36085S,SI South,60420
