,state,county,subbor_id,subbor_nm,H003003
0,36,005,36005CS,BX Central and South,9019
1,36,005,36005NE,BX North and East,5771
2,36,005,36005W,BX West,13657
3,36,047,36047C,BK Central,14287
4,36,047,36047E,BK East,7722
5,36,047,36047N,BK North,15572
6,36,047,36047S,BK Southern,33650
7,36,047,36047W,BK West,12206
8,36,061,36061E,MN East Side,27097
9,36,061,36061L,MN Lower,13913
10,36,061,36061U,MN Upper,16411
11,36,061,36061WM,MN West Side and Midtown,25823
12,36,081,36081NE,QN Northeast,10846
13,36,081,36081NW,QN Northwest,24498
14,36,081,36081SE,QN Southeast,14112
15,36,081,36081SW,QN Southwest,5554
16,36,085,36085C,SI Central,3042
17,36,085,36085N,SI North,4770
18,36,085,36085S,SI South,3328
