,stco,geoid,name,2000,2010
0,9001,900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,0
1,9001,900104720,"Bethel town, Fairfield County, Connecticut",6505,6938
2,9001,900108070,"Bridgeport town, Fairfield County, Connecticut",50307,51255
3,9001,900108980,"Brookfield town, Fairfield County, Connecticut",5572,6129
4,9001,900118500,"Danbury town, Fairfield County, Connecticut",27183,28907
5,9001,900118850,"Darien town, Fairfield County, Connecticut",6592,6698
6,9001,900123890,"Easton town, Fairfield County, Connecticut",2465,2577
7,9001,900126620,"Fairfield town, Fairfield County, Connecticut",20397,20457
8,9001,900133620,"Greenwich town, Fairfield County, Connecticut",23230,23076
9,9001,900148620,"Monroe town, Fairfield County, Connecticut",6481,6735
10,9001,900150580,"New Canaan town, Fairfield County, Connecticut",6822,7010
11,9001,900150860,"New Fairfield town, Fairfield County, Connecticut",4638,4802
12,9001,900152980,"Newtown town, Fairfield County, Connecticut",8325,9459
13,9001,900156060,"Norwalk town, Fairfield County, Connecticut",32711,33217
14,9001,900163480,"Redding town, Fairfield County, Connecticut",2918,3470
15,9001,900163970,"Ridgefield town, Fairfield County, Connecticut",8433,8801
16,9001,900168170,"Shelton town, Fairfield County, Connecticut",14190,15325
17,9001,900168310,"Sherman town, Fairfield County, Connecticut",1434,1388
18,9001,900173070,"Stamford town, Fairfield County, Connecticut",45399,47357
19,9001,900174190,"Stratford town, Fairfield County, Connecticut",19898,20095
20,9001,900177200,"Trumbull town, Fairfield County, Connecticut",11911,12725
21,9001,900183430,"Weston town, Fairfield County, Connecticut",3312,3379
22,9001,900183500,"Westport town, Fairfield County, Connecticut",9586,9573
23,9001,900186370,"Wilton town, Fairfield County, Connecticut",5923,6172
24,9005,900502760,"Barkhamsted town, Litchfield County, Connecticut",1334,1452
25,9005,900504930,"Bethlehem town, Litchfield County, Connecticut",1246,1411
26,9005,900508210,"Bridgewater town, Litchfield County, Connecticut",703,735
27,9005,900510940,"Canaan town, Litchfield County, Connecticut",445,583
28,9005,900516050,"Colebrook town, Litchfield County, Connecticut",566,589
29,9005,900517240,"Cornwall town, Litchfield County, Connecticut",615,628
30,9005,900532290,"Goshen town, Litchfield County, Connecticut",1066,1192
31,9005,900537280,"Harwinton town, Litchfield County, Connecticut",1958,2170
32,9005,900540290,"Kent town, Litchfield County, Connecticut",1143,1246
33,9005,900543370,"Litchfield town, Litchfield County, Connecticut",3310,3459
34,9005,900549460,"Morris town, Litchfield County, Connecticut",912,958
35,9005,900551350,"New Hartford town, Litchfield County, Connecticut",2228,2632
36,9005,900552630,"New Milford town, Litchfield County, Connecticut",10018,10618
37,9005,900553470,"Norfolk town, Litchfield County, Connecticut",676,720
38,9005,900554030,"North Canaan town, Litchfield County, Connecticut",1343,1400
39,9005,900560750,"Plymouth town, Litchfield County, Connecticut",4453,4803
40,9005,900565930,"Roxbury town, Litchfield County, Connecticut",848,936
41,9005,900566420,"Salisbury town, Litchfield County, Connecticut",1737,1693
42,9005,900567960,"Sharon town, Litchfield County, Connecticut",1246,1250
43,9005,900575730,"Thomaston town, Litchfield County, Connecticut",2916,3108
44,9005,900576570,"Torrington town, Litchfield County, Connecticut",14743,15243
45,9005,900579510,"Warren town, Litchfield County, Connecticut",497,601
46,9005,900579720,"Washington town, Litchfield County, Connecticut",1416,1512
47,9005,900580490,"Watertown town, Litchfield County, Connecticut",8046,8672
48,9005,900586440,"Winchester town, Litchfield County, Connecticut",4371,4815
49,9005,900587910,"Woodbury town, Litchfield County, Connecticut",3715,4214
50,9009,900900000,"County subdivisions not defined, New Haven County, Connecticut",0,0
51,9009,900901220,"Ansonia town, New Haven County, Connecticut",7507,7510
52,9009,900903250,"Beacon Falls town, New Haven County, Connecticut",2032,2360
53,9009,900904580,"Bethany town, New Haven County, Connecticut",1755,1971
54,9009,900907310,"Branford town, New Haven County, Connecticut",12543,12739
55,9009,900914160,"Cheshire town, New Haven County, Connecticut",9349,10041
56,9009,900919550,"Derby town, New Haven County, Connecticut",5252,5388
57,9009,900922910,"East Haven town, New Haven County, Connecticut",11219,11756
58,9009,900934950,"Guilford town, New Haven County, Connecticut",8151,8715
59,9009,900935650,"Hamden town, New Haven County, Connecticut",22408,23727
60,9009,900944560,"Madison town, New Haven County, Connecticut",6515,6971
61,9009,900946520,"Meriden town, New Haven County, Connecticut",22951,23977
62,9009,900946940,"Middlebury town, New Haven County, Connecticut",2398,2748
63,9009,900947535,"Milford town, New Haven County, Connecticut",20900,21708
64,9009,900949950,"Naugatuck town, New Haven County, Connecticut",11829,12339
65,9009,900952070,"New Haven town, New Haven County, Connecticut",47094,48877
66,9009,900953890,"North Branford town, New Haven County, Connecticut",5132,5441
67,9009,900954870,"North Haven town, New Haven County, Connecticut",8597,9135
68,9009,900957600,"Orange town, New Haven County, Connecticut",4739,5123
69,9009,900958300,"Oxford town, New Haven County, Connecticut",3343,4504
70,9009,900962290,"Prospect town, New Haven County, Connecticut",3020,3357
71,9009,900967610,"Seymour town, New Haven County, Connecticut",6155,6654
72,9009,900969640,"Southbury town, New Haven County, Connecticut",7225,8213
73,9009,900978740,"Wallingford town, New Haven County, Connecticut",16697,18032
74,9009,900980070,"Waterbury town, New Haven County, Connecticut",42622,42761
75,9009,900982870,"West Haven town, New Haven County, Connecticut",21090,21112
76,9009,900987560,"Wolcott town, New Haven County, Connecticut",5414,6007
77,9009,900987700,"Woodbridge town, New Haven County, Connecticut",3103,3336
78,34003,3400300700,"Allendale borough, Bergen County, New Jersey",2110,2236
79,34003,3400301090,"Alpine borough, Bergen County, New Jersey",708,611
80,34003,3400305170,"Bergenfield borough, Bergen County, New Jersey",8981,8852
81,34003,3400306490,"Bogota borough, Bergen County, New Jersey",2874,2773
82,34003,3400310480,"Carlstadt borough, Bergen County, New Jersey",2393,2378
83,34003,3400313570,"Cliffside Park borough, Bergen County, New Jersey",10027,9948
84,34003,3400313810,"Closter borough, Bergen County, New Jersey",2789,2747
85,34003,3400315820,"Cresskill borough, Bergen County, New Jersey",2630,3002
86,34003,3400317530,"Demarest borough, Bergen County, New Jersey",1601,1597
87,34003,3400318400,"Dumont borough, Bergen County, New Jersey",6370,6364
88,34003,3400319510,"East Rutherford borough, Bergen County, New Jersey",3644,3792
89,34003,3400320020,"Edgewater borough, Bergen County, New Jersey",3836,5637
90,34003,3400321300,"Elmwood Park borough, Bergen County, New Jersey",7089,7032
91,34003,3400321450,"Emerson borough, Bergen County, New Jersey",2373,2480
92,34003,3400321480,"Englewood city, Bergen County, New Jersey",9273,10057
93,34003,3400321510,"Englewood Cliffs borough, Bergen County, New Jersey",1818,1824
94,34003,3400322470,"Fair Lawn borough, Bergen County, New Jersey",11806,11930
95,34003,3400322560,"Fairview borough, Bergen County, New Jersey",4861,4853
96,34003,3400324420,"Fort Lee borough, Bergen County, New Jersey",16544,16371
97,34003,3400324990,"Franklin Lakes borough, Bergen County, New Jersey",3322,3527
98,34003,3400325770,"Garfield city, Bergen County, New Jersey",11250,11073
99,34003,3400326640,"Glen Rock borough, Bergen County, New Jersey",3977,3917
100,34003,3400328680,"Hackensack city, Bergen County, New Jersey",18113,18142
101,34003,3400330150,"Harrington Park borough, Bergen County, New Jersey",1563,1592
102,34003,3400330420,"Hasbrouck Heights borough, Bergen County, New Jersey",4521,4433
103,34003,3400330540,"Haworth borough, Bergen County, New Jersey",1134,1110
104,34003,3400331920,"Hillsdale borough, Bergen County, New Jersey",3502,3493
105,34003,3400332310,"Ho-Ho-Kus borough, Bergen County, New Jersey",1433,1401
106,34003,3400340020,"Leonia borough, Bergen County, New Jersey",3271,3284
107,34003,3400340680,"Little Ferry borough, Bergen County, New Jersey",4366,4239
108,34003,3400341100,"Lodi borough, Bergen County, New Jersey",9528,9471
109,34003,3400342090,"Lyndhurst township, Bergen County, New Jersey",7877,8337
110,34003,3400342750,"Mahwah township, Bergen County, New Jersey",9340,9505
111,34003,3400344880,"Maywood borough, Bergen County, New Jersey",3710,3649
112,34003,3400346110,"Midland Park borough, Bergen County, New Jersey",2613,2756
113,34003,3400347610,"Montvale borough, Bergen County, New Jersey",2509,2778
114,34003,3400347700,"Moonachie borough, Bergen County, New Jersey",1041,1005
115,34003,3400351660,"New Milford borough, Bergen County, New Jersey",6346,6141
116,34003,3400352320,"North Arlington borough, Bergen County, New Jersey",6392,6295
117,34003,3400353430,"Northvale borough, Bergen County, New Jersey",1575,1564
118,34003,3400353610,"Norwood borough, Bergen County, New Jersey",1857,1927
119,34003,3400353850,"Oakland borough, Bergen County, New Jersey",4255,4335
120,34003,3400354870,"Old Tappan borough, Bergen County, New Jersey",1778,1931
121,34003,3400354990,"Oradell borough, Bergen County, New Jersey",2789,2749
122,34003,3400355770,"Palisades Park borough, Bergen County, New Jersey",6247,6934
123,34003,3400355950,"Paramus borough, Bergen County, New Jersey",8082,8630
124,34003,3400356130,"Park Ridge borough, Bergen County, New Jersey",3161,3283
125,34003,3400361680,"Ramsey borough, Bergen County, New Jersey",5313,5363
126,34003,3400362910,"Ridgefield borough, Bergen County, New Jersey",4020,3905
127,34003,3400362940,"Ridgefield Park village, Bergen County, New Jersey",5012,4851
128,34003,3400363000,"Ridgewood village, Bergen County, New Jersey",8603,8456
129,34003,3400363360,"River Edge borough, Bergen County, New Jersey",4165,4134
130,34003,3400363690,"River Vale township, Bergen County, New Jersey",3275,3421
131,34003,3400363990,"Rochelle Park township, Bergen County, New Jersey",2061,2087
132,34003,3400364170,"Rockleigh borough, Bergen County, New Jersey",74,75
133,34003,3400365280,"Rutherford borough, Bergen County, New Jersey",7055,6949
134,34003,3400365340,"Saddle Brook township, Bergen County, New Jersey",5062,5286
135,34003,3400365400,"Saddle River borough, Bergen County, New Jersey",1118,1216
136,34003,3400368970,"South Hackensack township, Bergen County, New Jersey",811,845
137,34003,3400372360,"Teaneck township, Bergen County, New Jersey",13418,13470
138,34003,3400372420,"Tenafly borough, Bergen County, New Jersey",4774,4766
139,34003,3400372480,"Teterboro borough, Bergen County, New Jersey",7,25
140,34003,3400375140,"Upper Saddle River borough, Bergen County, New Jersey",2497,2639
141,34003,3400376400,"Waldwick borough, Bergen County, New Jersey",3428,3420
142,34003,3400376490,"Wallington borough, Bergen County, New Jersey",4752,4637
143,34003,3400377135,"Washington township, Bergen County, New Jersey",3219,3261
144,34003,3400380270,"Westwood borough, Bergen County, New Jersey",4485,4438
145,34003,3400382300,"Woodcliff Lake borough, Bergen County, New Jersey",1824,1916
146,34003,3400382570,"Wood-Ridge borough, Bergen County, New Jersey",3024,2939
147,34003,3400383050,"Wyckoff township, Bergen County, New Jersey",5541,5646
148,34013,3401304695,"Belleville township, Essex County, New Jersey",13731,13395
149,34013,3401306260,"Bloomfield township, Essex County, New Jersey",19017,18387
150,34013,3401309250,"Caldwell borough, Essex County, New Jersey",3311,3359
151,34013,3401311200,"Cedar Grove township, Essex County, New Jersey",4403,4523
152,34013,3401313045,"City of Orange township, Essex County, New Jersey",11885,11202
153,34013,3401319390,"East Orange city, Essex County, New Jersey",26024,24945
154,34013,3401321840,"Essex Fells borough, Essex County, New Jersey",737,728
155,34013,3401322385,"Fairfield township, Essex County, New Jersey",2296,2645
156,34013,3401326610,"Glen Ridge borough, Essex County, New Jersey",2458,2476
157,34013,3401334450,"Irvington township, Essex County, New Jersey",22032,20093
158,34013,3401340890,"Livingston township, Essex County, New Jersey",9300,9990
159,34013,3401343800,"Maplewood township, Essex County, New Jersey",8452,8240
160,34013,3401346380,"Millburn township, Essex County, New Jersey",7015,6813
161,34013,3401347500,"Montclair township, Essex County, New Jersey",15020,15089
162,34013,3401351000,"Newark city, Essex County, New Jersey",91382,94542
163,34013,3401352620,"North Caldwell borough, Essex County, New Jersey",2070,2092
164,34013,3401353680,"Nutley township, Essex County, New Jersey",10884,11314
165,34013,3401364590,"Roseland borough, Essex County, New Jersey",2142,2345
166,34013,3401369274,"South Orange Village township, Essex County, New Jersey",5522,5516
167,34013,3401375815,"Verona township, Essex County, New Jersey",5585,5315
168,34013,3401378510,"West Caldwell township, Essex County, New Jersey",3990,3913
