,stco,geoid,name,2000,2010
0,9001,900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,0
1,9001,900104720,"Bethel town, Fairfield County, Connecticut",18067,18584
2,9001,900108070,"Bridgeport town, Fairfield County, Connecticut",139529,144229
3,9001,900108980,"Brookfield town, Fairfield County, Connecticut",15664,16452
4,9001,900118500,"Danbury town, Fairfield County, Connecticut",74848,80893
5,9001,900118850,"Darien town, Fairfield County, Connecticut",19607,20732
6,9001,900123890,"Easton town, Fairfield County, Connecticut",7272,7490
7,9001,900126620,"Fairfield town, Fairfield County, Connecticut",57340,59404
8,9001,900133620,"Greenwich town, Fairfield County, Connecticut",61101,61171
9,9001,900148620,"Monroe town, Fairfield County, Connecticut",19247,19479
10,9001,900150580,"New Canaan town, Fairfield County, Connecticut",19395,19738
11,9001,900150860,"New Fairfield town, Fairfield County, Connecticut",13953,13881
12,9001,900152980,"Newtown town, Fairfield County, Connecticut",25031,27560
13,9001,900156060,"Norwalk town, Fairfield County, Connecticut",82951,85603
14,9001,900163480,"Redding town, Fairfield County, Connecticut",8270,9158
15,9001,900163970,"Ridgefield town, Fairfield County, Connecticut",23643,24638
16,9001,900168170,"Shelton town, Fairfield County, Connecticut",38101,39559
17,9001,900168310,"Sherman town, Fairfield County, Connecticut",3827,3581
18,9001,900173070,"Stamford town, Fairfield County, Connecticut",117083,122643
19,9001,900174190,"Stratford town, Fairfield County, Connecticut",49976,51384
20,9001,900177200,"Trumbull town, Fairfield County, Connecticut",34243,36018
21,9001,900183430,"Weston town, Fairfield County, Connecticut",10037,10179
22,9001,900183500,"Westport town, Fairfield County, Connecticut",25749,26391
23,9001,900186370,"Wilton town, Fairfield County, Connecticut",17633,18062
24,9005,900502760,"Barkhamsted town, Litchfield County, Connecticut",3494,3799
25,9005,900504930,"Bethlehem town, Litchfield County, Connecticut",3422,3607
26,9005,900508210,"Bridgewater town, Litchfield County, Connecticut",1824,1727
27,9005,900510940,"Canaan town, Litchfield County, Connecticut",1081,1234
28,9005,900516050,"Colebrook town, Litchfield County, Connecticut",1471,1485
29,9005,900517240,"Cornwall town, Litchfield County, Connecticut",1434,1420
30,9005,900532290,"Goshen town, Litchfield County, Connecticut",2697,2976
