P001001,H001001,id
726,284,90010101011
745,307,90010101012
1485,623,90010101013
1520,564,90010101014
1326,478,90010101021
1550,555,90010101022
1454,620,90010101023
1065,374,90010102011
1056,380,90010102012
1300,402,90010102013
895,324,90010102021
2400,919,90010102022
1375,504,90010102023
689,257,90010102024
707,264,90010103001
953,417,90010103002
655,281,90010103003
820,284,90010103004
875,469,90010103005
942,422,90010104001
1171,559,90010104002
1095,455,90010104003
754,319,90010104004
709,304,90010104005
619,284,90010104006
664,379,90010105001
788,355,90010105002
746,356,90010105003
816,380,90010105004
840,377,90010105005
1640,877,90010105006
602,342,90010106001
394,296,90010106002
849,614,90010106003
669,263,90010107001
1045,580,90010107002
1227,553,90010107003
638,477,90010107004
670,374,90010108001
1129,454,90010108002
995,364,90010108003
594,242,90010108004
1348,519,90010109001
1606,720,90010109002
1060,385,90010109003
856,359,90010109004
805,271,90010110001
1983,768,90010110002
778,286,90010110003
767,270,90010110004
930,316,90010110005
1527,492,90010111001
1045,328,90010111002
858,286,90010111003
1464,504,90010111004
1017,521,90010112001
716,281,90010112002
1596,735,90010113001
1079,412,90010113002
544,246,90010113003
1621,1154,90010201001
1083,798,90010201002
819,559,90010201003
1683,643,90010202001
2004,729,90010202002
1475,537,90010203001
2414,849,90010203002
1600,615,90010203003
1774,586,90010203004
1466,514,90010204001
2120,816,90010204002
1244,445,90010205001
1044,378,90010205002
2608,1007,90010205003
1651,581,90010206001
1586,606,90010206002
1715,615,90010206003
896,303,90010207001
852,319,90010207002
1361,580,90010207003
1243,489,90010207004
957,316,90010208001
881,293,90010208002
1101,390,90010208003
2329,1072,90010209001
1306,652,90010209002
1271,456,90010209003
1019,401,90010210001
2480,922,90010210002
2102,954,90010211001
2286,989,90010211002
1588,627,90010211003
2006,821,90010212001
1295,666,90010212002
876,307,90010212003
1160,410,90010213001
1492,657,90010213002
1770,667,90010213003
1075,333,90010214001
1607,549,90010214002
1324,440,90010214003
2684,1142,90010214004
1423,425,90010215001
1700,584,90010215002
1605,575,90010215003
1575,528,90010215004
1481,777,90010216001
1653,818,90010216002
1168,711,90010216003
2849,1563,90010216004
1998,926,90010217001
524,200,90010217002
1524,1007,90010217003
2298,1322,90010217004
1010,614,90010217005
901,356,90010218011
2140,1040,90010218012
1293,501,90010218013
1616,730,90010218021
1912,745,90010218022
1880,602,90010218023
1027,417,90010219001
1192,482,90010219002
1927,789,90010219003
1567,636,90010219004
1848,828,90010220001
1111,363,90010220002
3534,1035,90010221001
2496,977,90010221002
1183,692,90010221003
1281,416,90010222001
1905,590,90010222002
2058,692,90010223001
1789,889,90010223002
1916,631,90010223003
1342,543,90010224001
1049,382,90010224002
1932,589,90010301001
1570,531,90010301002
1178,387,90010302001
1231,408,90010302002
1033,330,90010302003
1211,438,90010303001
695,251,90010303002
1457,522,90010303003
793,266,90010303004
1265,580,90010304001
1420,454,90010304002
1273,470,90010304003
2600,906,90010305001
1377,431,90010305002
1697,511,90010305003
1780,900,90010351001
1653,744,90010351002
1493,728,90010351003
1282,512,90010351004
1198,490,90010351005
1564,547,90010352001
1752,587,90010352002
1581,540,90010353001
2356,785,90010353002
1213,417,90010354001
2018,690,90010354002
1166,365,90010354003
682,246,90010354004
1431,627,90010425001
1186,443,90010425002
1102,418,90010425003
1247,463,90010426001
994,355,90010426002
679,286,90010426003
991,562,90010426004
1929,998,90010427001
1832,975,90010427002
817,252,90010427003
1280,456,90010428001
1178,522,90010428002
1183,459,90010428003
965,353,90010428004
866,383,90010429001
785,296,90010429002
1145,447,90010430001
796,339,90010430002
1149,459,90010430003
1367,529,90010431001
1561,602,90010431002
1413,635,90010431003
537,193,90010432001
674,318,90010432002
1863,703,90010432003
1836,675,90010433001
1360,479,90010433002
969,451,90010434001
1898,843,90010434002
1604,629,90010434003
628,292,90010435001
856,351,90010435002
1120,376,90010435003
741,270,90010436001
1021,453,90010436002
1318,562,90010436003
1030,545,90010437001
1009,478,90010437002
859,387,90010438001
1591,756,90010438002
791,374,90010438003
1094,438,90010438004
1604,638,90010438005
1711,610,90010438006
2329,826,90010439001
1460,541,90010439002
967,464,90010439003
700,263,90010439004
1184,546,90010440001
1294,576,90010440002
1210,490,90010440003
652,308,90010440004
1634,531,90010440005
1823,862,90010441001
1686,848,90010441002
535,204,90010442001
1017,374,90010442002
1119,515,90010442003
1323,714,90010442004
1208,495,90010443001
1191,453,90010443002
710,290,90010443003
789,405,90010443004
2520,933,90010444001
1052,374,90010444002
1853,563,90010445001
1788,636,90010445002
1368,647,90010446001
783,312,90010446002
1398,565,90010446003
1663,563,90010451011
1157,405,90010451012
1350,420,90010451013
2918,998,90010451021
1397,516,90010451022
1719,569,90010451023
940,330,90010452001
1427,725,90010452002
1492,481,90010453001
969,332,90010453002
1561,529,90010454001
1469,607,90010454002
1246,474,90010501001
981,365,90010501002
1601,643,90010501003
2117,801,90010502001
751,360,90010502002
1140,470,90010502003
1318,449,90010503001
2193,772,90010503002
1588,648,90010503003
1803,619,90010503004
1220,434,90010503005
1112,512,90010504001
1229,579,90010504002
1531,565,90010505001
1164,471,90010505002
775,337,90010505003
1274,491,90010505004
948,380,90010506001
916,360,90010506002
1484,669,90010506003
2688,921,90010551001
1156,405,90010551002
678,230,90010551003
1285,494,90010551004
1414,522,90010552001
915,343,90010552002
2043,759,90010552003
2809,527,90010601001
1343,550,90010601002
1365,571,90010602001
1065,404,90010602002
1043,382,90010602003
691,243,90010602004
1601,535,90010603001
1221,432,90010603002
1266,440,90010603003
1033,381,90010604001
852,315,90010604002
728,271,90010604003
822,302,90010604004
1008,352,90010604005
2841,880,90010605001
1572,801,90010606001
764,342,90010606002
2301,3,90010607001
1511,530,90010607002
1007,375,90010607003
1420,474,90010607004
1436,411,90010607005
1355,494,90010608001
784,302,90010608002
1623,625,90010609001
824,295,90010609002
1475,652,90010610001
745,366,90010610002
1596,652,90010610003
798,300,90010611001
1009,321,90010611002
1223,422,90010611003
741,287,90010611004
1076,424,90010612001
1110,457,90010612002
1197,479,90010613001
1757,722,90010613002
1244,556,90010614001
1492,654,90010614002
825,391,90010615001
946,376,90010615002
1241,445,90010615003
1680,640,90010615004
1998,855,90010616001
1849,876,90010616002
1117,536,90010616003
1334,826,90010701001
1080,482,90010701002
946,550,90010701003
1661,862,90010701004
1297,586,90010702001
1652,636,90010702002
1103,602,90010702003
