id,P0010001,H0010001
90010101011,1436,607
90010101012,206,58
90010101013,0,0
90010101014,1615,621
90010101015,1144,430
90010101021,1346,468
90010101022,1369,501
90010101023,1561,650
90010102011,989,359
90010102012,1062,377
90010102013,1344,394
90010102021,1033,327
90010102022,2559,1006
90010102023,1458,520
90010102024,854,333
90010103001,758,264
90010103002,1877,771
90010103003,1735,709
90010104001,1201,559
90010104002,1140,458
90010104003,1156,485
90010104004,1054,425
90010104005,1165,469
90010105001,1248,601
90010105002,941,436
90010105003,2455,1083
90010105004,1926,867
90010106001,738,469
90010106002,1146,780
90010107001,1058,603
90010107002,952,577
90010107003,1563,683
90010108001,860,449
90010108002,927,325
90010108003,1348,518
90010109001,1485,517
90010109002,1750,727
90010109003,1116,386
90010109004,928,364
90010110001,1550,601
90010110002,1396,451
90010110003,817,278
90010110004,817,279
90010110005,897,314
90010111001,2458,830
90010111002,1228,357
90010111003,1363,455
90010112001,995,510
90010112002,708,276
90010113001,1560,656
90010113002,1226,494
90010201011,2862,1666
90010201021,1576,890
90010201022,810,551
90010201023,1602,1085
90010202001,1165,452
90010202002,2589,977
90010203011,1475,543
90010203012,2354,850
90010203021,1626,615
90010203022,1753,590
90010204001,1487,518
90010204002,2124,818
90010205001,1151,416
90010205002,1148,415
90010205003,2514,864
90010206001,1706,587
90010206002,1625,617
90010206003,1511,529
90010207001,1142,397
90010207002,953,370
90010207003,505,180
90010207004,1570,697
90010208001,952,325
90010208002,887,297
90010208003,1034,375
90010209001,1925,875
90010209002,2024,961
90010209003,1308,455
90010210001,1576,618
90010210002,1983,713
90010211001,1937,815
90010211002,1752,691
90010211003,648,288
90010211004,2077,920
90010212001,1481,610
90010212002,1388,669
90010212003,1450,528
90010213001,994,374
90010213002,2219,822
90010213003,1568,681
90010214011,704,238
90010214012,1636,521
90010214013,739,219
90010214021,588,217
90010214022,1215,533
90010214023,2144,777
90010215011,1321,383
90010215012,1169,376
90010215013,1465,561
90010215021,1826,584
90010215022,995,303
90010216011,2135,1121
90010216012,1424,747
90010216021,1886,852
90010216022,1285,655
90010216023,1365,772
90010217011,2252,1027
90010217012,1016,611
90010217021,1548,1186
90010217022,477,279
90010217023,2092,1110
90010217024,615,299
90010218011,2454,1142
90010218012,2266,842
90010218021,1075,359
90010218022,2344,1057
90010218023,1737,541
90010219001,1249,468
90010219002,1288,491
90010219003,2325,848
90010219004,1479,601
90010220001,2070,874
90010220002,988,328
90010221011,1192,328
90010221012,2394,703
90010221021,1263,661
90010221022,1753,600
90010221023,927,434
90010222011,888,379
90010222012,544,186
90010222013,1628,1082
90010222021,1775,579
90010222022,2138,1372
90010222023,668,623
90010223001,2045,656
90010223002,2341,1231
90010223003,1925,634
90010224001,1346,536
90010224002,1020,383
90010301001,2001,607
90010301002,1732,589
90010302001,1181,397
90010302002,1319,461
90010302003,816,301
90010303001,2002,692
90010303002,770,259
90010303003,1653,573
90010304001,1271,546
90010304002,1869,575
90010304003,920,357
90010305001,2776,970
90010305002,1507,430
90010305003,1682,508
90010351011,1921,900
90010351012,1742,757
90010351021,1559,682
90010351022,1795,613
90010351023,905,389
90010352001,1673,602
90010352002,1633,524
90010353001,1632,494
90010353002,2482,805
90010354000,0,0
90010354001,1495,507
90010354002,1870,583
90010354003,759,267
90010354004,1156,379
90010425001,1415,636
90010425002,1181,447
90010425003,1082,410
90010426001,1242,446
90010426002,939,353
90010426003,916,502
90010426004,956,573
90010427001,1361,733
90010427002,1389,525
90010427003,1607,1025
90010427004,1228,483
90010428001,1651,540
90010428002,1115,523
90010428003,1995,726
90010429001,823,376
90010429002,770,298
90010430001,1306,456
90010430002,766,340
90010430003,1161,458
90010431001,1631,609
90010431002,1445,629
90010431003,141,62
90010431004,1328,535
90010432001,2195,889
90010432002,886,316
90010433001,2043,720
90010433002,1346,475
90010434001,1090,495
90010434002,2216,919
90010434003,1674,640
90010435001,1582,643
90010435002,1131,385
90010436001,1131,394
90010436002,1102,465
90010436003,954,436
90010437001,1700,957
90010437002,1902,1005
90010438001,846,398
90010438002,1636,779
90010438003,912,412
90010438004,1162,447
90010438005,1754,684
90010438006,1773,611
90010439001,2334,841
90010439002,1416,547
90010439003,993,464
90010439004,713,263
90010440001,1206,538
90010440002,1271,558
90010440003,1378,496
90010440004,714,312
90010440005,1672,532
90010441001,2030,1027
90010441002,1449,968
90010442001,605,289
90010442002,1019,376
90010442003,1080,518
90010442004,1388,721
90010443001,1140,460
90010443002,1484,665
90010443003,387,240
90010443004,1253,490
90010444001,1275,502
90010444002,2261,756
90010445001,2111,656
90010445002,1945,696
90010446001,1735,741
90010446002,1842,741
90010451011,1646,562
90010451012,1183,403
90010451013,1265,419
90010451021,1627,578
90010451022,1272,426
90010451023,1324,462
90010451024,1662,590
90010452001,1440,475
90010452002,1280,600
90010453001,1141,372
90010453002,1372,437
90010454001,1618,522
90010454002,1673,721
90010501001,1394,477
90010501002,1424,527
90010501003,1252,483
90010502001,1670,617
90010502002,1255,530
90010502003,1171,514
90010503011,1980,684
90010503012,1997,848
90010503021,1299,449
90010503022,1855,643
90010503023,1271,435
90010504001,1138,549
90010504002,1306,571
90010505001,1539,560
90010505002,1204,509
90010505003,764,330
90010505004,1244,481
90010506001,916,372
90010506002,947,349
90010506003,1515,639
90010551001,1184,405
90010551002,661,228
90010551003,1293,496
90010551004,1690,571
90010551005,13,2
90010551006,996,359
90010552001,1399,514
90010552002,1017,345
90010552003,2101,751
90010601001,1446,549
90010601002,693,152
90010601003,2412,310
90010602001,1454,625
90010602002,991,406
90010602003,1075,383
90010602004,691,243
90010603001,1596,528
90010603002,1197,429
90010603003,1193,431
90010604001,865,314
90010604002,647,244
90010604003,767,267
90010604004,1004,335
90010604005,1211,436
90010605001,1778,574
90010605002,1314,433
90010606001,1075,571
90010606002,1160,536
90010607001,2884,26
90010607002,1718,697
90010607003,1772,609
90010607004,1713,566
90010608001,1373,492
90010608002,716,301
90010609001,1211,437
90010609002,1335,489
90010610001,1637,655
90010610002,2423,1049
90010611001,837,301
90010611002,1035,319
90010611003,1262,425
90010611004,692,285
90010612001,1152,412
90010612002,1190,468
90010613001,1391,565
90010613002,1640,665
90010614001,1124,581
90010614002,1880,790
90010615001,865,404
90010615002,1036,382
90010615003,1272,446
90010615004,1763,629
90010616001,1996,845
90010616002,1977,856
90010616003,1049,522
90010701001,1554,926
90010701002,855,390
90010701003,957,549
90010701004,1812,923
90010702001,1265,594
90010702002,1614,650
90010702003,1105,614
90010703001,1359,477
90010704001,1712,610
90010705001,870,420
90010705002,814,341
90010706001,1041,546
90010706002,1754,1202
90010709001,1186,412
90010709002,1606,590
90010710001,1223,430
90010710002,2627,866
90010711001,1318,435
90010711002,1507,595
90010711003,1798,601
90010712001,1419,518
90010712002,1501,555
90010712003,1096,410
90010712004,1286,545
90010713001,1691,599
90010713002,1856,902
90010714001,726,258
90010714002,1495,555
90010714003,1655,581
90010716001,1589,513
90010716002,925,367
90010719001,2118,778
90010719002,2596,868
90010720001,2037,788
90010720002,1662,562
90010721001,2347,1007
90010721002,1905,727
90010721003,2147,1005
90010722001,1881,889
90010722002,881,329
90010722003,1182,525
90010723001,1311,454
90010723002,2153,710
90010723003,1940,736
90010724001,1257,390
90010724002,1576,566
90010725001,1984,832
90010725002,1482,511
90010725003,780,285
90010725004,1597,729
90010726001,974,397
90010726002,1325,594
90010726003,1954,946
90010726004,2144,575
90010726005,1349,578
90010727001,1093,367
90010727002,1702,587
90010727003,1054,381
90010728001,1035,328
90010728002,1343,437
90010728003,2458,931
90010728004,886,277
90010729001,1710,560
90010729002,2033,658
90010729003,1106,370
90010730001,1998,705
90010731001,2222,756
90010731002,0,0
90010731003,2143,973
90010731004,301,127
90010732001,2080,1057
90010732002,1685,917
90010733001,1351,633
90010733002,778,289
90010733003,1301,562
90010734001,1620,640
90010734002,1259,433
90010734003,1003,409
90010735001,1274,446
90010735002,803,337
90010735003,1536,560
90010736001,861,392
90010736002,1457,496
90010737001,1198,402
90010737002,1108,436
90010737003,995,447
90010737004,1255,413
90010737005,617,353
90010738001,1294,513
90010738002,1081,356
90010739001,762,244
90010739002,894,293
90010739003,930,490
90010739004,956,386
90010740001,994,397
90010740002,1268,486
90010743001,1039,446
90010743002,1110,527
90010743003,1262,484
90010743004,1241,420
90010744001,1131,438
90010744002,1791,700
90010744003,1751,663
90010801001,968,330
90010801002,1557,559
90010801003,1158,404
90010801004,1315,644
90010802001,1824,669
90010802002,1236,454
90010802003,1386,534
90010804001,1752,625
90010804002,2198,835
90010804003,2123,849
90010805001,1526,790
90010805002,1581,774
90010806001,1137,664
90010806002,1396,575
90010807001,1101,584
90010807002,879,412
90010808001,903,355
90010808002,885,365
90010808003,925,352
90010808004,1064,403
90010808005,1152,419
90010809001,1304,529
90010809002,1159,436
90010809003,1167,449
90010809004,1267,516
90010810001,1470,585
90010810002,1035,370
90010810003,1854,833
90010811001,1429,541
90010811002,1563,591
90010811003,1775,681
90010812001,1482,551
90010812002,1711,649
90010812003,1268,481
90010812004,786,308
90010813001,1325,694
90010813002,1177,560
90010813003,1012,680
90010813004,1505,593
90010901001,1872,619
90010901002,1433,624
90010902001,1723,634
90010902002,1467,557
90010902003,1720,580
90010902004,1182,424
90010902005,941,365
90010902006,1119,391
90010903001,881,328
90010903002,1351,465
90010903003,1442,506
90010903004,1007,378
90010904001,2220,810
90010904002,1788,704
90010904003,2706,943
90010905001,1009,341
90010905002,1880,662
90010905003,1066,406
90010905004,859,301
90010906001,1980,842
90010906002,1598,501
90010907001,2260,744
90010907002,1602,510
90010907003,1721,524
90011001001,2283,890
90011001002,1045,483
90011001003,2255,806
90011002001,1134,451
90011002002,1275,450
90011002003,1274,454
90011002004,1691,597
90011002005,1375,503
90011003001,2432,817
90011003002,1202,507
90011003003,902,285
90011003004,1957,675
90011051001,1360,518
90011051002,1266,449
90011051003,1594,565
90011052001,1253,462
90011052002,748,272
90011052003,1384,490
90011101001,1164,608
90011101002,1518,797
90011102011,2110,928
90011102012,1775,673
90011102013,878,381
90011102021,1494,638
90011102022,1571,740
90011102023,2013,857
90011103011,1145,564
90011103012,2128,913
90011103013,1747,799
90011103014,1408,748
90011103021,1392,517
90011103022,1963,1039
90011104001,1817,644
90011104002,2052,766
90011104003,1182,411
90011105001,1482,551
90011105002,1576,562
90011105003,1675,602
90011105004,828,321
90011106011,1045,422
90011106012,1862,661
90011106021,996,454
90011106022,1485,653
90011106023,2563,925
90012001001,2166,881
90012001002,1873,763
90012002001,2946,1352
90012002002,999,422
90012002003,843,348
90012002004,1000,501
90012003011,1437,456
90012003012,1859,648
90012003013,1967,669
90012003021,1740,650
90012003022,853,320
90012003023,1459,536
90012003024,1216,434
90012051001,1335,656
90012051002,2099,801
90012051003,979,466
90012052001,2152,755
90012052002,2071,788
90012052003,1312,488
90012052004,1480,517
90012053001,2386,949
90012053002,1328,720
90012053003,2386,976
90012101011,1449,897
90012101012,1324,457
90012101021,1173,532
90012101022,2073,916
90012102011,1314,486
90012102012,2219,774
90012102021,1003,258
90012102022,1003,317
90012102023,1431,452
90012103001,1986,672
90012103002,2392,879
90012103003,1736,639
90012104011,1901,676
90012104012,2693,1125
90012104021,2327,919
90012104022,1308,511
90012104023,798,331
90012105011,1662,688
90012105012,1545,695
90012105021,1114,419
90012105022,3266,1761
90012105023,971,402
90012105024,1177,657
90012106001,2131,799
90012106002,910,344
90012106003,2162,809
90012106004,1420,508
90012107011,1519,508
90012107012,3255,975
90012107013,1103,364
90012107021,2209,773
90012107022,1671,577
90012108001,1261,465
90012108002,1457,527
90012108003,1384,631
90012108004,1997,505
90012109001,1886,678
90012109002,1403,489
90012109003,1270,533
90012109004,1362,509
90012110001,1710,668
90012110002,806,317
90012110003,1535,588
90012111001,1190,47
90012112011,1854,752
90012112012,1776,766
90012112021,661,317
90012112022,607,253
90012112023,1501,621
90012113001,1724,627
90012113002,1825,832
90012114001,1074,638
90012114002,1139,505
90012114003,0,0
90012114004,2009,776
90012114005,842,398
90012201001,1848,646
90012201002,834,315
90012201003,1186,477
90012201004,1044,399
90012202001,811,316
90012202002,1046,369
90012202003,1570,553
90012202004,661,270
90012202005,785,287
90012203001,884,580
90012203002,1677,779
90012203003,1233,644
90012301001,1291,485
90012301002,1959,850
90012301003,2210,919
90012301004,1891,768
90012302001,784,329
90012302002,1130,434
90012303001,1159,441
90012303002,1438,511
90012303003,893,339
90012304001,1618,613
90012304002,1956,738
90012304003,2005,740
90012305011,2161,785
90012305012,1781,713
90012305021,1409,454
90012305022,1219,455
90012305023,1165,333
90012305024,1104,415
90012401001,1056,419
90012401002,953,336
90012401003,2285,1129
90012402001,1599,629
90012402002,1201,468
90012402003,1671,683
90012451001,1617,567
90012451002,1262,436
90012452001,1567,587
90012452002,1490,479
90012452003,1406,502
90012453001,2829,1105
90012453002,1680,927
90012453003,853,430
90012454001,1267,448
90012454002,2137,756
90012455001,1702,684
90012455002,1250,434
90012456001,1062,422
90012456002,1961,728
90012456003,1092,377
90012456004,779,267
90012456005,1079,357
90012571001,853,458
90012571002,1034,639
90012571003,705,322
90012571004,935,415
90012572001,731,356
90012572002,931,294
90012572003,1586,612
90012572004,839,335
90019900000,0,0
90052501001,997,527
90052501002,665,336
90052531001,634,308
90052531002,2236,1014
90052531003,603,244
90052532001,1228,434
90052532002,2309,797
90052532003,1103,559
90052532004,1259,472
90052532005,1498,519
90052534001,1301,476
90052534002,1290,719
90052534003,1350,605
90052534004,2275,1021
90052535001,859,363
90052535002,1103,444
90052535003,1738,774
90052535004,741,274
90052535005,1549,610
90052602001,1014,541
90052602002,937,445
90052602003,627,273
90052602004,633,323
90052611001,1437,953
90052611002,1412,708
90052611003,707,474
90052611004,638,384
90052621001,709,466
90052621002,636,403
90052621003,585,370
90052621004,750,485
90052632001,776,508
90052632002,791,494
90052651001,683,356
90052651002,668,434
90052661001,880,380
90052661002,760,470
90052661003,692,370
90052661004,687,467
90052671001,705,414
90052671002,709,417
90052671003,902,440
90052671004,663,358
90052671005,667,427
90052681001,882,477
90052681002,730,378
90052681003,648,308
90052901001,1165,471
90052901002,1032,427
90052901003,738,354
90052901004,712,314
90052931001,665,338
90052931002,696,356
90052961001,718,423
90052961002,884,461
90052961003,1004,455
90052961004,544,369
90052983001,1029,439
90052983002,750,369
90052983003,950,395
90052984001,1044,453
90052984002,844,343
90052984003,867,314
90053001001,758,392
90053001002,1245,725
90053001003,607,288
90053004001,1149,463
90053004002,1002,468
90053005001,1411,572
90053005002,731,348
90053005003,1289,710
90053031001,722,323
90053031002,571,352
90053031003,963,578
90053061001,1852,884
90053061002,1318,684
90053061003,1647,671
90053061004,1841,729
90053101001,754,309
90053101002,1055,552
90053101003,1094,490
90053101004,1350,611
90053102001,1251,637
90053102002,1593,762
90053103001,986,554
90053103002,815,434
90053104001,1322,671
90053104002,1256,549
90053105001,902,525
90053105002,904,394
90053106011,1706,761
90053106012,1748,643
90053106021,1823,783
90053106022,1016,389
90053106023,1588,790
90053107001,678,412
90053107002,1088,717
90053107003,864,523
90053107004,1001,507
90053107005,748,329
90053108011,1210,628
90053108012,1175,549
90053108031,982,456
90053108032,1183,454
90053108033,1076,643
90053108034,1561,800
90053108041,1816,764
90053108042,970,404
90053201011,746,462
90053201012,642,324
90053201021,660,363
90053201022,1555,704
90053201023,836,473
90053201024,698,309
90053201025,802,405
90053202001,529,250
90053202002,766,385
90053202003,1196,700
90053202004,673,344
90053202005,320,169
90053202006,801,517
90053421001,666,317
90053421002,933,448
90053421003,828,356
90053421004,958,484
90053491001,1318,472
90053491002,1137,454
90053491003,1066,532
90053491004,1271,625
90053492001,1030,423
90053492002,1060,561
90053492003,560,273
90053601001,1019,393
90053601002,607,286
90053601003,1018,443
90053601004,812,394
90053601005,971,394
90053601006,858,340
90053602001,644,267
90053602002,1209,479
90053602003,1450,633
90053602004,1639,583
90053602005,888,317
90053602006,899,329
90053602007,991,376
90053603001,1279,595
90053603002,1180,459
90053603003,812,394
90053604001,1273,516
90053604002,1105,433
90053604003,946,404
90053604004,1129,481
90053604005,673,312
90053604006,703,309
90053621011,1521,806
90053621012,1238,656
90053621013,1377,675
90053621021,1019,419
