,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,H0010001,NAME
1,9,1.0,09001,50,957419,378479,957419,378479,Fairfield County
3,9,5.0,09005,50,185186,87615,185186,87615,Litchfield County
5,9,9.0,09009,50,864835,369178,864835,369178,New Haven County
3,36,5.0,36005,50,1472654,547030,1472654,547030,Bronx County
14,36,27.0,36027,50,295911,122009,295911,122009,Dutchess County
24,36,47.0,36047,50,2736074,1077654,2736074,1077654,Kings County
30,36,59.0,36059,50,1395774,476732,1395774,476732,Nassau County
31,36,61.0,36061,50,1694251,913926,1694251,913926,New York County
36,36,71.0,36071,50,401310,146879,401310,146879,Orange County
40,36,79.0,36079,50,97668,38308,97668,38308,Putnam County
41,36,81.0,36081,50,2405464,896333,2405464,896333,Queens County
43,36,85.0,36085,50,495747,183692,495747,183692,Richmond County
44,36,87.0,36087,50,338329,108068,338329,108068,Rockland County
52,36,103.0,36103,50,1525920,578940,1525920,578940,Suffolk County
53,36,105.0,36105,50,78624,49125,78624,49125,Sullivan County
56,36,111.0,36111,50,181851,85853,181851,85853,Ulster County
60,36,119.0,36119,50,1004457,388963,1004457,388963,Westchester County
2,34,3.0,34003,50,955732,367383,955732,367383,Bergen County
7,34,13.0,34013,50,863728,334896,863728,334896,Essex County
9,34,17.0,34017,50,724854,312706,724854,312706,Hudson County
10,34,19.0,34019,50,128947,51687,128947,51687,Hunterdon County
11,34,21.0,34021,50,387340,150442,387340,150442,Mercer County
12,34,23.0,34023,50,863162,315521,863162,315521,Middlesex County
13,34,25.0,34025,50,643615,268912,643615,268912,Monmouth County
14,34,27.0,34027,50,509285,197722,509285,197722,Morris County
15,34,29.0,34029,50,637229,294429,637229,294429,Ocean County
16,34,31.0,34031,50,524118,185367,524118,185367,Passaic County
18,34,35.0,34035,50,345361,131822,345361,131822,Somerset County
19,34,37.0,34037,50,144221,62709,144221,62709,Sussex County
20,34,39.0,34039,50,575345,209908,575345,209908,Union County
21,34,41.0,34041,50,109632,46457,109632,46457,Warren County
