0,stco,NAME,H001001,H001001,H003002,H003002,H003003,H003003
yr,,,2000,2010,2000,2010,2000,2010
0,01001,"Autauga County, Alabama",17662,22135,16003,20221,1659,1914
1,01003,"Baldwin County, Alabama",74285,104061,55336,73180,18949,30881
2,01005,"Barbour County, Alabama",12461,11829,10409,9820,2052,2009
3,01007,"Bibb County, Alabama",8345,8981,7421,7953,924,1028
4,01009,"Blount County, Alabama",21158,23887,19265,21578,1893,2309
5,01011,"Bullock County, Alabama",4727,4493,3986,3745,741,748
6,01013,"Butler County, Alabama",9957,9964,8398,8491,1559,1473
7,01015,"Calhoun County, Alabama",51322,53289,45307,47331,6015,5958
8,01017,"Chambers County, Alabama",16256,17004,14522,13933,1734,3071
9,01019,"Cherokee County, Alabama",14025,16267,9719,10626,4306,5641
10,01021,"Chilton County, Alabama",17651,19278,15287,16558,2364,2720
11,01023,"Choctaw County, Alabama",7839,7269,6363,5866,1476,1403
12,01025,"Clarke County, Alabama",12631,12638,10578,10337,2053,2301
13,01027,"Clay County, Alabama",6612,6776,5765,5670,847,1106
14,01029,"Cleburne County, Alabama",6189,6718,5590,5891,599,827
15,01031,"Coffee County, Alabama",19837,22330,17421,19849,2416,2481
16,01033,"Colbert County, Alabama",24980,25758,22461,22773,2519,2985
17,01035,"Conecuh County, Alabama",7265,7093,5792,5625,1473,1468
18,01037,"Coosa County, Alabama",6142,6478,4682,4794,1460,1684
19,01039,"Covington County, Alabama",18578,18829,15640,15531,2938,3298
20,01041,"Crenshaw County, Alabama",6644,6735,5577,5652,1067,1083
21,01043,"Cullman County, Alabama",35233,37054,30706,31864,4527,5190
22,01045,"Dale County, Alabama",21779,22677,18878,20065,2901,2612
23,01047,"Dallas County, Alabama",20450,20208,17841,17064,2609,3144
24,01049,"DeKalb County, Alabama",28051,31109,25113,26842,2938,4267
25,01051,"Elmore County, Alabama",25733,32657,22737,28301,2996,4356
26,01053,"Escambia County, Alabama",16544,16486,14297,14157,2247,2329
27,01055,"Etowah County, Alabama",45959,47454,41615,42036,4344,5418
28,01057,"Fayette County, Alabama",8472,8437,7493,7100,979,1337
29,01059,"Franklin County, Alabama",13749,14022,12259,12286,1490,1736
30,01061,"Geneva County, Alabama",12115,12687,10477,10920,1638,1767
31,01063,"Greene County, Alabama",5117,5007,3931,3764,1186,1243
32,01065,"Hale County, Alabama",7756,7655,6415,6273,1341,1382
33,01067,"Henry County, Alabama",8037,8891,6525,6994,1512,1897
34,01069,"Houston County, Alabama",39571,45319,35834,40969,3737,4350
35,01071,"Jackson County, Alabama",24168,24786,21615,21513,2553,3273
36,01073,"Jefferson County, Alabama",288162,300552,263265,263568,24897,36984
37,01075,"Lamar County, Alabama",7517,7354,6468,6103,1049,1251
38,01077,"Lauderdale County, Alabama",40424,43791,36088,38680,4336,5111
39,01079,"Lawrence County, Alabama",15009,15229,13538,13654,1471,1575
40,01081,"Lee County, Alabama",50329,62391,45702,55682,4627,6709
41,01083,"Limestone County, Alabama",26897,34977,24688,31446,2209,3531
42,01085,"Lowndes County, Alabama",5801,5140,4909,4352,892,788
43,01087,"Macon County, Alabama",10627,10259,8950,8499,1677,1760
44,01089,"Madison County, Alabama",120288,146447,109955,134700,10333,11747
45,01091,"Marengo County, Alabama",10127,10237,8767,8535,1360,1702
46,01093,"Marion County, Alabama",14416,14737,12697,12651,1719,2086
47,01095,"Marshall County, Alabama",36331,40342,32547,35810,3784,4532
48,01097,"Mobile County, Alabama",165101,178196,150179,158435,14922,19761
49,01099,"Monroe County, Alabama",11343,11333,9383,9214,1960,2119
50,01101,"Montgomery County, Alabama",95437,101641,86068,89981,9369,11660
51,01103,"Morgan County, Alabama",47388,51193,43602,47030,3786,4163
52,01105,"Perry County, Alabama",5406,4737,4333,3947,1073,790
53,01107,"Pickens County, Alabama",9520,9483,8086,8012,1434,1471
54,01109,"Pike County, Alabama",13981,15267,11933,13210,2048,2057
55,01111,"Randolph County, Alabama",10285,11982,8642,9164,1643,2818
56,01113,"Russell County, Alabama",22831,24595,19741,21229,3090,3366
57,01115,"St. Clair County, Alabama",27303,35541,24143,31624,3160,3917
58,01117,"Shelby County, Alabama",59302,80970,54631,74072,4671,6898
59,01119,"Sumter County, Alabama",6953,6786,5708,5629,1245,1157
60,01121,"Talladega County, Alabama",34469,37088,30674,31890,3795,5198
61,01123,"Tallapoosa County, Alabama",20510,22111,16656,16985,3854,5126
62,01125,"Tuscaloosa County, Alabama",71429,84872,64517,76141,6912,8731
63,01127,"Walker County, Alabama",32417,30816,28364,26571,4053,4245
64,01129,"Washington County, Alabama",8123,8407,6705,6758,1418,1649
65,01131,"Wilcox County, Alabama",6183,5649,4776,4484,1407,1165
66,01133,"Winston County, Alabama",12502,13469,10107,10163,2395,3306
67,02013,"Aleutians East Borough, Alaska",724,747,526,553,198,194
68,02016,"Aleutians West Census Area, Alaska",2234,1929,1270,1212,964,717
69,02020,"Anchorage Municipality, Alaska",100368,113032,94822,107332,5546,5700
70,02050,"Bethel Census Area, Alaska",5188,5919,4226,4651,962,1268
71,02060,"Bristol Bay Borough, Alaska",979,969,490,423,489,546
72,02068,"Denali Borough, Alaska",1351,1771,785,806,566,965
73,02070,"Dillingham Census Area, Alaska",2332,2427,1529,1563,803,864
74,02090,"Fairbanks North Star Borough, Alaska",33291,41783,29777,36441,3514,5342
75,02100,"Haines Borough, Alaska",1419,1631,991,1149,428,482
76,02105,"Hoonah-Angoon Census Area, Alaska",0,1771,0,913,0,858
77,02110,"Juneau City and Borough, Alaska",12282,13055,11543,12187,739,868
78,02122,"Kenai Peninsula Borough, Alaska",24871,30578,18438,22161,6433,8417
79,02130,"Ketchikan Gateway Borough, Alaska",6218,6166,5399,5305,819,861
80,02150,"Kodiak Island Borough, Alaska",5159,5303,4424,4630,735,673
81,02164,"Lake and Peninsula Borough, Alaska",1557,1502,588,553,969,949
82,02170,"Matanuska-Susitna Borough, Alaska",27329,41329,20556,31824,6773,9505
83,02180,"Nome Census Area, Alaska",3649,4008,2693,2815,956,1193
84,02185,"North Slope Borough, Alaska",2538,2500,2109,2029,429,471
85,02188,"Northwest Arctic Borough, Alaska",2540,2707,1780,1919,760,788
86,02195,"Petersburg Census Area, Alaska",0,1994,0,1599,0,395
87,02198,"Prince of Wales-Hyder Census Area, Alaska",0,2992,0,2194,0,798
88,02201,"Prince of Wales-Outer Ketchikan Census Area, Alaska",3055,0,2262,0,793,0
89,02220,"Sitka City and Borough, Alaska",3650,4102,3278,3545,372,557
90,02230,"Skagway Municipality, Alaska",0,636,0,436,0,200
91,02232,"Skagway-Hoonah-Angoon Census Area, Alaska",2108,0,1369,0,739,0
92,02240,"Southeast Fairbanks Census Area, Alaska",3225,3915,2098,2567,1127,1348
93,02261,"Valdez-Cordova Census Area, Alaska",5148,6102,3884,3966,1264,2136
94,02270,"Wade Hampton Census Area, Alaska",2063,2183,1602,1745,461,438
95,02275,"Wrangell City and Borough, Alaska",0,1428,0,1053,0,375
96,02280,"Wrangell-Petersburg Census Area, Alaska",3284,0,2587,0,697,0
97,02282,"Yakutat City and Borough, Alaska",499,450,265,270,234,180
98,02290,"Yukon-Koyukuk Census Area, Alaska",3917,4038,2309,2217,1608,1821
99,04001,"Apache County, Arizona",31621,32514,19971,22771,11650,9743
100,04003,"Cochise County, Arizona",51126,59041,43893,50865,7233,8176
101,04005,"Coconino County, Arizona",53443,63321,40448,46711,12995,16610
102,04007,"Gila County, Arizona",28189,32698,20140,22000,8049,10698
103,04009,"Graham County, Arizona",11430,12980,10116,11120,1314,1860
104,04011,"Greenlee County, Arizona",3744,4372,3117,3188,627,1184
105,04012,"La Paz County, Arizona",15133,16049,8362,9198,6771,6851
106,04013,"Maricopa County, Arizona",1250231,1639279,1132886,1411583,117345,227696
107,04015,"Mohave County, Arizona",80062,110911,62809,82539,17253,28372
108,04017,"Navajo County, Arizona",47413,56938,30043,35658,17370,21280
109,04019,"Pima County, Arizona",366737,440909,332350,388660,34387,52249
110,04021,"Pinal County, Arizona",81154,159222,61364,125590,19790,33632
111,04023,"Santa Cruz County, Arizona",13036,18010,11809,15437,1227,2573
112,04025,"Yavapai County, Arizona",81730,110432,70171,90903,11559,19529
113,04027,"Yuma County, Arizona",74140,87850,53848,64767,20292,23083
114,05001,"Arkansas County, Arkansas",9672,9436,8457,8005,1215,1431
115,05003,"Ashley County, Arkansas",10615,10137,9384,8765,1231,1372
116,05005,"Baxter County, Arkansas",19891,22580,17052,18748,2839,3832
117,05007,"Benton County, Arkansas",64281,93084,58212,82087,6069,10997
118,05009,"Boone County, Arkansas",15426,16827,13851,15120,1575,1707
119,05011,"Bradley County, Arkansas",5930,5860,4834,4673,1096,1187
120,05013,"Calhoun County, Arkansas",3012,2897,2317,2262,695,635
121,05015,"Carroll County, Arkansas",11828,13559,10189,11393,1639,2166
122,05017,"Chicot County, Arkansas",5974,5421,5205,4579,769,842
123,05019,"Clark County, Arkansas",10166,10385,8912,8783,1254,1602
124,05021,"Clay County, Arkansas",8498,8031,7417,6845,1081,1186
125,05023,"Cleburne County, Arkansas",13732,15826,10190,11078,3542,4748
126,05025,"Cleveland County, Arkansas",3834,4064,3273,3416,561,648
127,05027,"Columbia County, Arkansas",11566,11596,9981,9759,1585,1837
128,05029,"Conway County, Arkansas",9028,9720,7967,8463,1061,1257
129,05031,"Craighead County, Arkansas",35133,40515,32301,37291,2832,3224
130,05033,"Crawford County, Arkansas",21315,26115,19702,23447,1613,2668
131,05035,"Crittenden County, Arkansas",20507,21489,18471,19026,2036,2463
132,05037,"Cross County, Arkansas",8030,7853,7391,7002,639,851
133,05039,"Dallas County, Arkansas",4401,4305,3519,3280,882,1025
134,05041,"Desha County, Arkansas",6663,6261,5922,5321,741,940
135,05043,"Drew County, Arkansas",8287,8408,7337,7360,950,1048
136,05045,"Faulkner County, Arkansas",34546,46612,31882,42614,2664,3998
137,05047,"Franklin County, Arkansas",7673,8021,6882,7037,791,984
138,05049,"Fulton County, Arkansas",5973,6778,4810,5196,1163,1582
139,05051,"Garland County, Arkansas",44953,50548,37813,40994,7140,9554
140,05053,"Grant County, Arkansas",6960,7758,6241,6933,719,825
141,05055,"Greene County, Arkansas",16161,17892,14750,16425,1411,1467
142,05057,"Hempstead County, Arkansas",10166,10419,8959,8839,1207,1580
143,05059,"Hot Spring County, Arkansas",13384,14332,12004,12664,1380,1668
144,05061,"Howard County, Arkansas",6297,6238,5471,5365,826,873
145,05063,"Independence County, Arkansas",14841,16187,13467,14391,1374,1796
146,05065,"Izard County, Arkansas",6591,7232,5440,5731,1151,1501
147,05067,"Jackson County, Arkansas",7956,7601,6971,6724,985,877
148,05069,"Jefferson County, Arkansas",34350,33006,30555,28873,3795,4133
149,05071,"Johnson County, Arkansas",9926,11311,8738,9812,1188,1499
150,05073,"Lafayette County, Arkansas",4560,4353,3434,3150,1126,1203
151,05075,"Lawrence County, Arkansas",8085,8000,7108,6938,977,1062
152,05077,"Lee County, Arkansas",4768,4356,4182,3624,586,732
153,05079,"Lincoln County, Arkansas",4955,4860,4265,4207,690,653
154,05081,"Little River County, Arkansas",6435,6460,5465,5411,970,1049
155,05083,"Logan County, Arkansas",9942,10108,8693,8704,1249,1404
