,csa_id,csa_name,2000,2010
0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",4778990,5910296
1,148,"Boston-Worcester-Providence, MA-RI-NH-CT",7630016,7893376
2,176,"Chicago-Naperville, IL-IN-WI",9465353,9840929
3,206,"Dallas-Fort Worth, TX-OK",5565005,6817483
4,216,"Denver-Aurora, CO",2629980,3090874
5,220,"Detroit-Warren-Ann Arbor, MI",5456428,5318744
6,288,"Houston-The Woodlands, TX",4878216,6114562
7,348,"Los Angeles-Long Beach, CA",16373645,17877006
8,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",5475847,6166766
9,378,"Minneapolis-St. Paul, MN-WI",3335000,3684928
10,408,"New York-Newark, NY-NJ-CT-PA",21491898,22214519
11,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",6688798,7067807
12,488,"San Jose-San Francisco-Oakland, CA",7656194,8153696
13,500,"Seattle-Tacoma, WA",3775744,4274767
14,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",7981257,9051961
