id,name,stco,subreg,H_Occ,H_Tot,H_Vac,P_18p,P_Asian,P_Black,P_Hisp,P_NonHisp,P_Other,P_Tot,P_Two,P_White,geotype,yr
9001,"Fairfield County, Connecticut",9001,CT,354084,378479,24395,743170,50751,99992,205351,752068,12263,957419,36937,552125,county,2020
9005,"Litchfield County, Connecticut",9005,CT,77502,87615,10113,151879,3434,2957,14580,170606,1262,185186,7352,155601,county,2020
9009,"New Haven County, Connecticut",9009,CT,343437,369178,25741,690994,36995,110273,170081,694754,7613,864835,30185,509688,county,2020
36005,"Bronx County, New York",36005,NYC,522450,547030,24580,1123075,67766,419393,806463,666191,19866,1472654,28370,130796,county,2020
36027,"Dutchess County, New York",36027,MHV,111927,122009,10082,239623,10635,30126,42224,253687,2410,295911,12021,198495,county,2020
36047,"Kings County, New York",36047,NYC,1009804,1077654,67850,2140371,370776,729696,516426,2219648,37579,2736074,113170,968427,county,2020
36059,"Nassau County, New York",36059,LI,455482,476732,21250,1098884,163165,147216,256425,1139349,13786,1395774,35728,779454,county,2020
36061,"New York County, New York",36061,NYC,817782,913926,96144,1461740,219624,199592,402640,1291611,16112,1694251,62989,793294,county,2020
36071,"Orange County, New York",36071,MHV,135746,146879,11133,299303,11665,41341,89744,311566,12870,401310,13842,231848,county,2020
36079,"Putnam County, New York",36079,LHV,35329,38308,2979,78270,2146,2425,17760,79908,653,97668,2742,71942,county,2020
36081,"Queens County, New York",36081,NYC,847210,896333,49123,1949469,656583,381375,667861,1737603,66175,2405464,84112,549358,county,2020
36085,"Richmond County, New York",36085,NYC,173202,183692,10490,389393,58753,46835,96960,398787,3900,495747,11318,277981,county,2020
36087,"Rockland County, New York",36087,LHV,102948,108068,5120,239516,20413,33775,66451,271878,3877,338329,7700,206113,county,2020
36103,"Suffolk County, New York",36103,LI,516872,578940,62068,1214412,65019,107268,332959,1192961,12822,1525920,40522,967330,county,2020
36105,"Sullivan County, New York",36105,MHV,30183,49125,18942,61786,1569,6069,14007,64617,786,78624,3502,52691,county,2020
36111,"Ulster County, New York",36111,MHV,73321,85853,12532,149457,3778,10152,21119,160732,1569,181851,8538,136695,county,2020
36119,"Westchester County, New York",36119,LHV,367296,388963,21667,782442,64907,131010,269334,735123,9818,1004457,31704,497684,county,2020
34003,"Bergen County, New Jersey",34003,INJ,350664,367383,16719,755234,157500,49909,204683,751049,7405,955732,24316,511919,county,2020
34013,"Essex County, New Jersey",34013,INJ,312913,334896,21983,661508,46957,324081,210353,653375,13485,863728,33727,235125,county,2020
34017,"Hudson County, New Jersey",34017,INJ,289408,312706,23298,582751,123424,71385,293019,431835,10512,724854,19984,206530,county,2020
34019,"Hunterdon County, New Jersey",34019,ONJ,48978,51687,2709,104020,5677,3030,10929,118018,635,128947,4009,104667,county,2020
34021,"Mercer County, New Jersey",34021,ONJ,139361,150442,11081,304672,48330,72364,84177,303163,2412,387340,11477,168580,county,2020
34023,"Middlesex County, New Jersey",34023,INJ,300547,315521,14974,680009,227973,78719,193687,669475,8428,863162,21197,333158,county,2020
34025,"Monmouth County, New Jersey",34025,ONJ,244630,268912,24282,511670,36008,39178,80730,562885,5145,643615,21729,460825,county,2020
34027,"Morris County, New Jersey",34027,INJ,188496,197722,9226,403593,57700,15586,76661,432624,2803,509285,15360,341175,county,2020
34029,"Ocean County, New Jersey",34029,ONJ,238812,294429,55617,482600,11339,17649,66329,570900,4533,637229,16801,520578,county,2020
34031,"Passaic County, New Jersey",34031,INJ,177075,185367,8292,403816,30209,51859,224030,300088,4254,524118,10224,203542,county,2020
34035,"Somerset County, New Jersey",34035,INJ,125598,131822,6224,271204,67098,30480,57379,287982,2390,345361,10603,177411,county,2020
34037,"Sussex County, New Jersey",34037,ONJ,55915,62709,6794,116445,2918,2858,14310,129911,868,144221,5020,118247,county,2020
34039,"Union County, New Jersey",34039,INJ,200372,209908,9536,440856,31963,112261,195519,379826,6820,575345,17537,211245,county,2020
34041,"Warren County, New Jersey",34041,ONJ,43327,46457,3130,87819,2886,5573,12225,97407,624,109632,4069,84255,county,2020
CT,Connecticut,,CT,775023,835272,60249,1586043,91180,213222,390012,1617428,21138,2007440,74474,1217414,subregion,2020
INJ,Inner New Jersey,,INJ,1945073,2055325,110252,4198971,742824,734280,1455331,3906254,56097,5361585,152948,2220105,subregion,2020
LHV,Lower Hudson Valley,,LHV,505573,535339,29766,1100228,87466,167210,353545,1086909,14348,1440454,42146,775739,subregion,2020
LI,Long Island,,LI,972354,1055672,83318,2313296,228184,254484,589384,2332310,26608,2921694,76250,1746784,subregion,2020
MHV,Mid Hudson Valley,,MHV,351177,403866,52689,750169,27647,87688,167094,790602,17635,957696,37903,619729,subregion,2020
NYC,New York City,,NYC,3370448,3618635,248187,7064048,1373502,1776891,2490350,6313840,143632,8804190,299959,2719856,subregion,2020
ONJ,Outer New Jersey,,ONJ,771023,874636,103613,1607226,107158,140652,268700,1782284,14217,2050984,63105,1457152,subregion,2020
36005CS,BX Central and South,36005,NYC,169664,176934,7270,370194,38360,121583,275049,213671,7689,488720,9834,36205,municipality,2020
36005NE,BX North and East,36005,NYC,102721,108236,5515,216423,8026,125441,87739,184807,4184,272546,6824,40332,municipality,2020
36005W,BX West,36005,NYC,250065,261860,11795,536458,21380,172369,443675,267713,7993,711388,11712,54259,municipality,2020
36047C,BK Central,36047,NYC,219831,233830,13999,478585,22709,360365,58718,536659,8666,595377,32568,112351,municipality,2020
36047E,BK East,36047,NYC,105312,111587,6275,229845,16180,162190,96051,207726,5680,303777,13746,9930,municipality,2020
36047N,BK North,36047,NYC,181849,196281,14432,372730,27094,90632,135560,330752,6608,466312,17963,188455,municipality,2020
36047S,BK Southern,36047,NYC,333754,353658,19904,721546,222461,72951,129656,817911,12537,947567,30650,479312,municipality,2020
36047W,BK West,36047,NYC,169058,182298,13240,337665,82332,43558,96441,326600,4088,423041,18243,178379,municipality,2020
36061E,MN East Side,36061,NYC,213958,243538,29580,347123,55392,12077,33055,362767,3343,395822,14885,277070,municipality,2020
36061L,MN Lower,36061,NYC,163598,182984,19386,293659,76373,18011,52885,281091,2988,333976,13396,170323,municipality,2020
36061U,MN Upper,36061,NYC,232977,247817,14840,476093,33681,142810,258287,313746,5991,572033,18636,112628,municipality,2020
36061WM,MN West Side and Midtown,36061,NYC,207249,239587,32338,344865,54178,26694,58413,334007,3790,392420,16072,233273,municipality,2020
36081NE,QN Northeast,36081,NYC,200522,211569,11047,457353,276442,27810,93934,464143,6103,558077,11465,142323,municipality,2020
36081NW,QN Northwest,36081,NYC,371899,394292,22393,810745,235705,40649,381069,609265,11786,990334,25659,295466,municipality,2020
36081SE,QN Southeast,36081,NYC,185459,196342,10883,455210,77796,284721,98648,476151,22313,574799,28505,62816,municipality,2020
36081SW,QN Southwest,36081,NYC,89330,94130,4800,226161,66640,28195,94210,188044,25973,282254,18483,48753,municipality,2020
36085C,SI Central,36085,NYC,48976,51972,2996,112691,25915,4948,20379,121197,1065,141576,2850,86419,municipality,2020
36085N,SI North,36085,NYC,64940,69066,4126,145447,20632,40093,58955,130708,1995,189663,5428,62560,municipality,2020
36085S,SI South,36085,NYC,59286,62654,3368,131255,12206,1794,17626,146882,840,164508,3040,129002,municipality,2020
900104720,"Bethel town, Fairfield County, Connecticut",9001,CT,7653,7980,327,15901,1213,565,2622,17736,426,20358,1123,14409,municipality,2020
900108070,"Bridgeport town, Fairfield County, Connecticut",9001,CT,54261,58874,4613,113716,4024,48690,62853,85801,3197,148654,5486,24404,municipality,2020
900108980,"Brookfield town, Fairfield County, Connecticut",9001,CT,6695,7116,421,13824,946,299,1470,16058,193,17528,835,13785,municipality,2020
900118500,"Danbury town, Fairfield County, Connecticut",9001,CT,31762,33562,1800,68248,5339,5630,28690,57828,3075,86518,5821,37963,municipality,2020
900118850,"Darien town, Fairfield County, Connecticut",9001,CT,6814,7265,451,14668,1197,148,1234,20265,109,21499,795,18016,municipality,2020
900123890,"Easton town, Fairfield County, Connecticut",9001,CT,2605,2756,151,5790,328,106,444,7161,41,7605,278,6408,municipality,2020
900126620,"Fairfield town, Fairfield County, Connecticut",9001,CT,20820,21982,1162,47703,2906,1110,4806,56706,446,61512,2209,50035,municipality,2020
900133620,"Greenwich town, Fairfield County, Connecticut",9001,CT,23316,25677,2361,47939,4726,1157,8135,55383,654,63518,2969,45877,municipality,2020
900148620,"Monroe town, Fairfield County, Connecticut",9001,CT,6690,6918,228,14549,660,400,1470,17355,109,18825,638,15548,municipality,2020
900150580,"New Canaan town, Fairfield County, Connecticut",9001,CT,6923,7502,579,14574,1159,244,1121,19501,98,20622,831,17169,municipality,2020
900150860,"New Fairfield town, Fairfield County, Connecticut",9001,CT,4948,5635,687,10729,230,153,1201,12378,112,13579,445,11438,municipality,2020
900152980,"Newtown town, Fairfield County, Connecticut",9001,CT,9766,10322,556,21295,734,592,1757,25416,158,27173,982,22950,municipality,2020
900156060,"Norwalk town, Fairfield County, Connecticut",9001,CT,36078,38152,2074,72682,4772,11074,27629,63555,768,91184,2627,44314,municipality,2020
900163480,"Redding town, Fairfield County, Connecticut",9001,CT,3356,3664,308,6918,243,75,465,8300,72,8765,330,7580,municipality,2020
900163970,"Ridgefield town, Fairfield County, Connecticut",9001,CT,8968,9506,538,18659,1261,214,1506,23527,181,25033,915,20956,municipality,2020
