id,name,stco,subreg,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,yr
09001,"Fairfield County, Connecticut",09001,CT,39269,77244,144493,598677,743170,8709,22989,450466,county,2020
09005,"Litchfield County, Connecticut",09005,CT,2719,2342,9635,142244,151879,949,5013,131221,county,2020
09009,"New Haven County, Connecticut",09009,CT,29411,84468,116049,574945,690994,5695,19450,435921,county,2020
36005,"Bronx County, New York",36005,NYC,52705,324265,600336,522739,1123075,13620,21564,110585,county,2020
36027,"Dutchess County, New York",36027,MHV,8800,23827,29630,209993,239623,1836,7787,167743,county,2020
36047,"Kings County, New York",36047,NYC,294905,584397,391547,1748824,2140371,25473,84678,759371,county,2020
36059,"Nassau County, New York",36059,LI,123754,117222,184325,914559,1098884,9509,22902,641172,county,2020
36061,"New York County, New York",36061,NYC,196100,167205,329236,1132504,1461740,12876,45814,710509,county,2020
36071,"Orange County, New York",36071,MHV,9394,31773,61549,237754,299303,6031,8540,182016,county,2020
36079,"Putnam County, New York",36079,LHV,1732,1968,12357,65913,78270,466,1728,60019,county,2020
36081,"Queens County, New York",36081,NYC,538284,308971,516054,1433415,1949469,50589,64694,470877,county,2020
36085,"Richmond County, New York",36085,NYC,46237,35179,68231,321162,389393,2807,7490,229449,county,2020
36087,"Rockland County, New York",36087,LHV,16553,27024,45652,193864,239516,2100,4636,143551,county,2020
36103,"Suffolk County, New York",36103,LI,51719,83946,234093,980319,1214412,8889,25605,810160,county,2020
36105,"Sullivan County, New York",36105,MHV,1345,4939,9582,52204,61786,616,2201,43103,county,2020
36111,"Ulster County, New York",36111,MHV,3129,8327,14859,134598,149457,1269,5504,116369,county,2020
36119,"Westchester County, New York",36119,LHV,50815,104959,193975,588467,782442,6839,19226,406628,county,2020
34003,"Bergen County, New Jersey",34003,INJ,125126,40286,150353,604881,755234,5086,14516,419867,county,2020
34013,"Essex County, New Jersey",34013,INJ,36581,248175,151967,509541,661508,9884,23120,191781,county,2020
34017,"Hudson County, New Jersey",34017,INJ,103391,56632,225167,357584,582751,7478,13958,176125,county,2020
34019,"Hunterdon County, New Jersey",34019,ONJ,4429,2546,7427,96593,104020,451,2434,86733,county,2020
