,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,H0010001,NAME
10,9,1.0,0900104720,60,20358,7980,20358,7980,Bethel town
11,9,1.0,0900108070,60,148654,58874,148654,58874,Bridgeport town
12,9,1.0,0900108980,60,17528,7116,17528,7116,Brookfield town
13,9,1.0,0900118500,60,86518,33562,86518,33562,Danbury town
14,9,1.0,0900118850,60,21499,7265,21499,7265,Darien town
15,9,1.0,0900123890,60,7605,2756,7605,2756,Easton town
16,9,1.0,0900126620,60,61512,21982,61512,21982,Fairfield town
17,9,1.0,0900133620,60,63518,25677,63518,25677,Greenwich town
18,9,1.0,0900148620,60,18825,6918,18825,6918,Monroe town
19,9,1.0,0900150580,60,20622,7502,20622,7502,New Canaan town
20,9,1.0,0900150860,60,13579,5635,13579,5635,New Fairfield town
21,9,1.0,0900152980,60,27173,10322,27173,10322,Newtown town
22,9,1.0,0900156060,60,91184,38152,91184,38152,Norwalk town
23,9,1.0,0900163480,60,8765,3664,8765,3664,Redding town
24,9,1.0,0900163970,60,25033,9506,25033,9506,Ridgefield town
25,9,1.0,0900168170,60,40869,17174,40869,17174,Shelton town
26,9,1.0,0900168310,60,3527,1834,3527,1834,Sherman town
27,9,1.0,0900173070,60,135470,56953,135470,56953,Stamford town
28,9,1.0,0900174190,60,52355,21643,52355,21643,Stratford town
29,9,1.0,0900177200,60,36827,13159,36827,13159,Trumbull town
30,9,1.0,0900183430,60,10354,3671,10354,3671,Weston town
31,9,1.0,0900183500,60,27141,10567,27141,10567,Westport town
32,9,1.0,0900186370,60,18503,6567,18503,6567,Wilton town
62,9,5.0,0900502760,60,3647,1566,3647,1566,Barkhamsted town
63,9,5.0,0900504930,60,3385,1605,3385,1605,Bethlehem town
64,9,5.0,0900508210,60,1662,863,1662,863,Bridgewater town
65,9,5.0,0900510940,60,1080,639,1080,639,Canaan town
66,9,5.0,0900516050,60,1361,694,1361,694,Colebrook town
67,9,5.0,0900517240,60,1567,1002,1567,1002,Cornwall town
68,9,5.0,0900532290,60,3150,1708,3150,1708,Goshen town
69,9,5.0,0900537280,60,5484,2313,5484,2313,Harwinton town
70,9,5.0,0900540290,60,3019,1687,3019,1687,Kent town
71,9,5.0,0900543370,60,8192,3966,8192,3966,Litchfield town
72,9,5.0,0900549460,60,2256,1253,2256,1253,Morris town
73,9,5.0,0900551350,60,6658,2968,6658,2968,New Hartford town
74,9,5.0,0900552630,60,28115,11928,28115,11928,New Milford town
75,9,5.0,0900553470,60,1588,932,1588,932,Norfolk town
76,9,5.0,0900554030,60,3211,1582,3211,1582,North Canaan town
77,9,5.0,0900560750,60,11671,5151,11671,5151,Plymouth town
78,9,5.0,0900565930,60,2260,1163,2260,1163,Roxbury town
79,9,5.0,0900566420,60,4194,2519,4194,2519,Salisbury town
80,9,5.0,0900567960,60,2680,1724,2680,1724,Sharon town
81,9,5.0,0900575730,60,7442,3340,7442,3340,Thomaston town
82,9,5.0,0900576570,60,35515,17040,35515,17040,Torrington town
83,9,5.0,0900579510,60,1351,790,1351,790,Warren town
84,9,5.0,0900579720,60,3646,2056,3646,2056,Washington town
85,9,5.0,0900580490,60,22105,9137,22105,9137,Watertown town
86,9,5.0,0900586440,60,10224,5405,10224,5405,Winchester town
87,9,5.0,0900587910,60,9723,4584,9723,4584,Woodbury town
104,9,9.0,0900900000,60,0,0,0,0,County subdivisions not defined
105,9,9.0,0900901220,60,18918,8104,18918,8104,Ansonia town
106,9,9.0,0900903250,60,6000,2618,6000,2618,Beacon Falls town
107,9,9.0,0900904580,60,5297,2039,5297,2039,Bethany town
108,9,9.0,0900907310,60,28273,14180,28273,14180,Branford town
109,9,9.0,0900914160,60,28733,10401,28733,10401,Cheshire town
110,9,9.0,0900919550,60,12325,5759,12325,5759,Derby town
111,9,9.0,0900922910,60,27923,12394,27923,12394,East Haven town
112,9,9.0,0900934950,60,22073,9693,22073,9693,Guilford town
113,9,9.0,0900935650,60,61169,25984,61169,25984,Hamden town
114,9,9.0,0900944560,60,17691,8060,17691,8060,Madison town
115,9,9.0,0900946520,60,60850,26177,60850,26177,Meriden town
116,9,9.0,0900946940,60,7574,3047,7574,3047,Middlebury town
117,9,9.0,0900947535,60,52044,23749,52044,23749,Milford town
118,9,9.0,0900949950,60,31519,13239,31519,13239,Naugatuck town
119,9,9.0,0900952070,60,134023,57525,134023,57525,New Haven town
120,9,9.0,0900953890,60,13544,5633,13544,5633,North Branford town
121,9,9.0,0900954870,60,24253,9981,24253,9981,North Haven town
122,9,9.0,0900957600,60,14280,5480,14280,5480,Orange town
123,9,9.0,0900958300,60,12706,5022,12706,5022,Oxford town
124,9,9.0,0900962290,60,9401,3762,9401,3762,Prospect town
125,9,9.0,0900967610,60,16748,7112,16748,7112,Seymour town
126,9,9.0,0900969640,60,19879,9270,19879,9270,Southbury town
127,9,9.0,0900978740,60,44396,18938,44396,18938,Wallingford town
128,9,9.0,0900980070,60,114403,48392,114403,48392,Waterbury town
129,9,9.0,0900982870,60,55584,22735,55584,22735,West Haven town
130,9,9.0,0900987560,60,16142,6408,16142,6408,Wolcott town
131,9,9.0,0900987700,60,9087,3476,9087,3476,Woodbridge town
106,36,5.0,3600508510,60,1472654,547030,1472654,547030,Bronx borough
321,36,27.0,3602701693,60,3769,1962,3769,1962,Amenia town
322,36,27.0,3602705100,60,13769,6262,13769,6262,Beacon city
323,36,27.0,3602705452,60,14172,4874,14172,4874,Beekman town
324,36,27.0,3602716408,60,4037,1901,4037,1901,Clinton town
325,36,27.0,3602720819,60,8415,3505,8415,3505,Dover town
326,36,27.0,3602721996,60,29707,10829,29707,10829,East Fishkill town
327,36,27.0,3602725978,60,24226,9521,24226,9521,Fishkill town
328,36,27.0,3602737209,60,21021,8433,21021,8433,Hyde Park town
329,36,27.0,3602740299,60,15975,5897,15975,5897,LaGrange town
330,36,27.0,3602747207,60,2245,1202,2245,1202,Milan town
331,36,27.0,3602751891,60,2971,1543,2971,1543,North East town
332,36,27.0,3602756825,60,8012,3518,8012,3518,Pawling town
333,36,27.0,3602758156,60,2218,1175,2218,1175,Pine Plains town
334,36,27.0,3602758695,60,9799,4151,9799,4151,Pleasant Valley town
335,36,27.0,3602759641,60,31577,14604,31577,14604,Poughkeepsie city
336,36,27.0,3602759652,60,45471,16878,45471,16878,Poughkeepsie town
337,36,27.0,3602760905,60,9953,4415,9953,4415,Red Hook town
338,36,27.0,3602761357,60,7596,3787,7596,3787,Rhinebeck town
339,36,27.0,3602770662,60,3682,1859,3682,1859,Stanford town
340,36,27.0,3602776166,60,4558,1766,4558,1766,Union Vale town
341,36,27.0,3602778157,60,28216,11657,28216,11657,Wappinger town
342,36,27.0,3602778388,60,4522,2270,4522,2270,Washington town
506,36,47.0,3604710022,60,2736074,1077654,2736074,1077654,Brooklyn borough
590,36,59.0,3605929113,60,28365,10793,28365,10793,Glen Cove city
591,36,59.0,3605934000,60,793409,260524,793409,260524,Hempstead town
592,36,59.0,3605943335,60,35029,16771,35029,16771,Long Beach city
593,36,59.0,3605953000,60,237639,83729,237639,83729,North Hempstead town
594,36,59.0,3605956000,60,301332,104915,301332,104915,Oyster Bay town
595,36,61.0,3606144919,60,1694251,913926,1694251,913926,Manhattan borough
681,36,71.0,3607107003,60,18811,6944,18811,6944,Blooming Grove town
682,36,71.0,3607115308,60,12646,4590,12646,4590,Chester town
683,36,71.0,3607118300,60,12884,5240,12884,5240,Cornwall town
684,36,71.0,3607118916,60,9130,3549,9130,3549,Crawford town
685,36,71.0,3607119961,60,7509,3319,7509,3319,Deerpark town
686,36,71.0,3607129553,60,14571,5226,14571,5226,Goshen town
687,36,71.0,3607130631,60,4689,1725,4689,1725,Greenville town
688,36,71.0,3607131907,60,5489,1877,5489,1877,Hamptonburgh town
689,36,71.0,3607134550,60,12939,3554,12939,3554,Highlands town
690,36,71.0,3607147042,60,30345,11980,30345,11980,Middletown city
