,stco,geoid,name,POP100,HU100,P0010001,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,H0010001,H0010002,H0010003
0,36005,36005CS,BX Central and South,488720,176934,488720,488720,275049,213671,203837,36205,121583,1227,38360,157,6305,9834,176934,169664,7270
1,36005,36005NE,BX North and East,272546,108236,272546,272546,87739,184807,177983,40332,125441,600,8026,95,3489,6824,108236,102721,5515
2,36005,36005W,BX West,711388,261860,711388,711388,443675,267713,256001,54259,172369,1260,21380,205,6528,11712,261860,250065,11795
3,36047,36047C,BK Central,595377,233830,595377,595377,58718,536659,504091,112351,360365,948,22709,139,7579,32568,233830,219831,13999
4,36047,36047E,BK East,303777,111587,303777,303777,96051,207726,193980,9930,162190,1011,16180,99,4570,13746,111587,105312,6275
5,36047,36047N,BK North,466312,196281,466312,466312,135560,330752,312789,188455,90632,759,27094,207,5642,17963,196281,181849,14432
6,36047,36047S,BK Southern,947567,353658,947567,947567,129656,817911,787261,479312,72951,753,222461,156,11628,30650,353658,333754,19904
7,36047,36047W,BK West,423041,182298,423041,423041,96441,326600,308357,178379,43558,493,82332,117,3478,18243,182298,169058,13240
8,36061,36061E,MN East Side,395822,243538,395822,395822,33055,362767,347882,277070,12077,307,55392,342,2694,14885,243538,213958,29580
9,36061,36061L,MN Lower,333976,182984,333976,333976,52885,281091,267695,170323,18011,268,76373,189,2531,13396,182984,163598,19386
10,36061,36061U,MN Upper,572033,247817,572033,572033,258287,313746,295110,112628,142810,916,33681,191,4884,18636,247817,232977,14840
11,36061,36061WM,MN West Side and Midtown,392420,239587,392420,392420,58413,334007,317935,233273,26694,404,54178,160,3226,16072,239587,207249,32338
12,36081,36081NE,QN Northeast,558077,211569,558077,558077,93934,464143,452678,142323,27810,656,276442,118,5329,11465,211569,200522,11047
13,36081,36081NW,QN Northwest,990334,394292,990334,990334,381069,609265,583606,295466,40649,1173,235705,273,10340,25659,394292,371899,22393
