,stco,geoid,name,2000,2010
0,9001,900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,0
1,9001,900104720,"Bethel town, Fairfield County, Connecticut",6653,7310
2,9001,900108070,"Bridgeport town, Fairfield County, Connecticut",54367,57012
3,9001,900108980,"Brookfield town, Fairfield County, Connecticut",5781,6562
4,9001,900118500,"Danbury town, Fairfield County, Connecticut",28519,31154
5,9001,900118850,"Darien town, Fairfield County, Connecticut",6792,7074
6,9001,900123890,"Easton town, Fairfield County, Connecticut",2511,2715
7,9001,900126620,"Fairfield town, Fairfield County, Connecticut",21029,21648
8,9001,900133620,"Greenwich town, Fairfield County, Connecticut",24511,25631
9,9001,900148620,"Monroe town, Fairfield County, Connecticut",6601,6918
10,9001,900150580,"New Canaan town, Fairfield County, Connecticut",7141,7551
11,9001,900150860,"New Fairfield town, Fairfield County, Connecticut",5148,5593
12,9001,900152980,"Newtown town, Fairfield County, Connecticut",8601,10061
13,9001,900156060,"Norwalk town, Fairfield County, Connecticut",33753,35415
14,9001,900163480,"Redding town, Fairfield County, Connecticut",3086,3811
15,9001,900163970,"Ridgefield town, Fairfield County, Connecticut",8877,9420
16,9001,900168170,"Shelton town, Fairfield County, Connecticut",14707,16146
17,9001,900168310,"Sherman town, Fairfield County, Connecticut",1606,1831
18,9001,900173070,"Stamford town, Fairfield County, Connecticut",47317,50573
19,9001,900174190,"Stratford town, Fairfield County, Connecticut",20596,21091
20,9001,900177200,"Trumbull town, Fairfield County, Connecticut",12160,13157
21,9001,900183430,"Weston town, Fairfield County, Connecticut",3532,3674
22,9001,900183500,"Westport town, Fairfield County, Connecticut",10065,10399
23,9001,900186370,"Wilton town, Fairfield County, Connecticut",6113,6475
24,9005,900502760,"Barkhamsted town, Litchfield County, Connecticut",1436,1589
25,9005,900504930,"Bethlehem town, Litchfield County, Connecticut",1388,1575
26,9005,900508210,"Bridgewater town, Litchfield County, Connecticut",779,881
27,9005,900510940,"Canaan town, Litchfield County, Connecticut",610,779
28,9005,900516050,"Colebrook town, Litchfield County, Connecticut",656,722
29,9005,900517240,"Cornwall town, Litchfield County, Connecticut",873,1007
30,9005,900532290,"Goshen town, Litchfield County, Connecticut",1482,1664
31,9005,900537280,"Harwinton town, Litchfield County, Connecticut",2022,2282
32,9005,900540290,"Kent town, Litchfield County, Connecticut",1463,1665
33,9005,900543370,"Litchfield town, Litchfield County, Connecticut",3629,3975
34,9005,900549460,"Morris town, Litchfield County, Connecticut",1181,1314
35,9005,900551350,"New Hartford town, Litchfield County, Connecticut",2368,2923
36,9005,900552630,"New Milford town, Litchfield County, Connecticut",10710,11731
37,9005,900553470,"Norfolk town, Litchfield County, Connecticut",871,967
38,9005,900554030,"North Canaan town, Litchfield County, Connecticut",1444,1587
39,9005,900560750,"Plymouth town, Litchfield County, Connecticut",4646,5109
40,9005,900565930,"Roxbury town, Litchfield County, Connecticut",1018,1167
41,9005,900566420,"Salisbury town, Litchfield County, Connecticut",2410,2593
42,9005,900567960,"Sharon town, Litchfield County, Connecticut",1617,1775
43,9005,900575730,"Thomaston town, Litchfield County, Connecticut",3014,3276
44,9005,900576570,"Torrington town, Litchfield County, Connecticut",16147,16761
45,9005,900579510,"Warren town, Litchfield County, Connecticut",650,811
46,9005,900579720,"Washington town, Litchfield County, Connecticut",1764,2124
47,9005,900580490,"Watertown town, Litchfield County, Connecticut",8298,9096
48,9005,900586440,"Winchester town, Litchfield County, Connecticut",4922,5613
49,9005,900587910,"Woodbury town, Litchfield County, Connecticut",3869,4564
50,9009,900900000,"County subdivisions not defined, New Haven County, Connecticut",0,0
51,9009,900901220,"Ansonia town, New Haven County, Connecticut",7937,8148
52,9009,900903250,"Beacon Falls town, New Haven County, Connecticut",2104,2509
53,9009,900904580,"Bethany town, New Haven County, Connecticut",1792,2044
54,9009,900907310,"Branford town, New Haven County, Connecticut",13342,13972
55,9009,900914160,"Cheshire town, New Haven County, Connecticut",9588,10424
56,9009,900919550,"Derby town, New Haven County, Connecticut",5568,5849
57,9009,900922910,"East Haven town, New Haven County, Connecticut",11698,12533
58,9009,900934950,"Guilford town, New Haven County, Connecticut",8724,9596
59,9009,900935650,"Hamden town, New Haven County, Connecticut",23464,25114
60,9009,900944560,"Madison town, New Haven County, Connecticut",7386,8049
61,9009,900946520,"Meriden town, New Haven County, Connecticut",24631,25892
62,9009,900946940,"Middlebury town, New Haven County, Connecticut",2494,2892
63,9009,900947535,"Milford town, New Haven County, Connecticut",21962,23074
64,9009,900949950,"Naugatuck town, New Haven County, Connecticut",12341,13061
65,9009,900952070,"New Haven town, New Haven County, Connecticut",52941,54967
66,9009,900953890,"North Branford town, New Haven County, Connecticut",5246,5629
67,9009,900954870,"North Haven town, New Haven County, Connecticut",8773,9491
68,9009,900957600,"Orange town, New Haven County, Connecticut",4870,5345
69,9009,900958300,"Oxford town, New Haven County, Connecticut",3420,4746
70,9009,900962290,"Prospect town, New Haven County, Connecticut",3094,3474
71,9009,900967610,"Seymour town, New Haven County, Connecticut",6356,6968
72,9009,900969640,"Southbury town, New Haven County, Connecticut",7799,9091
73,9009,900978740,"Wallingford town, New Haven County, Connecticut",17306,18945
74,9009,900980070,"Waterbury town, New Haven County, Connecticut",46827,47991
75,9009,900982870,"West Haven town, New Haven County, Connecticut",22336,22446
76,9009,900987560,"Wolcott town, New Haven County, Connecticut",5544,6276
77,9009,900987700,"Woodbridge town, New Haven County, Connecticut",3189,3478
78,34003,3400300700,"Allendale borough, Bergen County, New Jersey",2143,2388
79,34003,3400301090,"Alpine borough, Bergen County, New Jersey",730,670
80,34003,3400305170,"Bergenfield borough, Bergen County, New Jersey",9147,9200
81,34003,3400306490,"Bogota borough, Bergen County, New Jersey",2915,2888
82,34003,3400310480,"Carlstadt borough, Bergen County, New Jersey",2473,2495
83,34003,3400313570,"Cliffside Park borough, Bergen County, New Jersey",10375,10665
84,34003,3400313810,"Closter borough, Bergen County, New Jersey",2865,2860
85,34003,3400315820,"Cresskill borough, Bergen County, New Jersey",2702,3114
86,34003,3400317530,"Demarest borough, Bergen County, New Jersey",1634,1659
87,34003,3400318400,"Dumont borough, Bergen County, New Jersey",6465,6542
88,34003,3400319510,"East Rutherford borough, Bergen County, New Jersey",3771,4018
89,34003,3400320020,"Edgewater borough, Bergen County, New Jersey",4277,6282
90,34003,3400321300,"Elmwood Park borough, Bergen County, New Jersey",7242,7385
91,34003,3400321450,"Emerson borough, Bergen County, New Jersey",2398,2552
