,stco,geoid,name,2000,2010
0,9001,900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,0
1,9001,900104720,"Bethel town, Fairfield County, Connecticut",148,372
2,9001,900108070,"Bridgeport town, Fairfield County, Connecticut",4060,5757
3,9001,900108980,"Brookfield town, Fairfield County, Connecticut",209,433
4,9001,900118500,"Danbury town, Fairfield County, Connecticut",1336,2247
5,9001,900118850,"Darien town, Fairfield County, Connecticut",200,376
6,9001,900123890,"Easton town, Fairfield County, Connecticut",46,138
7,9001,900126620,"Fairfield town, Fairfield County, Connecticut",632,1191
8,9001,900133620,"Greenwich town, Fairfield County, Connecticut",1281,2555
9,9001,900148620,"Monroe town, Fairfield County, Connecticut",120,183
10,9001,900150580,"New Canaan town, Fairfield County, Connecticut",319,541
11,9001,900150860,"New Fairfield town, Fairfield County, Connecticut",510,791
12,9001,900152980,"Newtown town, Fairfield County, Connecticut",276,602
13,9001,900156060,"Norwalk town, Fairfield County, Connecticut",1042,2198
14,9001,900163480,"Redding town, Fairfield County, Connecticut",168,341
15,9001,900163970,"Ridgefield town, Fairfield County, Connecticut",444,619
16,9001,900168170,"Shelton town, Fairfield County, Connecticut",517,821
17,9001,900168310,"Sherman town, Fairfield County, Connecticut",172,443
18,9001,900173070,"Stamford town, Fairfield County, Connecticut",1918,3216
19,9001,900174190,"Stratford town, Fairfield County, Connecticut",698,996
20,9001,900177200,"Trumbull town, Fairfield County, Connecticut",249,432
21,9001,900183430,"Weston town, Fairfield County, Connecticut",220,295
22,9001,900183500,"Westport town, Fairfield County, Connecticut",479,826
23,9001,900186370,"Wilton town, Fairfield County, Connecticut",190,303
24,9005,900502760,"Barkhamsted town, Litchfield County, Connecticut",102,137
25,9005,900504930,"Bethlehem town, Litchfield County, Connecticut",142,164
26,9005,900508210,"Bridgewater town, Litchfield County, Connecticut",76,146
27,9005,900510940,"Canaan town, Litchfield County, Connecticut",165,196
28,9005,900516050,"Colebrook town, Litchfield County, Connecticut",90,133
29,9005,900517240,"Cornwall town, Litchfield County, Connecticut",258,379
30,9005,900532290,"Goshen town, Litchfield County, Connecticut",416,472
31,9005,900537280,"Harwinton town, Litchfield County, Connecticut",64,112
32,9005,900540290,"Kent town, Litchfield County, Connecticut",320,419
33,9005,900543370,"Litchfield town, Litchfield County, Connecticut",319,516
34,9005,900549460,"Morris town, Litchfield County, Connecticut",269,356
35,9005,900551350,"New Hartford town, Litchfield County, Connecticut",140,291
36,9005,900552630,"New Milford town, Litchfield County, Connecticut",692,1113
37,9005,900553470,"Norfolk town, Litchfield County, Connecticut",195,247
38,9005,900554030,"North Canaan town, Litchfield County, Connecticut",101,187
39,9005,900560750,"Plymouth town, Litchfield County, Connecticut",193,306
40,9005,900565930,"Roxbury town, Litchfield County, Connecticut",170,231
41,9005,900566420,"Salisbury town, Litchfield County, Connecticut",673,900
42,9005,900567960,"Sharon town, Litchfield County, Connecticut",371,525
43,9005,900575730,"Thomaston town, Litchfield County, Connecticut",98,168
44,9005,900576570,"Torrington town, Litchfield County, Connecticut",1404,1518
45,9005,900579510,"Warren town, Litchfield County, Connecticut",153,210
46,9005,900579720,"Washington town, Litchfield County, Connecticut",348,612
47,9005,900580490,"Watertown town, Litchfield County, Connecticut",252,424
48,9005,900586440,"Winchester town, Litchfield County, Connecticut",551,798
49,9005,900587910,"Woodbury town, Litchfield County, Connecticut",154,350
50,9009,900900000,"County subdivisions not defined, New Haven County, Connecticut",0,0
51,9009,900901220,"Ansonia town, New Haven County, Connecticut",430,638
52,9009,900903250,"Beacon Falls town, New Haven County, Connecticut",72,149
53,9009,900904580,"Bethany town, New Haven County, Connecticut",37,73
54,9009,900907310,"Branford town, New Haven County, Connecticut",799,1233
55,9009,900914160,"Cheshire town, New Haven County, Connecticut",239,383
