0,stco,NAME,H_Occ,H_Occ,H_Tot,H_Tot,H_Vac,H_Vac,P_Asian,P_Asian,P_Black,P_Black,P_Hisp,P_Hisp,P_NonHisp,P_NonHisp,P_Tot,P_Tot,P_White,P_White
yr,,,2000.0,2010.0,2000.0,2010.0,2000.0,2010.0,2000.0,2010.0,2000.0,2010.0,2000.0,2010.0,2000.0,2010.0,2000.0,2010.0,2000.0,2010.0
0,1001.0,"Autauga County, Alabama",16003,20221,17662,22135,1659,1914,194,467,7428,9595,610,1310,43061,53261,43671,54571,34823,42154
1,1003.0,"Baldwin County, Alabama",55336,73180,74285,104061,18949,30881,531,1340,14357,16966,2466,7992,137949,174273,140415,182265,120868,152200
2,1005.0,"Barbour County, Alabama",10409,9820,12461,11829,2052,2009,83,107,13369,12820,478,1387,28560,26070,29038,27457,14788,12837
3,1007.0,"Bibb County, Alabama",7421,7953,8345,8981,924,1028,17,22,4584,5024,210,406,20616,22509,20826,22915,15870,17191
4,1009.0,"Blount County, Alabama",19265,21578,21158,23887,1893,2309,70,115,598,724,2718,4626,48306,52696,51024,57322,46999,50952
5,1011.0,"Bullock County, Alabama",3986,3745,4727,4493,741,748,21,20,8486,7637,322,777,11392,10137,11714,10914,2764,2392
6,1013.0,"Butler County, Alabama",8398,8491,9957,9964,1559,1473,34,174,8671,9047,143,191,21256,20756,21399,20947,12429,11324
7,1015.0,"Calhoun County, Alabama",45307,47331,51322,53289,6015,5958,625,830,20725,24177,1753,3893,110496,114679,112249,118572,87598,87285
8,1017.0,"Chambers County, Alabama",14522,13933,16256,17004,1734,3071,68,166,13872,13206,280,536,36303,33679,36583,34215,22111,19893
9,1019.0,"Cherokee County, Alabama",9719,10626,14025,16267,4306,5641,32,49,1327,1206,204,320,23784,25669,23988,25989,22164,23929
10,1021.0,"Chilton County, Alabama",15287,16558,17651,19278,2364,2720,65,125,4131,4171,1152,3420,38441,40223,39593,43643,33897,35395
11,1023.0,"Choctaw County, Alabama",6363,5866,7839,7269,1476,1403,6,12,6985,5990,107,73,15815,13786,15922,13859,8724,7700
12,1025.0,"Clarke County, Alabama",10578,10337,12631,12638,2053,2301,45,74,11918,11280,180,271,27687,25562,27867,25833,15519,13943
13,1027.0,"Clay County, Alabama",5765,5670,6612,6776,847,1106,12,23,2219,2048,253,399,14001,13533,14254,13932,11616,11186
14,1029.0,"Cleburne County, Alabama",5590,5891,6189,6718,599,827,19,23,521,494,198,307,13925,14665,14123,14972,13235,13956
15,1031.0,"Coffee County, Alabama",17421,19849,19837,22330,2416,2481,409,629,7950,8257,1183,3180,42432,46768,43615,49948,32971,36134
16,1033.0,"Colbert County, Alabama",22461,22773,24980,25758,2519,2985,127,224,9096,8702,618,1093,54366,53335,54984,54428,44470,43334
17,1035.0,"Conecuh County, Alabama",5792,5625,7265,7093,1473,1468,16,17,6091,6122,102,161,13987,13067,14089,13228,7760,6764
18,1037.0,"Coosa County, Alabama",4682,4794,6142,6478,1460,1684,5,14,4147,3556,158,230,12044,11309,12202,11539,7742,7604
19,1039.0,"Covington County, Alabama",15640,15531,18578,18829,2938,3298,64,148,4618,4685,292,483,37339,37282,37631,37765,32247,31751
20,1041.0,"Crenshaw County, Alabama",5577,5652,6644,6735,1067,1083,15,189,3369,3241,87,204,13578,13702,13665,13906,10042,10020
21,1043.0,"Cullman County, Alabama",30706,31864,35233,37054,4527,5190,136,339,726,821,1688,3454,75795,76952,77483,80406,73940,74568
22,1045.0,"Dale County, Alabama",18878,20065,21779,22677,2901,2612,518,527,9902,9546,1642,2821,47487,47430,49129,50251,35771,35705
23,1047.0,"Dallas County, Alabama",17841,17064,20450,20208,2609,3144,157,144,29201,30314,290,309,46075,43511,46365,43820,16417,12676
24,1049.0,"DeKalb County, Alabama",25113,26842,28051,31109,2938,4267,105,166,1064,1029,3578,9690,60874,61419,64452,71109,58436,57997
25,1051.0,"Elmore County, Alabama",22737,28301,25733,32657,2996,4356,232,514,13505,15814,805,2129,65069,77174,65874,79303,50376,59449
26,1053.0,"Escambia County, Alabama",14297,14157,16544,16486,2247,2329,93,86,11799,12162,379,718,38061,37601,38440,38319,24575,23508
27,1055.0,"Etowah County, Alabama",41615,42036,45959,47454,4344,5418,428,657,15120,15716,1763,3447,101696,100983,103459,104430,84919,82789
28,1057.0,"Fayette County, Alabama",7493,7100,8472,8437,979,1337,28,37,2199,1958,152,204,18343,17037,18495,17241,15994,14832
29,1059.0,"Franklin County, Alabama",12259,12286,13749,14022,1490,1736,32,51,1307,1211,2316,4710,28907,26994,31223,31704,27268,25249
30,1061.0,"Geneva County, Alabama",10477,10920,12115,12687,1638,1767,32,64,2725,2523,453,920,25311,25870,25764,26790,22181,22692
31,1063.0,"Greene County, Alabama",3931,3764,5117,5007,1186,1243,8,15,7964,7349,58,69,9916,8976,9974,9045,1898,1562
32,1065.0,"Hale County, Alabama",6415,6273,7756,7655,1341,1382,25,35,10074,9265,157,140,17028,15620,17185,15760,6803,6213
33,1067.0,"Henry County, Alabama",6525,6994,8037,8891,1512,1897,10,45,5247,4915,249,389,16061,16913,16310,17302,10647,11731
34,1069.0,"Houston County, Alabama",35834,40969,39571,45319,3737,4350,548,806,21703,26038,1122,2995,87665,98552,88787,101547,64312,69731
35,1071.0,"Jackson County, Alabama",21615,21513,24168,24786,2553,3273,123,165,2002,1771,610,1339,53316,51888,53926,53227,49200,47937
36,1073.0,"Jefferson County, Alabama",263265,263568,288162,300552,24897,36984,5909,9085,259623,275511,10284,25488,651763,632978,662047,658466,379707,340213
37,1075.0,"Lamar County, Alabama",6468,6103,7517,7354,1049,1251,9,4,1899,1635,207,180,15697,14384,15904,14564,13695,12542
38,1077.0,"Lauderdale County, Alabama",36088,38680,40424,43791,4336,5111,305,675,8624,9190,894,2082,87072,90627,87966,92709,77240,79228
39,1079.0,"Lawrence County, Alabama",13538,13654,15009,15229,1471,1575,33,41,4613,3917,367,574,34436,33765,34803,34339,26899,26420
40,1081.0,"Lee County, Alabama",45702,55682,50329,62391,4627,6709,1864,3615,25954,31674,1645,4571,113447,135676,115092,140247,84298,97900
41,1083.0,"Limestone County, Alabama",24688,31446,26897,34977,2209,3531,228,911,8703,10350,1740,4591,63936,78191,65676,82782,54142,65112
42,1085.0,"Lowndes County, Alabama",4909,4352,5801,5140,892,788,15,14,9841,8283,85,87,13388,11212,13473,11299,3464,2841
43,1087.0,"Macon County, Alabama",8950,8499,10627,10259,1677,1760,91,76,20298,17631,173,232,23932,21220,24105,21452,3331,3267
44,1089.0,"Madison County, Alabama",109955,134700,120288,146447,10333,11747,5107,8167,62602,79517,5226,15404,271474,319407,276700,334811,196496,221445
45,1091.0,"Marengo County, Alabama",8767,8535,10127,10237,1360,1702,37,53,11581,10838,219,352,22320,20675,22539,21027,10582,9607
46,1093.0,"Marion County, Alabama",12697,12651,14416,14737,1719,2086,45,53,1131,1178,360,632,30854,30144,31214,30776,29387,28509
47,1095.0,"Marshall County, Alabama",32547,35810,36331,40342,3784,4532,196,475,1194,1389,4656,11238,77575,81781,82231,93019,75081,78060
48,1097.0,"Mobile County, Alabama",150179,158435,165101,178196,14922,19761,5599,7507,132845,142272,4887,9936,394956,403056,399843,412992,249763,243904
49,1099.0,"Monroe County, Alabama",9383,9214,11343,11333,1960,2119,69,67,9683,9581,190,220,24134,22848,24324,23068,13962,12621
50,1101.0,"Montgomery County, Alabama",86068,89981,95437,101641,9369,11660,2189,4792,108146,124928,2665,8314,220845,221049,223510,229363,107858,88099
51,1103.0,"Morgan County, Alabama",43602,47030,47388,51193,3786,4163,491,665,12383,14059,3645,9156,107419,110334,111064,119490,92584,92585
52,1105.0,"Perry County, Alabama",4333,3947,5406,4737,1073,790,4,30,8057,7244,102,114,11759,10477,11861,10591,3642,3142
53,1107.0,"Pickens County, Alabama",8086,8012,9520,9483,1434,1471,22,32,8940,8169,147,313,20802,19433,20949,19746,11676,11027
54,1109.0,"Pike County, Alabama",11933,13210,13981,15267,2048,2057,105,645,10766,11990,365,730,29240,32169,29605,32899,17790,18887
55,1111.0,"Randolph County, Alabama",8642,9164,10285,11982,1643,2818,50,54,4949,4604,272,649,22108,22264,22380,22913,16940,17280
56,1113.0,"Russell County, Alabama",19741,21229,22831,24595,3090,3366,173,223,20217,21926,744,1946,49012,51001,49756,52947,27925,27591
57,1115.0,"St. Clair County, Alabama",24143,31624,27303,35541,3160,3917,108,512,5253,7098,686,1716,64056,81877,64742,83593,57917,72947
58,1117.0,"Shelby County, Alabama",54631,74072,59302,80970,4671,6898,1465,3699,10570,20606,2910,11567,140383,183518,143293,195085,126951,156371
59,1119.0,"Sumter County, Alabama",5708,5629,6953,6786,1245,1157,15,33,10718,10283,165,86,14633,13677,14798,13763,3813,3304
60,1121.0,"Talladega County, Alabama",30674,31890,34469,37088,3795,5198,159,329,25206,25953,812,1671,79509,80620,80321,82291,53399,53079
61,1123.0,"Tallapoosa County, Alabama",16656,16985,20510,22111,3854,5126,74,197,10488,11050,242,1042,41233,40574,41475,41616,30342,28838
62,1125.0,"Tuscaloosa County, Alabama",64517,76141,71429,84872,6912,8731,1506,2293,48135,57401,2130,5949,162745,188707,164875,194656,111367,126611
