,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,H0010001,H0010002,H0010003,NAME
10,9,1.0,0900104720,60,20358,7980,20358,20358,2622,17736,16613,14409,565,19,1213,1,406,1123,7980,7653,327,Bethel town
11,9,1.0,0900108070,60,148654,58874,148654,148654,62853,85801,80315,24404,48690,228,4024,31,2938,5486,58874,54261,4613,Bridgeport town
12,9,1.0,0900108980,60,17528,7116,17528,17528,1470,16058,15223,13785,299,11,946,3,179,835,7116,6695,421,Brookfield town
13,9,1.0,0900118500,60,86518,33562,86518,86518,28690,57828,52007,37963,5630,70,5339,25,2980,5821,33562,31762,1800,Danbury town
14,9,1.0,0900118850,60,21499,7265,21499,21499,1234,20265,19470,18016,148,17,1197,4,88,795,7265,6814,451,Darien town
15,9,1.0,0900123890,60,7605,2756,7605,7605,444,7161,6883,6408,106,6,328,1,34,278,2756,2605,151,Easton town
16,9,1.0,0900126620,60,61512,21982,61512,61512,4806,56706,54497,50035,1110,23,2906,5,418,2209,21982,20820,1162,Fairfield town
17,9,1.0,0900133620,60,63518,25677,63518,63518,8135,55383,52414,45877,1157,33,4726,15,606,2969,25677,23316,2361,Greenwich town
18,9,1.0,0900148620,60,18825,6918,18825,18825,1470,17355,16717,15548,400,20,660,0,89,638,6918,6690,228,Monroe town
19,9,1.0,0900150580,60,20622,7502,20622,20622,1121,19501,18670,17169,244,6,1159,4,88,831,7502,6923,579,New Canaan town
20,9,1.0,0900150860,60,13579,5635,13579,13579,1201,12378,11933,11438,153,11,230,3,98,445,5635,4948,687,New Fairfield town
21,9,1.0,0900152980,60,27173,10322,27173,27173,1757,25416,24434,22950,592,12,734,10,136,982,10322,9766,556,Newtown town
22,9,1.0,0900156060,60,91184,38152,91184,91184,27629,63555,60928,44314,11074,102,4772,14,652,2627,38152,36078,2074,Norwalk town
23,9,1.0,0900163480,60,8765,3664,8765,8765,465,8300,7970,7580,75,11,243,2,59,330,3664,3356,308,Redding town
24,9,1.0,0900163970,60,25033,9506,25033,25033,1506,23527,22612,20956,214,22,1261,3,156,915,9506,8968,538,Ridgefield town
25,9,1.0,0900168170,60,40869,17174,40869,40869,4080,36789,35641,31701,1812,30,1800,11,287,1148,17174,16356,818,Shelton town
26,9,1.0,0900168310,60,3527,1834,3527,3527,159,3368,3232,3149,25,1,51,0,6,136,1834,1425,409,Sherman town
27,9,1.0,0900173070,60,135470,56953,135470,135470,37958,97512,93710,64876,16201,140,11453,22,1018,3802,56953,53241,3712,Stamford town
28,9,1.0,0900174190,60,52355,21643,52355,52355,11107,41248,39329,28407,9136,53,1310,11,412,1919,21643,20435,1208,Stratford town
29,9,1.0,0900177200,60,36827,13159,36827,36827,3505,33322,32103,27652,1642,22,2509,1,277,1219,13159,12622,537,Trumbull town
30,9,1.0,0900183430,60,10354,3671,10354,10354,631,9723,9242,8443,143,3,575,3,75,481,3671,3420,251,Weston town
31,9,1.0,0900183500,60,27141,10567,27141,27141,1592,25549,24414,22169,375,15,1703,0,152,1135,10567,9720,847,Westport town
32,9,1.0,0900186370,60,18503,6567,18503,18503,916,17587,16774,14876,201,3,1612,4,78,813,6567,6210,357,Wilton town
62,9,5.0,0900502760,60,3647,1566,3647,3647,84,3563,3436,3382,11,1,26,0,16,127,1566,1457,109,Barkhamsted town
63,9,5.0,0900504930,60,3385,1605,3385,3385,104,3281,3173,3104,31,4,22,0,12,108,1605,1398,207,Bethlehem town
64,9,5.0,0900508210,60,1662,863,1662,1662,41,1621,1553,1520,14,1,10,0,8,68,863,728,135,Bridgewater town
65,9,5.0,0900510940,60,1080,639,1080,1080,56,1024,1001,975,15,3,1,0,7,23,639,480,159,Canaan town
66,9,5.0,0900516050,60,1361,694,1361,1361,31,1330,1275,1257,5,1,4,0,8,55,694,584,110,Colebrook town
