,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,H0010001,H0010002,H0010003,NAME
0,,,,10,331449281,140498736,331449281,331449281,62080044,269369237,255820254,191697647,39940338,2251699,19618719,622018,1689833,13548983,140498736,126817580,13681156,United States
1,,,1,20,57609148,24716516,57609148,57609148,8794868,48814280,46696894,35752998,6207939,112024,4143379,15069,465485,2117386,24716516,22371124,2345392,Northeast Region
2,,,2,20,68985454,30458979,68985454,68985454,5978786,63006668,60242955,50082552,7111553,382776,2385691,38022,242361,2763713,30458979,27564312,2894667,Midwest Region
3,,,3,20,126266107,54542603,126266107,126266107,23696746,102569361,97693658,68393435,23153574,722756,4757911,100255,565727,4875703,54542603,48613340,5929263,South Region
4,,,4,20,78588572,30780638,78588572,78588572,23609644,54978928,51186747,37468662,3467272,1034143,8331738,468672,416260,3792181,30780638,28268804,2511834,West Region
5,,,1,30,15116205,6724393,15116205,15116205,1794646,13321559,12665776,10784293,925797,30882,777455,3866,143483,655783,6724393,6019252,705141,New England Division
6,,,2,30,42492943,17992123,42492943,42492943,7000222,35492721,34031118,24968705,5282142,81142,3365924,11203,322002,1461603,17992123,16351872,1640251,Middle Atlantic Division
7,,,3,30,47368533,20890027,47368533,47368533,4424621,42943912,41119085,33477559,5595258,144238,1717090,14708,170232,1824827,20890027,18944831,1945196,East North Central Division
8,,,4,30,21616921,9568952,21616921,21616921,1554165,20062756,19123870,16604993,1516295,238538,668601,23314,72129,938886,9568952,8619481,949471,West North Central Division
9,,,5,30,66089734,29133804,66089734,66089734,10147394,55942340,53343314,36365960,13714620,218141,2653826,37539,353228,2599026,29133804,25844334,3289470,South Atlantic Division
10,,,6,30,19402234,8634203,19402234,19402234,1056308,18345926,17632276,13375438,3808696,60757,316368,10705,60312,713650,8634203,7711024,923179,East South Central Division
11,,,7,30,40774139,16774596,40774139,40774139,12493044,28281095,26718068,18652037,5630258,443858,1787717,52011,152187,1563027,16774596,15057982,1716614,West South Central Division
12,,,8,30,24919150,10485244,24919150,24919150,6193275,18725875,17694866,15062974,930550,633666,863077,88309,116290,1031009,10485244,9387091,1098153,Mountain Division
13,,,9,30,53669422,20295394,53669422,53669422,17416369,36253053,33491881,22405688,2536722,400477,7468661,380363,299970,2761172,20295394,18881713,1413681,Pacific Division
14,1.0,,01,40,5024279,2288330,5024279,5024279,264047,4760232,4575614,3171351,1288159,23119,75918,2612,14455,184618,2288330,2011947,276383,Alabama
15,2.0,,02,40,733391,326200,733391,733391,49824,683567,611806,421758,20731,108838,43449,12455,4575,71761,326200,269148,57052,Alaska
16,4.0,,04,40,7151502,3082000,7151502,7151502,2192253,4959249,4692409,3816547,317161,263930,248837,14323,31611,266840,3082000,2705878,376122,Arizona
17,5.0,,05,40,3011524,1365265,3011524,3011524,256847,2754677,2607520,2063550,449884,20549,51210,14280,8047,147157,1365265,1199395,165870,Arkansas
18,6.0,,06,40,39538223,14392140,39538223,39538223,15579652,23958571,22330849,13714587,2119286,156085,5978795,138167,223929,1627722,14392140,13475623,916517,California
19,8.0,,08,40,5773714,2491404,5773714,5773714,1263390,4510324,4249526,3760663,221310,33768,195220,9005,29560,260798,2491404,2257815,233589,Colorado
20,9.0,,09,40,3605944,1530197,3605944,3605944,623293,2982651,2845082,2279232,360937,6404,170459,974,27076,137569,1530197,1418069,112128,Connecticut
21,10.0,,10,40,989948,448735,989948,989948,104290,885658,842635,579851,212960,2521,42398,304,4601,43023,448735,386375,62360,Delaware
22,11.0,,11,40,689545,350364,689545,689545,77652,611893,582408,261771,282066,1277,33192,349,3753,29485,350364,312448,37916,District of Columbia
