,id,P_Asian,P_Black,P_Hisp,P_Other,P_White
2,9001010101,208,53,197,42,3976
4,9001010102,211,46,216,59,3798
6,9001010201,164,28,189,64,2976
8,9001010202,425,43,418,131,4342
10,9001010300,200,55,172,64,3519
12,9001010400,340,53,599,87,4211
14,9001010500,486,430,1173,151,3254
16,9001010600,149,63,235,28,1370
18,9001010700,291,130,470,86,2602
20,9001010800,312,37,218,79,2742
22,9001010900,535,126,443,69,3697
24,9001011000,234,44,246,128,4611
26,9001011100,220,19,304,81,4270
28,9001011200,76,17,116,24,1500
30,9001011300,166,88,968,58,1939
32,9001020100,327,820,739,61,1576
34,9001020200,172,107,157,80,3171
36,9001020300,414,237,338,113,6161
38,9001020400,210,109,228,42,2997
40,9001020500,297,133,247,66,4153
42,9001020600,410,241,605,122,3574
44,9001020700,223,92,232,55,3750
46,9001020800,206,87,217,56,2373
48,9001020900,359,405,813,77,3252
50,9001021000,232,233,453,68,2513
52,9001021100,467,520,1182,123,3684
54,9001021200,398,220,413,65,3081
56,9001021300,324,691,1159,118,2130
58,9001021400,176,2077,2991,118,1328
60,9001021500,225,2013,3372,124,569
62,9001021600,1972,800,1141,184,3054
64,9001021700,1301,1173,1477,170,3233
66,9001021801,495,479,987,106,2267
68,9001021802,274,1283,1765,125,1961
70,9001021900,265,514,1735,69,3130
72,9001022000,139,582,996,60,1182
74,9001022100,349,1120,3555,130,2059
76,9001022200,27,584,2066,26,483
78,9001022300,267,1539,2202,109,1646
80,9001022400,75,47,118,72,2079
82,9001030100,82,16,105,48,3251
84,9001030200,97,9,112,44,3180
86,9001030300,101,7,138,41,3869
88,9001030400,251,34,187,53,3433
90,9001030500,213,32,201,63,5165
92,9001035100,316,131,304,99,6556
94,9001035200,96,18,67,43,3092
96,9001035300,101,17,84,69,3666
98,9001035400,149,28,115,69,4718
100,9001042500,104,130,191,61,3233
102,9001042600,191,215,415,94,2996
104,9001042700,364,324,571,67,3252
106,9001042800,228,417,661,64,3236
108,9001042900,43,32,101,31,1444
110,9001043000,133,175,413,80,2289
112,9001043100,298,317,412,101,3213
114,9001043200,139,536,863,66,1470
116,9001043300,123,401,937,51,1684
118,9001043400,234,841,1714,83,1599
120,9001043500,132,235,328,35,1874
122,9001043600,185,182,489,68,2156
124,9001043700,72,441,903,51,572
126,9001043800,793,1289,2278,168,3122
