,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,H0010001,H0010002,H0010003,NAME
0,,,,10,331449281,140498736,331449281,140498736,126817580,13681156,United States
1,,,1,20,57609148,24716516,57609148,24716516,22371124,2345392,Northeast Region
2,,,2,20,68985454,30458979,68985454,30458979,27564312,2894667,Midwest Region
3,,,3,20,126266107,54542603,126266107,54542603,48613340,5929263,South Region
4,,,4,20,78588572,30780638,78588572,30780638,28268804,2511834,West Region
5,,,1,30,15116205,6724393,15116205,6724393,6019252,705141,New England Division
6,,,2,30,42492943,17992123,42492943,17992123,16351872,1640251,Middle Atlantic Division
7,,,3,30,47368533,20890027,47368533,20890027,18944831,1945196,East North Central Division
8,,,4,30,21616921,9568952,21616921,9568952,8619481,949471,West North Central Division
9,,,5,30,66089734,29133804,66089734,29133804,25844334,3289470,South Atlantic Division
10,,,6,30,19402234,8634203,19402234,8634203,7711024,923179,East South Central Division
11,,,7,30,40774139,16774596,40774139,16774596,15057982,1716614,West South Central Division
12,,,8,30,24919150,10485244,24919150,10485244,9387091,1098153,Mountain Division
13,,,9,30,53669422,20295394,53669422,20295394,18881713,1413681,Pacific Division
14,1.0,,01,40,5024279,2288330,5024279,2288330,2011947,276383,Alabama
15,2.0,,02,40,733391,326200,733391,326200,269148,57052,Alaska
16,4.0,,04,40,7151502,3082000,7151502,3082000,2705878,376122,Arizona
17,5.0,,05,40,3011524,1365265,3011524,1365265,1199395,165870,Arkansas
18,6.0,,06,40,39538223,14392140,39538223,14392140,13475623,916517,California
19,8.0,,08,40,5773714,2491404,5773714,2491404,2257815,233589,Colorado
20,9.0,,09,40,3605944,1530197,3605944,1530197,1418069,112128,Connecticut
21,10.0,,10,40,989948,448735,989948,448735,386375,62360,Delaware
22,11.0,,11,40,689545,350364,689545,350364,312448,37916,District of Columbia
23,12.0,,12,40,21538187,9865350,21538187,9865350,8529067,1336283,Florida
24,13.0,,13,40,10711908,4410956,10711908,4410956,4020808,390148,Georgia
25,15.0,,15,40,1455271,561066,1455271,561066,490267,70799,Hawaii
26,16.0,,16,40,1839106,751859,1839106,751859,676206,75653,Idaho
27,17.0,,17,40,12812508,5426429,12812508,5426429,4998395,428034,Illinois
28,18.0,,18,40,6785528,2923175,6785528,2923175,2667542,255633,Indiana
29,19.0,,19,40,3190369,1412789,3190369,1412789,1288560,124229,Iowa
30,20.0,,20,40,2937880,1275689,2937880,1275689,1151360,124329,Kansas
31,21.0,,21,40,4505836,1994323,4505836,1994323,1797937,196386,Kentucky
32,22.0,,22,40,4657757,2073200,4657757,2073200,1831610,241590,Louisiana
33,23.0,,23,40,1362359,739072,1362359,739072,582437,156635,Maine
34,24.0,,24,40,6177224,2530844,6177224,2530844,2321208,209636,Maryland
35,25.0,,25,40,7029917,2998537,7029917,2998537,2749225,249312,Massachusetts
36,26.0,,26,40,10077331,4570173,10077331,4570173,4041760,528413,Michigan
37,27.0,,27,40,5706494,2485558,5706494,2485558,2253990,231568,Minnesota
38,28.0,,28,40,2961279,1319945,2961279,1319945,1158193,161752,Mississippi
39,29.0,,29,40,6154913,2786621,6154913,2786621,2479146,307475,Missouri
40,30.0,,30,40,1084225,514803,1084225,514803,447812,66991,Montana
41,31.0,,31,40,1961504,844278,1961504,844278,773312,70966,Nebraska
42,32.0,,32,40,3104614,1281018,3104614,1281018,1177649,103369,Nevada
43,33.0,,33,40,1377529,638795,1377529,638795,556357,82438,New Hampshire
44,34.0,,34,40,9288994,3761229,9288994,3761229,3426102,335127,New Jersey
45,35.0,,35,40,2117522,940859,2117522,940859,829514,111345,New Mexico
46,36.0,,36,40,20201249,8488066,20201249,8488066,7715172,772894,New York
47,37.0,,37,40,10439388,4708710,10439388,4708710,4160856,547854,North Carolina
