STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
36,5639,2391545,3605639,Bellerose,Bellerose village,47,C1,N,N,G4110,A,322231,0,40.7242529,-73.7166876
36,71267,2391159,3671267,Stewart Manor,Stewart Manor village,47,C1,N,N,G4110,A,542486,0,40.7201722,-73.6853044
36,54562,2391034,3654562,Old Brookville,Old Brookville village,47,C1,N,N,G4110,A,10314268,3279,40.8364697,-73.6051084
36,54705,2391036,3654705,Old Westbury,Old Westbury village,47,C1,N,N,G4110,A,22215003,0,40.7865519,-73.5975144
36,58486,2391068,3658486,Plandome Heights,Plandome Heights village,47,C1,N,N,G4110,A,468132,18117,40.8020725,-73.7049008
36,58497,2391069,3658497,Plandome Manor,Plandome Manor village,47,C1,N,N,G4110,A,1252739,56076,40.8135853,-73.6975268
36,59531,2391080,3659531,Port Washington North,Port Washington North village,47,C1,N,N,G4110,A,1248528,47188,40.8431535,-73.700058
36,56660,2391053,3656660,Patchogue,Patchogue village,47,C1,N,N,G4110,A,5854107,673507,40.7637098,-73.019773
36,63264,2391098,3663264,Rockville Centre,Rockville Centre village,47,C1,N,N,G4110,A,8420438,220954,40.6640241,-73.6380479
36,63770,2391100,3663770,Roslyn,Roslyn village,47,C1,N,N,G4110,A,1672164,30136,40.7998156,-73.650424
36,63792,2391101,3663792,Roslyn Estates,Roslyn Estates village,47,C1,N,N,G4110,A,1133077,0,40.7936593,-73.6612091
36,63803,2391102,3663803,Roslyn Harbor,Roslyn Harbor village,47,C1,N,N,G4110,A,3075219,3918,40.8112337,-73.640582
36,64232,2391106,3664232,Russell Gardens,Russell Gardens village,47,C1,N,N,G4110,A,449690,0,40.7808917,-73.7254514
36,64430,2391110,3664430,Saddle Rock,Saddle Rock village,47,C1,N,N,G4110,A,637868,56451,40.7943798,-73.7492781
36,65035,2391115,3665035,Sands Point,Sands Point village,47,C1,N,N,G4110,A,10947583,3570687,40.8534295,-73.7035856
36,39309,2390920,3639309,Kensington,Kensington village,47,C1,N,N,G4110,A,658402,0,40.7930772,-73.722242
36,66047,2391126,3666047,Sea Cliff,Sea Cliff village,47,C1,N,N,G4110,A,2887408,2192567,40.8461577,-73.6504304
36,73605,2391166,3673605,Thomaston,Thomaston village,47,C1,N,N,G4110,A,1045477,0,40.7875197,-73.7151584
36,76705,2391182,3676705,Valley Stream,Valley Stream village,47,C1,N,N,G4110,A,9010206,44613,40.6647468,-73.7049022
36,79444,2391212,3679444,Westbury,Westbury village,47,C1,N,N,G4110,A,6069816,0,40.7598798,-73.5891846
36,82117,2391219,3682117,Williston Park,Williston Park village,47,C1,N,N,G4110,A,1621987,0,40.7587561,-73.6465877
36,82986,2391226,3682986,Woodsburgh,Woodsburgh village,47,C1,N,N,G4110,A,881762,112721,40.6211969,-73.7062147
36,2968,2391528,3602968,Atlantic Beach,Atlantic Beach village,47,C1,N,N,G4110,A,1137583,1553096,40.5880134,-73.7293603
36,18597,2391627,3618597,Cove Neck,Cove Neck village,47,C1,N,N,G4110,A,3325818,724189,40.8857809,-73.4973041
36,23217,2391657,3623217,East Williston,East Williston village,47,C1,N,N,G4110,A,1472850,0,40.7608497,-73.633607
36,30191,2390867,3630191,Great Neck Estates,Great Neck Estates village,47,C1,N,N,G4110,A,1983719,92751,40.7864758,-73.7401665
36,56011,2391047,3656011,Oyster Bay Cove,Oyster Bay Cove village,47,C1,N,N,G4110,A,10837156,179757,40.8604959,-73.5053788
36,58475,2391067,3658475,Plandome,Plandome village,47,C1,N,N,G4110,A,1281021,23522,40.8065791,-73.7016304
36,69023,2391148,3669023,South Floral Park,South Floral Park village,47,C1,N,N,G4110,A,251922,0,40.7135069,-73.7004415
36,76331,2391177,3676331,Upper Brookville,Upper Brookville village,47,C1,N,N,G4110,A,11133148,0,40.8474989,-73.5629008
36,2044,2391514,3602044,Amityville,Amityville village,47,C1,N,N,G4110,A,5314199,1082191,40.6698436,-73.4157871
36,41553,2390936,3641553,Lawrence,Lawrence village,47,C1,N,N,G4110,A,9649189,2345107,40.6029236,-73.714434
36,49231,2391002,3649231,Munsey Park,Munsey Park village,47,C1,N,N,G4110,A,1346439,0,40.7990011,-73.6799336
36,49330,2391003,3649330,Muttontown,Muttontown village,47,C1,N,N,G4110,A,15687543,0,40.8253939,-73.5363382
36,3408,2391533,3603408,Babylon,Babylon village,47,C1,N,N,G4110,A,6284722,950042,40.6936792,-73.3260004
36,5672,2391544,3605672,Belle Terre,Belle Terre village,47,C1,N,N,G4110,A,2291697,0,40.9606977,-73.0672743
36,5771,2391546,3605771,Bellport,Bellport village,47,C1,N,N,G4110,A,3704488,235989,40.7509502,-72.9413254
36,8323,2391560,3608323,Brightwaters,Brightwaters village,47,C1,N,N,G4110,A,2500948,58407,40.7164346,-73.2615138
36,20379,2391640,3620379,Dering Harbor,Dering Harbor village,47,C1,N,N,G4110,A,636236,34459,41.0921774,-72.341328
36,22183,2391650,3622183,East Hampton,East Hampton village,47,C1,N,N,G4110,A,12338611,358523,40.9515426,-72.1960936
36,30576,2390871,3630576,Greenport,Greenport village,47,C1,N,N,G4110,A,2478297,641303,41.1024279,-72.3667628
36,32963,2390887,3632963,Head of the Harbor,Head of the Harbor village,47,C1,N,N,G4110,A,7270608,594054,40.8976582,-73.1615357
36,37840,2390913,3637840,Islandia,Islandia village,47,C1,N,N,G4110,A,5733949,0,40.8068617,-73.1710837
36,40530,2390926,3640530,Lake Grove,Lake Grove village,47,C1,N,N,G4110,A,7653845,2832,40.8578166,-73.1168438
36,42554,2390943,3642554,Lindenhurst,Lindenhurst village,47,C1,N,N,G4110,A,9717786,162552,40.6857512,-73.3715941
36,43005,2390948,3643005,Lloyd Harbor,Lloyd Harbor village,47,C1,N,N,G4110,A,24237683,3368325,40.921496,-73.4433864
36,51286,2391019,3651286,Nissequogue,Nissequogue village,47,C1,N,N,G4110,A,9862224,574404,40.9027162,-73.1862461
36,52188,2391022,3652188,North Haven,North Haven village,47,C1,N,N,G4110,A,7025757,0,41.0231119,-72.3140213
36,53396,2391026,3653396,Northport,Northport village,47,C1,N,N,G4110,A,5981590,571462,40.9040451,-73.3449678
36,54617,2391035,3654617,Old Field,Old Field village,47,C1,N,N,G4110,A,5360350,313330,40.9666734,-73.1310444
36,59157,2391073,3659157,Poquott,Poquott village,47,C1,N,N,G4110,A,1137669,381335,40.9530438,-73.0908771
36,59355,2391078,3659355,Port Jefferson,Port Jefferson village,47,C1,N,N,G4110,A,7920597,68974,40.9421766,-73.0527991
36,60422,2391085,3660422,Quogue,Quogue village,47,C1,N,N,G4110,A,10854964,2001085,40.821406,-72.5989033
36,64485,2391111,3664485,Sag Harbor,Sag Harbor village,47,C1,N,N,G4110,A,4672556,1351908,40.9965641,-72.2896461
36,67191,2391131,3667191,Shoreham,Shoreham village,47,C1,N,N,G4110,A,1175951,0,40.957097,-72.9070537
36,68462,2391151,3668462,Southampton,Southampton village,47,C1,N,N,G4110,A,17468778,2081593,40.8766173,-72.4030895
36,77519,2391187,3677519,Village of the Branch,Village of the Branch village,47,C1,N,N,G4110,A,2453581,80647,40.853368,-73.18223
36,30169,2390866,3630169,Great Neck,Great Neck village,47,C1,N,N,G4110,A,3455714,70057,40.8023675,-73.7330992
36,30213,2390868,3630213,Great Neck Plaza,Great Neck Plaza village,47,C1,N,N,G4110,A,806563,0,40.7869127,-73.726155
36,33139,2390888,3633139,Hempstead,Hempstead village,47,C1,N,N,G4110,A,9542684,12386,40.7043737,-73.6194451
