co_nm,co_id,ct_id,puma,nta_id,nta_nm,subbor_nm,subbor_id
Bronx,005,36005031000,3704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
Bronx,005,36005031200,3704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
Bronx,005,36005031400,3704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
Bronx,005,36005031600,3704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
Bronx,005,36005031800,3704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
Bronx,005,36005032600,3704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
Bronx,005,36005034200,3704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
Bronx,005,36005034400,3704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
Bronx,005,36005034800,3704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
Bronx,005,36005035000,3704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
Bronx,005,36005036000,3704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
Bronx,005,36005023702,3706,BX05,Bedford Park-Fordham North,BX West,36005W
Bronx,005,36005039901,3706,BX05,Bedford Park-Fordham North,BX West,36005W
Bronx,005,36005039902,3706,BX05,Bedford Park-Fordham North,BX West,36005W
Bronx,005,36005040100,3706,BX05,Bedford Park-Fordham North,BX West,36005W
Bronx,005,36005040302,3706,BX05,Bedford Park-Fordham North,BX West,36005W
Bronx,005,36005040501,3706,BX05,Bedford Park-Fordham North,BX West,36005W
Bronx,005,36005040502,3706,BX05,Bedford Park-Fordham North,BX West,36005W
Bronx,005,36005040702,3706,BX05,Bedford Park-Fordham North,BX West,36005W
Bronx,005,36005041100,3706,BX05,Bedford Park-Fordham North,BX West,36005W
Bronx,005,36005041300,3706,BX05,Bedford Park-Fordham North,BX West,36005W
Bronx,005,36005041500,3706,BX05,Bedford Park-Fordham North,BX West,36005W
Bronx,005,36005038700,3705,BX06,Belmont,BX West,36005W
Bronx,005,36005038900,3705,BX06,Belmont,BX West,36005W
Bronx,005,36005039100,3705,BX06,Belmont,BX West,36005W
Bronx,005,36005039300,3705,BX06,Belmont,BX West,36005W
Bronx,005,36005039700,3705,BX06,Belmont,BX West,36005W
Bronx,005,36005032400,3704,BX07,Bronxdale,BX Central and South,36005CS
Bronx,005,36005032800,3704,BX07,Bronxdale,BX Central and South,36005CS
Bronx,005,36005033000,3704,BX07,Bronxdale,BX Central and South,36005CS
