stco,ct_id,ct_name,name,id_sub
36081,36081152902,1529.02,QN Northeast,36081NE
36081,36081152901,1529.01,QN Northeast,36081NE
36081,36081150702,1507.02,QN Northeast,36081NE
36081,36081150701,1507.01,QN Northeast,36081NE
36081,36081148300,1483,QN Northeast,36081NE
36081,36081147900,1479,QN Northeast,36081NE
36081,36081147100,1471,QN Northeast,36081NE
36081,36081146700,1467,QN Northeast,36081NE
36081,36081146300,1463,QN Northeast,36081NE
36081,36081145900,1459,QN Northeast,36081NE
36081,36081112900,1129,QN Northeast,36081NE
36081,36081112300,1123,QN Northeast,36081NE
36081,36081111300,1113,QN Northeast,36081NE
36081,36081109900,1099,QN Northeast,36081NE
36081,36081109700,1097,QN Northeast,36081NE
36081,36081109300,1093,QN Northeast,36081NE
36081,36081108500,1085,QN Northeast,36081NE
36081,36081105900,1059,QN Northeast,36081NE
36081,36081104700,1047,QN Northeast,36081NE
36081,36081103900,1039,QN Northeast,36081NE
36081,36081103300,1033,QN Northeast,36081NE
36081,36081102900,1029,QN Northeast,36081NE
36081,36081101700,1017,QN Northeast,36081NE
36081,36081049202,492.02,QN Northeast,36081NE
36081,36081049201,492.01,QN Northeast,36081NE
36081,36081099900,999,QN Northeast,36081NE
36081,36081099705,997.05,QN Northeast,36081NE
36081,36081099704,997.04,QN Northeast,36081NE
36081,36081099703,997.03,QN Northeast,36081NE
36081,36081099701,997.01,QN Northeast,36081NE
36081,36081099100,991,QN Northeast,36081NE
36081,36081122703,1227.03,QN Northeast,36081NE
36081,36081122702,1227.02,QN Northeast,36081NE
36081,36081122300,1223,QN Northeast,36081NE
36081,36081121500,1215,QN Northeast,36081NE
36081,36081121100,1211,QN Northeast,36081NE
36081,36081120702,1207.02,QN Northeast,36081NE
36081,36081120701,1207.01,QN Northeast,36081NE
36081,36081120500,1205,QN Northeast,36081NE
36081,36081120300,1203,QN Northeast,36081NE
36081,36081120100,1201,QN Northeast,36081NE
36081,36081119900,1199,QN Northeast,36081NE
36081,36081119500,1195,QN Northeast,36081NE
36081,36081119300,1193,QN Northeast,36081NE
36081,36081119100,1191,QN Northeast,36081NE
36081,36081118900,1189,QN Northeast,36081NE
36081,36081118700,1187,QN Northeast,36081NE
36081,36081118500,1185,QN Northeast,36081NE
36081,36081118100,1181,QN Northeast,36081NE
36081,36081117500,1175,QN Northeast,36081NE
36081,36081117100,1171,QN Northeast,36081NE
36081,36081116700,1167,QN Northeast,36081NE
