tract,PUMA,NTA,NTA_name,Subbor_name,Subbor
36005031000,3603704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
36005031200,3603704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
36005031400,3603704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
36005031600,3603704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
36005031800,3603704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
36005032600,3603704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
36005034200,3603704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
36005034400,3603704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
36005034800,3603704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
36005035000,3603704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
36005036000,3603704,BX31,Allerton-Pelham Gardens,BX Central and South,36005CS
36005023702,3603706,BX05,Bedford Park-Fordham North,BX West,36005W
36005039901,3603706,BX05,Bedford Park-Fordham North,BX West,36005W
36005039902,3603706,BX05,Bedford Park-Fordham North,BX West,36005W
36005040100,3603706,BX05,Bedford Park-Fordham North,BX West,36005W
36005040302,3603706,BX05,Bedford Park-Fordham North,BX West,36005W
36005040501,3603706,BX05,Bedford Park-Fordham North,BX West,36005W
36005040502,3603706,BX05,Bedford Park-Fordham North,BX West,36005W
36005040702,3603706,BX05,Bedford Park-Fordham North,BX West,36005W
36005041100,3603706,BX05,Bedford Park-Fordham North,BX West,36005W
36005041300,3603706,BX05,Bedford Park-Fordham North,BX West,36005W
36005041500,3603706,BX05,Bedford Park-Fordham North,BX West,36005W
36005038700,3603705,BX06,Belmont,BX West,36005W
36005038900,3603705,BX06,Belmont,BX West,36005W
36005039100,3603705,BX06,Belmont,BX West,36005W
36005039300,3603705,BX06,Belmont,BX West,36005W
36005039700,3603705,BX06,Belmont,BX West,36005W
36005032400,3603704,BX07,Bronxdale,BX Central and South,36005CS
36005032800,3603704,BX07,Bronxdale,BX Central and South,36005CS
36005033000,3603704,BX07,Bronxdale,BX Central and South,36005CS
36005033201,3603704,BX07,Bronxdale,BX Central and South,36005CS
36005033202,3603704,BX07,Bronxdale,BX Central and South,36005CS
36005033600,3603704,BX07,Bronxdale,BX Central and South,36005CS
36005033800,3603704,BX07,Bronxdale,BX Central and South,36005CS
36005034000,3603704,BX07,Bronxdale,BX Central and South,36005CS
36005014500,3603705,BX01,Claremont-Bathgate,BX West,36005W
36005014701,3603705,BX01,Claremont-Bathgate,BX West,36005W
36005014702,3603705,BX01,Claremont-Bathgate,BX West,36005W
36005016500,3603705,BX01,Claremont-Bathgate,BX West,36005W
36005016700,3603705,BX01,Claremont-Bathgate,BX West,36005W
36005016900,3603705,BX01,Claremont-Bathgate,BX West,36005W
36005038500,3603705,BX01,Claremont-Bathgate,BX West,36005W
36005039500,3603705,BX01,Claremont-Bathgate,BX West,36005W
36005030200,3603703,BX13,Co-op City,BX North and East,36005NE
36005046201,3603703,BX13,Co-op City,BX North and East,36005NE
