stco,id_00,nm_00,geoid,name
9001,900100000,"County subdivisions not defined, Fairfield County, Connecticut",900100000,"County subdivisions not defined, Fairfield County, Connecticut"
9001,900104720,"Bethel town, Fairfield County, Connecticut",900104720,"Bethel town, Fairfield County, Connecticut"
9001,900108070,"Bridgeport town, Fairfield County, Connecticut",900108070,"Bridgeport town, Fairfield County, Connecticut"
9001,900108980,"Brookfield town, Fairfield County, Connecticut",900108980,"Brookfield town, Fairfield County, Connecticut"
9001,900118500,"Danbury town, Fairfield County, Connecticut",900118500,"Danbury town, Fairfield County, Connecticut"
9001,900118850,"Darien town, Fairfield County, Connecticut",900118850,"Darien town, Fairfield County, Connecticut"
9001,900123890,"Easton town, Fairfield County, Connecticut",900123890,"Easton town, Fairfield County, Connecticut"
9001,900126620,"Fairfield town, Fairfield County, Connecticut",900126620,"Fairfield town, Fairfield County, Connecticut"
9001,900133620,"Greenwich town, Fairfield County, Connecticut",900133620,"Greenwich town, Fairfield County, Connecticut"
9001,900148620,"Monroe town, Fairfield County, Connecticut",900148620,"Monroe town, Fairfield County, Connecticut"
9001,900150580,"New Canaan town, Fairfield County, Connecticut",900150580,"New Canaan town, Fairfield County, Connecticut"
9001,900150860,"New Fairfield town, Fairfield County, Connecticut",900150860,"New Fairfield town, Fairfield County, Connecticut"
9001,900152980,"Newtown town, Fairfield County, Connecticut",900152980,"Newtown town, Fairfield County, Connecticut"
9001,900156060,"Norwalk town, Fairfield County, Connecticut",900156060,"Norwalk town, Fairfield County, Connecticut"
9001,900163480,"Redding town, Fairfield County, Connecticut",900163480,"Redding town, Fairfield County, Connecticut"
9001,900163970,"Ridgefield town, Fairfield County, Connecticut",900163970,"Ridgefield town, Fairfield County, Connecticut"
9001,900168170,"Shelton town, Fairfield County, Connecticut",900168170,"Shelton town, Fairfield County, Connecticut"
9001,900168310,"Sherman town, Fairfield County, Connecticut",900168310,"Sherman town, Fairfield County, Connecticut"
9001,900173070,"Stamford town, Fairfield County, Connecticut",900173070,"Stamford town, Fairfield County, Connecticut"
9001,900174190,"Stratford town, Fairfield County, Connecticut",900174190,"Stratford town, Fairfield County, Connecticut"
9001,900177200,"Trumbull town, Fairfield County, Connecticut",900177200,"Trumbull town, Fairfield County, Connecticut"
9001,900183430,"Weston town, Fairfield County, Connecticut",900183430,"Weston town, Fairfield County, Connecticut"
9001,900183500,"Westport town, Fairfield County, Connecticut",900183500,"Westport town, Fairfield County, Connecticut"
9001,900186370,"Wilton town, Fairfield County, Connecticut",900186370,"Wilton town, Fairfield County, Connecticut"
9005,900502760,"Barkhamsted town, Litchfield County, Connecticut",900502760,"Barkhamsted town, Litchfield County, Connecticut"
9005,900504930,"Bethlehem town, Litchfield County, Connecticut",900504930,"Bethlehem town, Litchfield County, Connecticut"
9005,900508210,"Bridgewater town, Litchfield County, Connecticut",900508210,"Bridgewater town, Litchfield County, Connecticut"
9005,900510940,"Canaan town, Litchfield County, Connecticut",900510940,"Canaan town, Litchfield County, Connecticut"
9005,900516050,"Colebrook town, Litchfield County, Connecticut",900516050,"Colebrook town, Litchfield County, Connecticut"
9005,900517240,"Cornwall town, Litchfield County, Connecticut",900517240,"Cornwall town, Litchfield County, Connecticut"
9005,900532290,"Goshen town, Litchfield County, Connecticut",900532290,"Goshen town, Litchfield County, Connecticut"
9005,900537280,"Harwinton town, Litchfield County, Connecticut",900537280,"Harwinton town, Litchfield County, Connecticut"
9005,900540290,"Kent town, Litchfield County, Connecticut",900540290,"Kent town, Litchfield County, Connecticut"
9005,900543370,"Litchfield town, Litchfield County, Connecticut",900543370,"Litchfield town, Litchfield County, Connecticut"
9005,900549460,"Morris town, Litchfield County, Connecticut",900549460,"Morris town, Litchfield County, Connecticut"
9005,900551350,"New Hartford town, Litchfield County, Connecticut",900551350,"New Hartford town, Litchfield County, Connecticut"
9005,900552630,"New Milford town, Litchfield County, Connecticut",900552630,"New Milford town, Litchfield County, Connecticut"
9005,900553470,"Norfolk town, Litchfield County, Connecticut",900553470,"Norfolk town, Litchfield County, Connecticut"
9005,900554030,"North Canaan town, Litchfield County, Connecticut",900554030,"North Canaan town, Litchfield County, Connecticut"
9005,900560750,"Plymouth town, Litchfield County, Connecticut",900560750,"Plymouth town, Litchfield County, Connecticut"
9005,900565930,"Roxbury town, Litchfield County, Connecticut",900565930,"Roxbury town, Litchfield County, Connecticut"
9005,900566420,"Salisbury town, Litchfield County, Connecticut",900566420,"Salisbury town, Litchfield County, Connecticut"
9005,900567960,"Sharon town, Litchfield County, Connecticut",900567960,"Sharon town, Litchfield County, Connecticut"
9005,900575730,"Thomaston town, Litchfield County, Connecticut",900575730,"Thomaston town, Litchfield County, Connecticut"
9005,900576570,"Torrington town, Litchfield County, Connecticut",900576570,"Torrington town, Litchfield County, Connecticut"
9005,900579510,"Warren town, Litchfield County, Connecticut",900579510,"Warren town, Litchfield County, Connecticut"
9005,900579720,"Washington town, Litchfield County, Connecticut",900579720,"Washington town, Litchfield County, Connecticut"
9005,900580490,"Watertown town, Litchfield County, Connecticut",900580490,"Watertown town, Litchfield County, Connecticut"
9005,900586440,"Winchester town, Litchfield County, Connecticut",900586440,"Winchester town, Litchfield County, Connecticut"
9005,900587910,"Woodbury town, Litchfield County, Connecticut",900587910,"Woodbury town, Litchfield County, Connecticut"
9009,900900000,"County subdivisions not defined, New Haven County, Connecticut",900900000,"County subdivisions not defined, New Haven County, Connecticut"
9009,900901220,"Ansonia town, New Haven County, Connecticut",900901220,"Ansonia town, New Haven County, Connecticut"
9009,900903250,"Beacon Falls town, New Haven County, Connecticut",900903250,"Beacon Falls town, New Haven County, Connecticut"
9009,900904580,"Bethany town, New Haven County, Connecticut",900904580,"Bethany town, New Haven County, Connecticut"
9009,900907310,"Branford town, New Haven County, Connecticut",900907310,"Branford town, New Haven County, Connecticut"
9009,900914160,"Cheshire town, New Haven County, Connecticut",900914160,"Cheshire town, New Haven County, Connecticut"
9009,900919550,"Derby town, New Haven County, Connecticut",900919550,"Derby town, New Haven County, Connecticut"
9009,900922910,"East Haven town, New Haven County, Connecticut",900922910,"East Haven town, New Haven County, Connecticut"
9009,900934950,"Guilford town, New Haven County, Connecticut",900934950,"Guilford town, New Haven County, Connecticut"
9009,900935650,"Hamden town, New Haven County, Connecticut",900935650,"Hamden town, New Haven County, Connecticut"
9009,900944560,"Madison town, New Haven County, Connecticut",900944560,"Madison town, New Haven County, Connecticut"
9009,900946520,"Meriden town, New Haven County, Connecticut",900946520,"Meriden town, New Haven County, Connecticut"
9009,900946940,"Middlebury town, New Haven County, Connecticut",900946940,"Middlebury town, New Haven County, Connecticut"
9009,900947535,"Milford town, New Haven County, Connecticut",900947535,"Milford town, New Haven County, Connecticut"
9009,900949950,"Naugatuck town, New Haven County, Connecticut",900949950,"Naugatuck town, New Haven County, Connecticut"
9009,900952070,"New Haven town, New Haven County, Connecticut",900952070,"New Haven town, New Haven County, Connecticut"
9009,900953890,"North Branford town, New Haven County, Connecticut",900953890,"North Branford town, New Haven County, Connecticut"
9009,900954870,"North Haven town, New Haven County, Connecticut",900954870,"North Haven town, New Haven County, Connecticut"
9009,900957600,"Orange town, New Haven County, Connecticut",900957600,"Orange town, New Haven County, Connecticut"
9009,900958300,"Oxford town, New Haven County, Connecticut",900958300,"Oxford town, New Haven County, Connecticut"
9009,900962290,"Prospect town, New Haven County, Connecticut",900962290,"Prospect town, New Haven County, Connecticut"
9009,900967610,"Seymour town, New Haven County, Connecticut",900967610,"Seymour town, New Haven County, Connecticut"
9009,900969640,"Southbury town, New Haven County, Connecticut",900969640,"Southbury town, New Haven County, Connecticut"
9009,900978740,"Wallingford town, New Haven County, Connecticut",900978740,"Wallingford town, New Haven County, Connecticut"
9009,900980070,"Waterbury town, New Haven County, Connecticut",900980070,"Waterbury town, New Haven County, Connecticut"
9009,900982870,"West Haven town, New Haven County, Connecticut",900982870,"West Haven town, New Haven County, Connecticut"
9009,900987560,"Wolcott town, New Haven County, Connecticut",900987560,"Wolcott town, New Haven County, Connecticut"
9009,900987700,"Woodbridge town, New Haven County, Connecticut",900987700,"Woodbridge town, New Haven County, Connecticut"
34003,3400300700,"Allendale borough, Bergen County, New Jersey",3400300700,"Allendale borough, Bergen County, New Jersey"
34003,3400301090,"Alpine borough, Bergen County, New Jersey",3400301090,"Alpine borough, Bergen County, New Jersey"
34003,3400305170,"Bergenfield borough, Bergen County, New Jersey",3400305170,"Bergenfield borough, Bergen County, New Jersey"
34003,3400306490,"Bogota borough, Bergen County, New Jersey",3400306490,"Bogota borough, Bergen County, New Jersey"
34003,3400310480,"Carlstadt borough, Bergen County, New Jersey",3400310480,"Carlstadt borough, Bergen County, New Jersey"
34003,3400313570,"Cliffside Park borough, Bergen County, New Jersey",3400313570,"Cliffside Park borough, Bergen County, New Jersey"
34003,3400313810,"Closter borough, Bergen County, New Jersey",3400313810,"Closter borough, Bergen County, New Jersey"
34003,3400315820,"Cresskill borough, Bergen County, New Jersey",3400315820,"Cresskill borough, Bergen County, New Jersey"
34003,3400317530,"Demarest borough, Bergen County, New Jersey",3400317530,"Demarest borough, Bergen County, New Jersey"
34003,3400318400,"Dumont borough, Bergen County, New Jersey",3400318400,"Dumont borough, Bergen County, New Jersey"
34003,3400319510,"East Rutherford borough, Bergen County, New Jersey",3400319510,"East Rutherford borough, Bergen County, New Jersey"
34003,3400320020,"Edgewater borough, Bergen County, New Jersey",3400320020,"Edgewater borough, Bergen County, New Jersey"
