,GEO_ID,B01001_001E,B01001_001M,state,county,tract
0,GEO_ID,B01001_001E,B01001_001M,state,county,tract
1,1400000US06047000802,3996,323,06,047,000802
2,1400000US06047000901,3836,495,06,047,000901
3,1400000US06047001502,2493,227,06,047,001502
4,1400000US06047000902,9811,796,06,047,000902
5,1400000US06047001200,5431,450,06,047,001200
6,1400000US06047001401,4503,470,06,047,001401
7,1400000US06047002100,4741,509,06,047,002100
8,1400000US06047001602,7757,520,06,047,001602
9,1400000US06047001902,2277,206,06,047,001902
10,1400000US06047002301,6701,424,06,047,002301
11,1400000US06047002302,15488,741,06,047,002302
12,1400000US06047001901,5298,503,06,047,001901
13,1400000US06047001302,2895,398,06,047,001302
14,1400000US06047000304,9911,499,06,047,000304
15,1400000US06047000601,4820,452,06,047,000601
16,1400000US06047001003,4269,289,06,047,001003
17,1400000US06047001402,5017,353,06,047,001402
18,1400000US06047001700,6907,473,06,047,001700
19,1400000US06047001801,5432,519,06,047,001801
20,1400000US06047002000,8761,736,06,047,002000
21,1400000US06047000602,3956,394,06,047,000602
22,1400000US06047000603,5868,402,06,047,000603
23,1400000US06047001005,2367,201,06,047,001005
24,1400000US06047001301,2765,295,06,047,001301
25,1400000US06047001501,2585,209,06,047,001501
26,1400000US06017031405,2396,204,06,017,031405
27,1400000US06017031504,5678,518,06,017,031504
28,1400000US06017030601,5270,554,06,017,030601
29,1400000US06017030902,4781,293,06,017,030902
30,1400000US06017031302,4858,470,06,017,031302
31,1400000US06017030200,5146,755,06,017,030200
32,1400000US06017030701,6275,442,06,017,030701
33,1400000US06017030901,3261,362,06,017,030901
34,1400000US06017031402,6067,702,06,017,031402
35,1400000US06017031000,5908,423,06,017,031000
36,1400000US06055200202,2772,358,06,055,200202
37,1400000US06055200400,4127,330,06,055,200400
38,1400000US06055200900,722,275,06,055,200900
39,1400000US06067006101,5070,503,06,067,006101
40,1400000US06067006102,3338,463,06,067,006102
41,1400000US06067006900,4626,716,06,067,006900
42,1400000US06067008137,2450,184,06,067,008137
43,1400000US06067008210,5908,286,06,067,008210
44,1400000US06067008404,3471,252,06,067,008404
45,1400000US06067008702,2691,175,06,067,008702
46,1400000US06067008905,4679,394,06,067,008905
47,1400000US06067008908,4888,361,06,067,008908
48,1400000US06067004202,6259,489,06,067,004202
49,1400000US06067008910,3828,449,06,067,008910
50,1400000US06067000200,3824,202,06,067,000200
51,1400000US06067000400,3851,292,06,067,000400
52,1400000US06067004203,5618,589,06,067,004203
53,1400000US06067004300,9159,739,06,067,004300
54,1400000US06067005202,3642,304,06,067,005202
55,1400000US06067005505,5967,722,06,067,005505
56,1400000US06073008324,7222,557,06,073,008324
57,1400000US06073008339,2053,190,06,073,008339
58,1400000US06073008347,7037,370,06,073,008347
59,1400000US06073008354,9862,731,06,073,008354
60,1400000US06073008505,6576,506,06,073,008505
